English,Punjabi
game of dice,ਪਾਸਾ ਦੀ ਖੇਡ
games theory,ਗੇਮ ਥਿਊਰੀ
games with perfect recall,ਸੰਪੂਰਣ ਯਾਦ ਦੇ ਨਾਲ ਗੇਮਜ਼
game value,ਖੇਡ ਮੁੱਲ
gamma function,ਗਾਮਾ ਫੰਕਸ਼ਨ
Gauss-Argand plane,Gauss-Argand ਜਹਾਜ਼
Gaussian curve,ਗੌਸੀ ਵਕਰ
Gaussian elimination,ਗੌਸੀ ਦਾ ਖਾਤਮਾ
Gaussian plane,ਗੌਸੀ ਜਹਾਜ਼
Gauss-Jordan reduction,ਗੌਸ-ਜਾਰਡਨ ਦੀ ਕਮੀ
general case,ਆਮ ਕੇਸ
general convergence theorem,ਆਮ ਕਨਵਰਜੈਂਸ ਥਿਊਰਮ
general equation,ਆਮ ਸਮੀਕਰਨ
general factor,ਆਮ ਕਾਰਕ
general form,ਆਮ ਫਾਰਮ
general formula,ਆਮ ਫਾਰਮੂਲਾ
general game,ਆਮ ਖੇਡ
general inference,ਆਮ ਅਨੁਮਾਨ
general integral,ਆਮ ਅਟੁੱਟ
generalization,ਸਧਾਰਣਕਰਨ
generalised associative law,ਸਧਾਰਣ ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
generalised continuum hypothesis,ਸਧਾਰਣ ਨਿਰੰਤਰਤਾ ਪਰਿਕਲਪਨਾ
generalised convex function,ਆਮ ਕਨਵੈਕਸ ਫੰਕਸ਼ਨ
generalised coordinates,ਜਨਰਲਾਈਜ਼ਡ ਕੋਆਰਡੀਨੇਟਸ
generalised eigen value problem,ਸਧਾਰਣ ਆਈਜੇਨ ਮੁੱਲ ਦੀ ਸਮੱਸਿਆ
general convergence theorem,ਆਮ ਕਨਵਰਜੈਂਸ ਥਿਊਰਮ
general equation,ਆਮ ਸਮੀਕਰਨ
general factor,ਆਮ ਕਾਰਕ
general form,ਆਮ ਫਾਰਮ
general formula,ਆਮ ਫਾਰਮੂਲਾ
general game,ਆਮ ਖੇਡ
general inference,ਆਮ ਅਨੁਮਾਨ
general integral,ਆਮ ਅਟੁੱਟ
generalization,ਸਧਾਰਣਕਰਨ
generalised associative law,ਸਧਾਰਣ ਸਹਿਯੋਗੀ ਕਾਨੂੰਨ
generalised continuum hypothesis,ਸਧਾਰਣ ਨਿਰੰਤਰਤਾ ਪਰਿਕਲਪਨਾ
generalised convex function,ਆਮ ਕਨਵੈਕਸ ਫੰਕਸ਼ਨ
generalised coordinates,ਜਨਰਲਾਈਜ਼ਡ ਕੋਆਰਡੀਨੇਟਸ
generalised eigen value problem,ਸਧਾਰਣ ਆਈਜੇਨ ਮੁੱਲ ਦੀ ਸਮੱਸਿਆ
generic name,ਆਮ ਨਾਮ
genus of surface,ਸਤਹ ਦੀ ਜੀਨਸ
geodesic,geodesic
geometrical,ਜਿਓਮੈਟ੍ਰਿਕਲ
geometrical construction,ਜਿਓਮੈਟ੍ਰਿਕਲ ਉਸਾਰੀ
geometrical mean,ਜਿਓਮੈਟ੍ਰਿਕਲ ਮਤਲਬ
geometrical multiplicity,ਜਿਓਮੈਟ੍ਰਿਕਲ ਗੁਣਾ
geometrical probability,ਜਿਓਮੈਟ੍ਰਿਕਲ ਸੰਭਾਵਨਾ
geometrical progression,ਜਿਓਮੈਟ੍ਰਿਕਲ ਤਰੱਕੀ
geometrical series,ਜਿਓਮੈਟ੍ਰਿਕਲ ਲੜੀ
geometrical shape,ਜਿਓਮੈਟ੍ਰਿਕਲ ਸ਼ਕਲ
geometrico arithmetic series,ਜਿਓਮੈਟ੍ਰਿਕੋ ਅੰਕਗਣਿਤ ਲੜੀ
geometry,ਜਿਓਮੈਟਰੀ
global maximum,ਗਲੋਬਲ ਅਧਿਕਤਮ
global property,ਗਲੋਬਲ ਜਾਇਦਾਦ
global minimum,ਗਲੋਬਲ ਘੱਟੋ-ਘੱਟ
global optimum,ਗਲੋਬਲ ਸਰਵੋਤਮ
global property,ਗਲੋਬਲ ਜਾਇਦਾਦ
global saddle point,ਗਲੋਬਲ ਕਾਠੀ ਬਿੰਦੂ
goodness of fit,ਫਿੱਟ ਦੀ ਭਲਾਈ
grade correlation,ਗ੍ਰੇਡ ਸਬੰਧ
graded data,ਦਰਜਾਬੱਧ ਡਾਟਾ
gradient,ਢਾਲ
gradient density,ਗਰੇਡੀਐਂਟ ਘਣਤਾ
gradient of line,ਲਾਈਨ ਦਾ ਗਰੇਡੀਐਂਟ
gradient of velocity,ਵੇਗ ਦਾ ਗਰੇਡੀਐਂਟ
gradient vector,ਗਰੇਡੀਐਂਟ ਵੈਕਟਰ
gradient velocity,ਗਰੇਡੀਐਂਟ ਵੇਗ
grading,ਗਰੇਡਿੰਗ
grading analysis,ਗਰੇਡਿੰਗ ਵਿਸ਼ਲੇਸ਼ਣ
gram,ਗ੍ਰਾਮ
Gram determinant,ਗ੍ਰਾਮ ਨਿਰਧਾਰਕ
Gram - Schmidt orthogonalization process,ਗ੍ਰਾਮ - ਸਕਮਿਟ ਆਰਥੋਗੋਨਲਾਈਜ਼ੇਸ਼ਨ ਪ੍ਰਕਿਰਿਆ
grand mean,ਮਹਾਨ ਮਤਲਬ
grand total,ਸਮੁੱਚੀ ਗਿਣਤੀ
graph,ਗ੍ਰਾਫ਼
graphic,ਗ੍ਰਾਫਿਕ
graphical,ਗ੍ਰਾਫਿਕਲ
graphical computation,ਗ੍ਰਾਫਿਕਲ ਗਣਨਾ
graphical construction,ਗ੍ਰਾਫਿਕਲ ਉਸਾਰੀ
graphical integration,ਗ੍ਰਾਫਿਕਲ ਏਕੀਕਰਣ
graphical interpolation,ਗ੍ਰਾਫਿਕਲ ਇੰਟਰਪੋਲੇਸ਼ਨ
graphical method,ਗ੍ਰਾਫਿਕਲ ਢੰਗ
graphical representation,ਗ੍ਰਾਫਿਕਲ ਪ੍ਰਤੀਨਿਧਤਾ
graphic expression,ਗ੍ਰਾਫਿਕ ਸਮੀਕਰਨ
graph paper,ਗ੍ਰਾਫ ਪੇਪਰ
gravitation,ਗੁਰੂਤਾਕਰਸ਼ਣ
gravitational accelaration,ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ
gravitational attraction,ਗੁਰੂਤਾ ਖਿੱਚ
gravitational constant,ਗਰੈਵੀਟੇਸ਼ਨਲ ਸਥਿਰ
gravitational curvature,ਗਰੈਵੀਟੇਸ਼ਨਲ ਵਕਰਤਾ
gravitational force,ਗਰੈਵੀਟੇਸ਼ਨਲ ਫੋਰਸ
gravitational pull,ਗੁਰੂਤਾ ਖਿੱਚ
gravity,ਗੰਭੀਰਤਾ
great bear,ਮਹਾਨ ਰਿੱਛ
great circle,ਮਹਾਨ ਚੱਕਰ
great - circle plane,ਮਹਾਨ - ਸਰਕਲ ਜਹਾਜ਼
great circle route,ਮਹਾਨ ਚੱਕਰ ਰੂਟ
greatest common measure,ਸਭ ਤੋਂ ਵੱਡਾ ਆਮ ਮਾਪ
greatest element,ਸਭ ਤੋਂ ਵੱਡਾ ਤੱਤ
greatest lower bound,ਸਭ ਤੋਂ ਵੱਡੀ ਨੀਵੀਂ ਸੀਮਾ
great number,ਵੱਡੀ ਗਿਣਤੀ
great triangle,ਮਹਾਨ ਤਿਕੋਣ
Gregorian calendar,ਗ੍ਰੈਗੋਰੀਅਨ ਕੈਲੰਡਰ
Gregorian correction,ਗ੍ਰੈਗੋਰੀਅਨ ਸੁਧਾਰ
Gregory formula,ਗ੍ਰੈਗਰੀ ਫਾਰਮੂਲਾ
Gregory - Newton formula,ਗ੍ਰੈਗਰੀ - ਨਿਊਟਨ ਫਾਰਮੂਲਾ
Gregory series,ਗ੍ਰੈਗਰੀ ਲੜੀ
gross,ਕੁੱਲ
gross correlation,ਕੁੱਲ ਸਬੰਧ
gross error,ਘੋਰ ਗਲਤੀ
gross income,ਕੁੱਲ ਆਮਦਨ
group,ਗਰੁੱਪ
group automorphism,ਗਰੁੱਪ automorphism
group axiom,ਗਰੁੱਪ axiom
group control,ਗਰੁੱਪ ਕੰਟਰੋਲ
grouped series,ਸਮੂਹਬੱਧ ਲੜੀ
group of symmetries,ਸਮਰੂਪਤਾਵਾਂ ਦਾ ਸਮੂਹ
group of transformation,ਤਬਦੀਲੀ ਦਾ ਸਮੂਹ
groupoid,ਗਰੁੱਪੋਇਡ
group theoretical assumption,ਸਮੂਹ ਸਿਧਾਂਤਕ ਧਾਰਨਾ
group theory,ਗਰੁੱਪ ਥਿਊਰੀ
growth,ਵਾਧਾ
growth formula,ਵਿਕਾਸ ਫਾਰਮੂਲਾ
growth rate,ਵਿਕਾਸ ਦਰ
g-statistic,g-ਅੰਕੜਾ
guessed average,ਅਨੁਮਾਨਿਤ ਔਸਤ
half adder,ਅੱਧਾ ਜੋੜਨ ਵਾਲਾ
half open interval,ਅੱਧਾ ਖੁੱਲ੍ਹਾ ਅੰਤਰਾਲ
half space,ਅੱਧੀ ਥਾਂ
Hamilton Cayley Theorem,ਹੈਮਿਲਟਨ ਕੈਲੀ ਥਿਊਰਮ
Hamiltonian operator,ਹੈਮਿਲਟੋਨੀਅਨ ਆਪਰੇਟਰ
Hamilton's quaternion algebra,ਹੈਮਿਲਟਨ ਦਾ ਕੁਆਟਰਨੀਅਨ ਅਲਜਬਰਾ
harmonic,ਹਾਰਮੋਨਿਕ
harmonic envelope,ਹਾਰਮੋਨਿਕ ਲਿਫ਼ਾਫ਼ਾ
harmonic mean,ਹਾਰਮੋਨਿਕ ਮਤਲਬ
harmonic progression,ਹਾਰਮੋਨਿਕ ਤਰੱਕੀ
harmonics,ਹਾਰਮੋਨਿਕਸ
harmonic series,ਹਾਰਮੋਨਿਕ ਲੜੀ
height,ਉਚਾਈ
hemisphere,ਗੋਲਾਕਾਰ
hemispherical,ਗੋਲਾਕਾਰ
hemispherical projection,ਗੋਲਾਕਾਰ ਪ੍ਰੋਜੈਕਸ਼ਨ
heptagon,ਹੈਪਟਾਗਨ
Hermitian conjugate operator,ਹਰਮੀਟੀਅਨ ਸੰਯੁਕਤ ਸੰਚਾਲਕ
Hermitian form,ਹਰਮੀਟੀਅਨ ਰੂਪ
Hermitian matrix,ਹਰਮੀਟੀਅਨ ਮੈਟ੍ਰਿਕਸ
Hermitian operator,ਹਰਮੀਟੀਅਨ ਆਪਰੇਟਰ
Hermitian product,ਹਰਮੀਟੀਅਨ ਉਤਪਾਦ
Hermitian semigroup,ਹਰਮੀਟੀਅਨ ਅਰਧ ਸਮੂਹ
Hermitian space,ਹਰਮੀਟੀਅਨ ਸਪੇਸ
Hermitian transformation,ਹਰਮੀਟੀਅਨ ਪਰਿਵਰਤਨ
Hess diagram,ਹੇਸ ਚਿੱਤਰ
Hessian matrix,ਹੈਸੀਅਨ ਮੈਟ੍ਰਿਕਸ
Hessian of function,ਫੰਕਸ਼ਨ ਦਾ ਹੈਸੀਅਨ
heterogeneity test,ਵਿਭਿੰਨਤਾ ਟੈਸਟ
heterogeneous,ਵਿਭਿੰਨ
heterogeneous data,ਵਿਭਿੰਨ ਡੇਟਾ
heterogeneous population,ਵਿਭਿੰਨ ਆਬਾਦੀ
heuristic,ਖੋਜੀ
heuristically,heuristically
hexagon,ਹੈਕਸਾਗਨ
hexahedron,hexahedron
hierarchial subdivision,ਲੜੀਵਾਰ ਉਪ-ਵਿਭਾਗ
hierarchy,ਲੜੀ
high birth rate,ਉੱਚ ਜਨਮ ਦਰ
high death rate,ਉੱਚ ਮੌਤ ਦਰ
higher - age – group,ਉੱਚ-ਉਮਰ-ਸਮੂਹ
higher order,ਉੱਚ ਕ੍ਰਮ
highest order,ਸਭ ਤੋਂ ਵੱਧ ਆਰਡਰ
Hilbert cube,ਹਿਲਬਰਟ ਘਣ
Hilbert space,ਹਿਲਬਰਟ ਸਪੇਸ
H–invariant,H-ਅਸਥਿਰ
historigram,ਹਿਸਟੋਰੀਗਰਾਮ
hollow cone,ਖੋਖਲੇ ਕੋਨ
homeomorphism,ਹੋਮਿਓਮੋਰਫਿਜ਼ਮ
homogeneity,ਸਮਰੂਪਤਾ
homogeneous,ਸਮਰੂਪ
homogeneous data,ਸਮਰੂਪ ਡਾਟਾ
homogeneous difference equation,ਸਮਰੂਪ ਅੰਤਰ ਸਮੀਕਰਨ
homomorphism,ਸਮਰੂਪਤਾ
horizontal,ਹਰੀਜੱਟਲ
horizontal plane,ਖਿਤਿਜੀ ਜਹਾਜ਼
hour,ਘੰਟਾ
hydrodynamic,ਹਾਈਡ੍ਰੋਡਾਇਨਾਮਿਕ
hydrodynamics,ਹਾਈਡ੍ਰੋਡਾਇਨਾਮਿਕਸ
hydromechanics,hydromechanics
hydrostatic,ਹਾਈਡ੍ਰੋਸਟੈਟਿਕ
hydrostatic balance,ਹਾਈਡ੍ਰੋਸਟੈਟਿਕ ਸੰਤੁਲਨ
hydrostatics,ਹਾਈਡ੍ਰੋਸਟੈਟਿਕਸ
hyperbola,ਹਾਈਪਰਬੋਲਾ
hyperboloid,ਹਾਈਪਰਬੋਲੋਇਡ
hyperboloid of one sheet,ਇੱਕ ਸ਼ੀਟ ਦਾ ਹਾਈਪਰਬੋਲੋਇਡ
hyperboloid of revolution,ਇਨਕਲਾਬ ਦਾ ਹਾਈਪਰਬੋਲੋਇਡ
hyperboloid of two sheets,ਦੋ ਸ਼ੀਟਾਂ ਦਾ ਹਾਈਪਰਬੋਲੋਇਡ
hypergeometric distribution,hypergeometric ਵੰਡ
hypergeometric series,hypergeometric ਲੜੀ
hyperplane,ਹਾਈਪਰਪਲੇਨ
hypersphere,ਹਾਈਪਰਸਫੀਅਰ
hyper surface,ਹਾਈਪਰ ਸਤਹ
hypotenuse,hypotenuse
hypothesis,ਪਰਿਕਲਪਨਾ
ideal basis,ਆਦਰਸ਼ ਆਧਾਰ
ideal fluid,ਆਦਰਸ਼ ਤਰਲ
ideal gas,ਆਦਰਸ਼ ਗੈਸ
identical eigen value,ਸਮਾਨ ਈਜੇਨ ਮੁੱਲ
identically equal,ਬਰਾਬਰ ਬਰਾਬਰ
Identity,ਪਛਾਣ
identity element,ਪਛਾਣ ਤੱਤ
identity function,ਪਛਾਣ ਫੰਕਸ਼ਨ
"identity
 homomorphism",ਪਛਾਣ homomorphism
identity map,ਪਛਾਣ ਦਾ ਨਕਸ਼ਾ
identity mapping,ਪਛਾਣ ਮੈਪਿੰਗ
identity matrix,ਪਛਾਣ ਮੈਟ੍ਰਿਕਸ
identity of a group,ਇੱਕ ਸਮੂਹ ਦੀ ਪਛਾਣ
identity of a ring,ਇੱਕ ਰਿੰਗ ਦੀ ਪਛਾਣ
identity operator,ਪਛਾਣ ਆਪਰੇਟਰ
identity period,ਪਛਾਣ ਦੀ ਮਿਆਦ
identity permutation,ਪਛਾਣ ਕ੍ਰਮਵਾਰ
identity relation,ਪਛਾਣ ਸਬੰਧ
identity transformation,ਪਛਾਣ ਤਬਦੀਲੀ
if and only if,ਜੇਕਰ ਅਤੇ ਕੇਵਲ ਜੇਕਰ
if - then' computer,ਜੇਕਰ - ਫਿਰ&#39; ਕੰਪਿਊਟਰ
ill condition,ਬਿਮਾਰ ਹਾਲਤ
ill-conditioned equation,ਖਰਾਬ ਸਮੀਕਰਨ
ill-conditioned matrix,ਖਰਾਬ ਮੈਟ੍ਰਿਕਸ
ill-conditioned polynomial,ਅਸ਼ੁੱਧ ਬਹੁਪਦ
ill-conditioned system,ਖਰਾਬ ਸਿਸਟਮ
illogical,ਤਰਕਹੀਣ
illustrate,ਮਿਸਾਲ
illustration,ਉਦਾਹਰਣ
image of a set,ਇੱਕ ਸੈੱਟ ਦੀ ਤਸਵੀਰ
image of a subset,ਸਬਸੈੱਟ ਦਾ ਚਿੱਤਰ
image of point,ਬਿੰਦੂ ਦੀ ਤਸਵੀਰ
image set,ਚਿੱਤਰ ਸੈੱਟ
Imaginary,ਕਾਲਪਨਿਕ
imaginary angle,ਕਾਲਪਨਿਕ ਕੋਣ
imaginary circle,ਕਾਲਪਨਿਕ ਚੱਕਰ
imaginary circular points,ਕਾਲਪਨਿਕ ਗੋਲ ਬਿੰਦੂ
imaginary coefficient,ਕਾਲਪਨਿਕ ਗੁਣਾਂਕ
imaginary coordinate,ਕਾਲਪਨਿਕ ਤਾਲਮੇਲ
imaginary homothetic,ਕਾਲਪਨਿਕ ਹੋਮੋਥੈਟਿਕ
imaginary intersection,ਕਾਲਪਨਿਕ ਇੰਟਰਸੈਕਸ਼ਨ
imaginary line,ਕਾਲਪਨਿਕ ਲਾਈਨ
imaginary number,ਕਾਲਪਨਿਕ ਸੰਖਿਆ
imaginary point,ਕਾਲਪਨਿਕ ਬਿੰਦੂ
imaginary root,ਕਾਲਪਨਿਕ ਜੜ੍ਹ
imaginary rotation,ਕਾਲਪਨਿਕ ਰੋਟੇਸ਼ਨ
imaginary unit,ਕਾਲਪਨਿਕ ਇਕਾਈ
imbedding,imbedding
impedance matrix,ਰੁਕਾਵਟ ਮੈਟ੍ਰਿਕਸ
implicit,ਨਿਸ਼ਚਿਤ
implicit function,ਅਟੱਲ ਫੰਕਸ਼ਨ
implicit integration formula,ਅਟੱਲ ਏਕੀਕਰਣ ਫਾਰਮੂਲਾ
improbable,ਅਸੰਭਵ
improper,ਗਲਤ
improper division,ਗਲਤ ਵੰਡ
improper double integral (= infinite double integral),ਗਲਤ ਡਬਲ ਇੰਟੀਗਰਲ (= ਅਨੰਤ ਡਬਲ ਇੰਟੀਗ੍ਰੇਲ)
improper factor,ਗਲਤ ਫੈਕਟਰ
improper fraction,ਗਲਤ ਅੰਸ਼
improper maximum,ਗਲਤ ਅਧਿਕਤਮ
improper minimum,ਗਲਤ ਘੱਟੋ-ਘੱਟ
improper rotation,ਗਲਤ ਰੋਟੇਸ਼ਨ
improvement matrix,ਸੁਧਾਰ ਮੈਟ੍ਰਿਕਸ
impulse,ਭਾਵਨਾ
impulsive force,ਆਵੇਗਸ਼ੀਲ ਸ਼ਕਤੀ
impulsive pressure,ਆਵੇਗਸ਼ੀਲ ਦਬਾਅ
impulsive tension,ਆਵੇਗਸ਼ੀਲ ਤਣਾਅ
impulsive wrench,ਆਵੇਗਸ਼ੀਲ ਰੈਂਚ
imputed cost,ਲਗਾਇਆ ਲਾਗਤ
inadequacy,ਅਯੋਗਤਾ
incident wave,ਘਟਨਾ ਦੀ ਲਹਿਰ
inclination of a vector,ਇੱਕ ਵੈਕਟਰ ਦਾ ਝੁਕਾਅ
inclination of orbit,ਔਰਬਿਟ ਦਾ ਝੁਕਾਅ
incline,ਝੁਕਾਅ
inclined,ਝੁਕਾਅ
inclined plane,ਝੁਕੇ ਜਹਾਜ਼
included,ਸ਼ਾਮਲ ਹਨ
inclusion,ਸ਼ਾਮਿਲ
incomplete gamma function,ਅਧੂਰਾ ਗਾਮਾ ਫੰਕਸ਼ਨ
inconsistency,ਅਸੰਗਤਤਾ
inconsistent,ਅਸੰਗਤ
inconsistent statistic,ਅਸੰਗਤ ਅੰਕੜੇ
inconsistent system,ਅਸੰਗਤ ਸਿਸਟਮ
incorrect,ਗਲਤ
incorrect decision,ਗਲਤ ਫੈਸਲਾ
increase,ਵਾਧਾ
increasing function,ਵਧਦੀ ਫੰਕਸ਼ਨ
increment,ਵਾਧਾ
indefinite,ਸਦਾ
indefinite form,ਅਨਿਸ਼ਚਿਤ ਰੂਪ
indefinite integral,ਅਨਿਸ਼ਚਿਤ ਅਟੁੱਟ
indefinite matrix,ਅਨਿਸ਼ਚਿਤ ਮੈਟ੍ਰਿਕਸ
indefinite quadratic form,ਅਨਿਸ਼ਚਿਤ ਚਤੁਰਭੁਜ ਰੂਪ
independence,ਆਜ਼ਾਦੀ
independent event,ਸੁਤੰਤਰ ਘਟਨਾ
independent function,ਸੁਤੰਤਰ ਫੰਕਸ਼ਨ
independent random variable,ਸੁਤੰਤਰ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
independent variable,ਸੁਤੰਤਰ ਵੇਰੀਏਬਲ
independent variate,ਸੁਤੰਤਰ ਪਰਿਵਰਤਨ
indeterminacy,ਅਨਿਸ਼ਚਿਤਤਾ
indeterminate,ਅਨਿਸ਼ਚਿਤ
indeterminate equation,ਅਨਿਸ਼ਚਿਤ ਸਮੀਕਰਨ
indeterminate form,ਅਨਿਸ਼ਚਿਤ ਰੂਪ
index,ਸੂਚਕਾਂਕ
indexed by a set,ਇੱਕ ਸੈੱਟ ਦੁਆਰਾ ਸੂਚੀਬੱਧ
indexed family,ਸੂਚੀਬੱਧ ਪਰਿਵਾਰ
index number,ਸੂਚਕਾਂਕ ਨੰਬਰ
index of subgroup,ਉਪ-ਸਮੂਹ ਦਾ ਸੂਚਕਾਂਕ
index set,ਸੂਚਕਾਂਕ ਸੈੱਟ
indicatrix,ਸੂਚਕ
indicial equation,ਸੂਚਕ ਸਮੀਕਰਨ
indifference curve,ਉਦਾਸੀਨਤਾ ਵਕਰ
indirect differentiation,ਅਸਿੱਧੇ ਭਿੰਨਤਾ
indirect proof,ਅਸਿੱਧੇ ਸਬੂਤ
indivisible,ਅਵਿਭਾਜਿਤ
induction,ਸ਼ਾਮਿਲ
inductive,ਪ੍ਰੇਰਕ
inductive assumption,ਪ੍ਰੇਰਕ ਧਾਰਨਾ
inductive definition,ਪ੍ਰੇਰਕ ਪਰਿਭਾਸ਼ਾ
inductive inference,ਪ੍ਰੇਰਕ ਅਨੁਮਾਨ
inequality,ਅਸਮਾਨਤਾ
inequality constraint,ਅਸਮਾਨਤਾ ਦੀ ਪਾਬੰਦੀ
inequation,ਅਸਮਾਨਤਾ
inertia,ਜੜਤਾ
inrtia force,inrtia ਫੋਰਸ
inertial,inertial
inexact differential,ਅਢੁੱਕਵਾਂ ਅੰਤਰ
inflexion points,inflexion ਅੰਕ
infimum,infimum
infinite,ਬੇਅੰਤ
infinite dimensional,ਬੇਅੰਤ ਅਯਾਮੀ
infinite dimensional vector space,ਅਨੰਤ ਅਯਾਮੀ ਵੈਕਟਰ ਸਪੇਸ
infinite game,ਬੇਅੰਤ ਖੇਡ
infinite group,ਅਨੰਤ ਸਮੂਹ
infinite integral,ਅਨੰਤ ਅਟੁੱਟ
infinite population,ਬੇਅੰਤ ਆਬਾਦੀ
infinite series,ਬੇਅੰਤ ਲੜੀ
infinite set,ਬੇਅੰਤ ਸੈੱਟ
infinitesimal,ਬੇਅੰਤ
infinitesimal element,ਬੇਅੰਤ ਤੱਤ
infinite space,ਬੇਅੰਤ ਸਪੇਸ
infinities,ਅਨੰਤਤਾਵਾਂ
infinity,ਅਨੰਤਤਾ
inflation factor,ਮਹਿੰਗਾਈ ਕਾਰਕ
inflectional tangent,ਇਨਫੈਕਸ਼ਨਲ ਸਪਰਸ਼
inflectional focusing,ਇਨਫੈਕਸ਼ਨਲ ਫੋਕਸਿੰਗ
inflexion,inflexion
inf of a function,ਇੱਕ ਫੰਕਸ਼ਨ ਦੀ ਜਾਣਕਾਰੀ
information matrix,ਜਾਣਕਾਰੀ ਮੈਟ੍ਰਿਕਸ
information processing,ਜਾਣਕਾਰੀ ਦੀ ਪ੍ਰਕਿਰਿਆ
information science,ਸੂਚਨਾ ਵਿਗਿਆਨ
inhomogeneous,ਬੇਮੇਲ
inhomogeneous equation,ਅਸੰਗਤ ਸਮੀਕਰਨ
inhomogeneous system,inhomogeneous ਸਿਸਟਮ
initial,ਸ਼ੁਰੂਆਤੀ
initial condition,ਸ਼ੁਰੂਆਤੀ ਹਾਲਤ
initial line,ਸ਼ੁਰੂਆਤੀ ਲਾਈਨ
initial point,ਸ਼ੁਰੂਆਤੀ ਬਿੰਦੂ
initial solution,ਸ਼ੁਰੂਆਤੀ ਹੱਲ
initial velocity,ਸ਼ੁਰੂਆਤੀ ਗਤੀ
injective map,injective ਨਕਸ਼ਾ
injective mapping,ਇੰਜੈਕਟਿਵ ਮੈਪਿੰਗ
inner multiplication,ਅੰਦਰੂਨੀ ਗੁਣਾ
inner point,ਅੰਦਰੂਨੀ ਬਿੰਦੂ
inner product,ਅੰਦਰੂਨੀ ਉਤਪਾਦ
input,ਇੰਪੁੱਟ
input data,ਇਨਪੁਟ ਡਾਟਾ
input gate,ਇੰਪੁੱਟ ਗੇਟ
input output analysis,ਇੰਪੁੱਟ ਆਉਟਪੁੱਟ ਵਿਸ਼ਲੇਸ਼ਣ
input output control system,ਇੰਪੁੱਟ ਆਉਟਪੁੱਟ ਕੰਟਰੋਲ ਸਿਸਟਮ
input output system,ਇੰਪੁੱਟ ਆਉਟਪੁੱਟ ਸਿਸਟਮ
input quantity,ਇੰਪੁੱਟ ਮਾਤਰਾ
input register,ਇੰਪੁੱਟ ਰਜਿਸਟਰ
input terminal,ਇੰਪੁੱਟ ਟਰਮੀਨਲ
inscribed circle,ਲਿਖਿਆ ਚੱਕਰ
instant,ਤੁਰੰਤ
instantaneous,ਤੁਰੰਤ
instantaneous acceleration,ਤਤਕਾਲ ਪ੍ਰਵੇਗ
instantaneous axis of rotation,ਰੋਟੇਸ਼ਨ ਦਾ ਤਤਕਾਲ ਧੁਰਾ
instantaneous centre,ਤੁਰੰਤ ਕੇਂਦਰ
instantaneous velocity,ਤਤਕਾਲ ਗਤੀ
instantaneous volume,ਤੁਰੰਤ ਵਾਲੀਅਮ
integer,ਪੂਰਨ ਅੰਕ
integer linear programming,ਪੂਰਨ ਅੰਕ ਰੇਖਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
integrability,ਅਖੰਡਤਾ
integrable,ਏਕੀਕ੍ਰਿਤ
integrable differential equation,ਏਕੀਕ੍ਰਿਤ ਵਿਭਿੰਨ ਸਮੀਕਰਨ
integrable equation,ਏਕੀਕ੍ਰਿਤ ਸਮੀਕਰਨ
integrable function,ਏਕੀਕ੍ਰਿਤ ਫੰਕਸ਼ਨ
integral,ਅਟੁੱਟ
integral calculus,ਅਟੁੱਟ ਕੈਲਕੂਲਸ
integral curve,ਅਟੁੱਟ ਵਕਰ
integral domain,ਅਟੁੱਟ ਡੋਮੇਨ
integral equation,ਅਟੁੱਟ ਸਮੀਕਰਨ
integral number,ਅਟੁੱਟ ਨੰਬਰ
integral of the first kind,ਪਹਿਲੀ ਕਿਸਮ ਦਾ ਅਟੁੱਟ
integral representation,ਅਟੁੱਟ ਪ੍ਰਤੀਨਿਧਤਾ
integral sign,ਅਟੁੱਟ ਚਿੰਨ੍ਹ
integrate,ਏਕੀਕ੍ਰਿਤ
integrated absorption coefficient,ਏਕੀਕ੍ਰਿਤ ਸਮਾਈ ਗੁਣਾਂਕ
integrating factor,ਏਕੀਕਰਣ ਕਾਰਕ
integration,ਏਕੀਕਰਣ
integration by differentiation,ਵਿਭਿੰਨਤਾ ਦੁਆਰਾ ਏਕੀਕਰਣ
integration by parts,ਭਾਗਾਂ ਦੁਆਰਾ ਏਕੀਕਰਣ
integration by rationalisation,ਤਰਕਸ਼ੀਲਤਾ ਦੁਆਰਾ ਏਕੀਕਰਣ
integration by substitution,ਬਦਲ ਦੁਆਰਾ ਏਕੀਕਰਣ
integration by successive reduction,ਲਗਾਤਾਰ ਕਟੌਤੀ ਦੁਆਰਾ ਏਕੀਕਰਣ
integration by series,ਲੜੀ ਦੁਆਰਾ ਏਕੀਕਰਣ
integration of vector,ਵੈਕਟਰ ਦਾ ਏਕੀਕਰਣ
integration over a closed surface,ਇੱਕ ਬੰਦ ਸਤਹ ਉੱਤੇ ਏਕੀਕਰਣ
integrator,ਏਕੀਕਰਣ
integrator component,ਇੰਟੀਗਰੇਟਰ ਕੰਪੋਨੈਂਟ
integro - differential equation,ਇੰਟੈਗਰੋ - ਵਿਭਿੰਨ ਸਮੀਕਰਨ
intercept,ਰੁਕਾਵਟ
interchangable operation,ਪਰਿਵਰਤਨਯੋਗ ਕਾਰਵਾਈ
