English,Hindi,Assamese,Bengali,Gujarati,Kannada,Malayalam,Marathi,Odiya,Punjabi,Tamil,Telugu 
architectural drawing,स्थापत्य आरेखण,স্থাপত্যৰ অংকন,স্থাপত্য অঙ্কন,આર્કિટેક્ચરલ ડ્રોઇંગ,ವಾಸ್ತುಶಿಲ್ಪದ ರೇಖಾಚಿತ್ರ,വാസ്തുവിദ്യാ ഡ്രോയിംഗ്,आर्किटेक्चरल रेखाचित्र,ସ୍ଥାପତ୍ୟ ଚିତ୍ର,ਆਰਕੀਟੈਕਚਰਲ ਡਰਾਇੰਗ,கட்டிடக்கலை வரைதல்,నిర్మాణ డ్రాయింగ్
architectural ornamentation,वास्तुकलात्मक अलंकरण,স্থাপত্যৰ অলংকাৰ,স্থাপত্য অলঙ্করণ,સ્થાપત્ય સુશોભન,ವಾಸ್ತುಶಿಲ್ಪದ ಅಲಂಕಾರ,വാസ്തുവിദ്യാ അലങ്കാരം,आर्किटेक्चरल अलंकार,ସ୍ଥାପତ୍ୟ ଅଳଙ୍କାର |,ਆਰਕੀਟੈਕਚਰਲ ਸਜਾਵਟ,கட்டிடக்கலை அலங்காரம்,నిర్మాణ అలంకరణ
architectural remains,वास्तु-अवशेष,স্থাপত্যৰ অৱশিষ্ট,স্থাপত্য অবশেষ,સ્થાપત્ય અવશેષો,ವಾಸ್ತುಶಿಲ್ಪದ ಅವಶೇಷಗಳು,വാസ്തുവിദ്യാ അവശിഷ്ടങ്ങൾ,स्थापत्य अवशेष,ସ୍ଥାପତ୍ୟ ଅବଶିଷ୍ଟ |,ਆਰਕੀਟੈਕਚਰਲ ਅਵਸ਼ੇਸ਼,கட்டிடக்கலை எச்சங்கள்,నిర్మాణ అవశేషాలు
architectural setting,वास्तुपरक दृश्य-विन्यास,স্থাপত্যৰ পৰিৱেশ,স্থাপত্য সেটিং,આર્કિટેક્ચરલ સેટિંગ,ವಾಸ್ತುಶಿಲ್ಪದ ಸೆಟ್ಟಿಂಗ್,വാസ്തുവിദ്യാ ക്രമീകരണം,आर्किटेक्चरल सेटिंग,ସ୍ଥାପତ୍ୟ ସେଟିଂ,ਆਰਕੀਟੈਕਚਰਲ ਸੈਟਿੰਗ,கட்டடக்கலை அமைப்பு,నిర్మాణ అమరిక
architecture,"वास्तुकला, स्थापत्यकला; स्थापत्य, वास",স্থাপত্য,স্থাপত্য,સ્થાપત્ય,ವಾಸ್ತುಶಿಲ್ಪ,വാസ്തുവിദ്യ,आर्किटेक्चर,ସ୍ଥାପତ୍ୟ,ਆਰਕੀਟੈਕਚਰ,கட்டிடக்கலை,వాస్తుశిల్పం
architrave,"पादांग,तोरण-सज्जा",architrave,আর্কিট্রেভ,આર્કિટ્રેવ,ವಾಸ್ತುಶಿಲ್ಪಿ,വാസ്തുവിദ്യ,आर्किटेव्ह,architrave,ਆਰਕੀਟ੍ਰੇਵ,கட்டிடக்கலை,ఆర్కిట్రావ్
archivolt,"तोरणाच्छादन, चापालंकरण",আৰ্কিভল্ট,archivolt,આર્કાઇવોલ્ટ,ಆರ್ಕೈವೋಲ್ಟ್,ആർക്കൈവോൾട്ട്,archivolt,archivolt,ਆਰਕਾਈਵੋਲਟ,காப்பகம்,ఆర్కివోల్ట్
archlintel,"मेहराबी उत्तरांग, मेहराबी लिन्टल",archlintel গেস্টবুক,archlintel,archlintel,ಆರ್ಚ್ಲಿಂಟೆಲ್,archlintel,archlintel,archlintel,archlintel,archlintel,archlintel
archlintel bracket,"मेहराबी उत्तरांग, टोडा, मेहराबी लिन्टल ब्रेकेट",archlintel বন্ধনী,archlintel বন্ধনী,archlintel કૌંસ,archlintel ಬ್ರಾಕೆಟ್,ആർച്ച്ലിന്റൽ ബ്രാക്കറ്റ്,archlintel कंस,archlintel ବ୍ରାକେଟ୍ |,archlintel ਬਰੈਕਟ,archlintel அடைப்புக்குறி,archlintel బ్రాకెట్
archway,तोरणपथ,archway,খিলান পথ,તોરણ,ಕಮಾನುಮಾರ್ಗ,കമാനപാത,तोरण,ଆର୍କୱେ |,archਵੇਅ,வளைவு,తోరణము
archwindow,मेहराबी खिडक़ी,archwindow,খিলান উইন্ডো,આર્કવિન્ડો,ಕಮಾನು ಕಿಟಕಿ,കമാനജാലകം,आर्क विंडो,archwindow,arch ਵਿੰਡੋ,வளைவு ஜன்னல்,ఆర్చ్ విండో
arcosolium,चापित समाधि कोष्ठ,আৰ্কোছলিয়াম,আর্কোসোলিয়াম,આર્કોસોલિયમ,ಆರ್ಕೋಸೋಲಿಯಮ್,ആർക്കോസോളിയം,arcosolium,ଆର୍କୋସୋଲିୟମ୍,arcosolium,ஆர்கோசோலியம்,ఆర్కోసోలియం
arcuate,चापाकार,arcuate,arcuate,આર્ક્યુએટ,ಆರ್ಕ್ಯೂಟ್,കമാനം,arcuate,ଆର୍କ୍ୟୁଟ୍,arcuate,வளைவு,ఆర్క్యుయేట్
arcuated architecture,"तोरण वास्तु, तोरणाधृत वास्तु, बहुचापी वास्तु",আৰ্কুৱেটেড আৰ্কিটেকচাৰ,arcuated স্থাপত্য,આર્ક્યુએટેડ આર્કિટેક્ચર,ಆರ್ಕ್ಯುಟೆಡ್ ಆರ್ಕಿಟೆಕ್ಚರ್,വാസ്തുവിദ്യ,आर्क्युटेड आर्किटेक्चर,ଆର୍କ୍ୟୁଟେଡ୍ ସ୍ଥାପତ୍ୟ |,arcuated ਆਰਕੀਟੈਕਚਰ,வளைந்த கட்டிடக்கலை,ఆర్క్యూటేడ్ ఆర్కిటెక్చర్
ard,"आर्ड, कुदाली",ard,ard,ard,ard,ard,ard,ard,ard,ard,ard
ardish,"काच-जुड़ाई, काचपच्ची, काचपच्चीकारी",ardish,ardish,આર્ડિશ,ಆರ್ಡಿಶ್,ആർഡിഷ്,arish,ardish,ਅਰਦਿਸ਼,தீவிரமான,అర్దమైన
area,"क्षेत्र, क्षेत्रफल",এলাকা,এলাকা,વિસ્તાર,ಪ್ರದೇಶ,പ്രദേശം,क्षेत्र,କ୍ଷେତ୍ର,ਖੇਤਰ,பகுதி,ప్రాంతం
area excavation,क्षेत्र उत्खनन,এলেকা খনন কৰা,এলাকা খনন,વિસ્તાર ખોદકામ,ಪ್ರದೇಶದ ಉತ್ಖನನ,പ്രദേശം ഖനനം,क्षेत्र उत्खनन,କ୍ଷେତ୍ର ଖନନ,ਖੇਤਰ ਦੀ ਖੁਦਾਈ,பகுதி அகழ்வாராய்ச்சி,ప్రాంతం తవ్వకం
area exposure,क्षेत्र-अनावरण,এলেকাৰ সংস্পৰ্শ,এলাকা এক্সপোজার,વિસ્તાર એક્સપોઝર,ಪ್ರದೇಶದ ಮಾನ್ಯತೆ,ഏരിയ എക്സ്പോഷർ,क्षेत्र एक्सपोजर,କ୍ଷେତ୍ର ଏକ୍ସପୋଜର୍ |,ਖੇਤਰ ਐਕਸਪੋਜਰ,பகுதி வெளிப்பாடு,ప్రాంతం బహిర్గతం
area method,क्षेत्र-प्रणाली,এলেকা পদ্ধতি,এলাকা পদ্ধতি,વિસ્તાર પદ્ધતિ,ಪ್ರದೇಶದ ವಿಧಾನ,ഏരിയ രീതി,क्षेत्र पद्धत,କ୍ଷେତ୍ର ପଦ୍ଧତି |,ਖੇਤਰ ਵਿਧੀ,பகுதி முறை,ప్రాంతం పద్ధతి
arena,"मल्लभूमि, अखाड़ा, अक्षावट, रंगस्थली, रंगभूमि",ৰঙ্গমঞ্চ,আখড়া,અખાડો,ಅಖಾಡ,അരങ്ങ്,रिंगण,ମଞ୍ଚ,ਅਖਾੜਾ,அரங்கம்,రంగస్థలం
arenaceous rock,बालुकामय शैल,arenaceous শিল,অরণ্যময় শিলা,એરેનેસિયસ ખડક,ಅರೇನೇಶಿಯಸ್ ಬಂಡೆ,അരനേഷ്യസ് പാറ,रिंगण खडक,ମ ena ଦାନ ପଥର |,ਅਰੇਨੇਸੀਸ ਚੱਟਾਨ,அரங்க பாறை,అరేనాసియస్ రాక్
arenatum,गारा,arenatum,অ্যারেনাটাম,એરેનેટમ,ಅರೇನಾಟಮ್,അരങ്ങേറ്റം,अरेनेटम,ଆରେନାଟମ୍ |,ਅਰੇਨੇਟਮ,அரங்கம்,అరేనాటమ్
argile,"पोतनी मिट्टी, सफेद मिट्टी, आर्जिल मिट्टी",argile,argile,આર્જીલ,ವಾದಿಸುವ,തർക്കിക്കുക,argile,ଯୁକ୍ତି,argile,வாக்குவாதம்,వాదించు
aristocracy,"अभिजाततंत्र, कुलीन वर्ग",অভিজাত শ্ৰেণী,অভিজাততন্ত্র,કુલીન વર્ગ,ಶ್ರೀಮಂತರು,പ്രഭുവർഗ്ഗം,अभिजात वर्ग,ଆଭିମୁଖ୍ୟ,ਕੁਲੀਨਤਾ,பிரபுத்துவம்,దొర
aristocrat,अभिजात,অভিজাত,অভিজাত,કુલીન,ಶ್ರೀಮಂತ,പ്രഭു,कुलीन,ଆଭିମୁଖ୍ୟବାଦୀ,ਕੁਲੀਨ,பிரபு,దొర
Aristotelian,अरस्तूवादी,এৰিষ্টটেলিয়ান,এরিস্টটলীয়,એરિસ્ટોટેલિયન,ಅರಿಸ್ಟಾಟಲ್,അരിസ്റ്റോട്ടിലിയൻ,अॅरिस्टोटेलियन,ଆରିଷ୍ଟୋଟେଲିଆନ୍ |,ਅਰਿਸਟੋਟਲੀਅਨ,அரிஸ்டாட்டிலியன்,అరిస్టాటేలియన్
arm palette,बाहुफलक,বাহু পেলেট,আর্ম প্যালেট,હાથ પેલેટ,ತೋಳಿನ ಪ್ಯಾಲೆಟ್,കൈ പാലറ്റ്,हात पॅलेट,ବାହୁ ପ୍ୟାଲେଟ୍ |,ਬਾਂਹ ਪੈਲੇਟ,கை தட்டு,చేతి పాలెట్
arm ring,"बाहुवलय, केयूर, बाजूबंद",বাহু আঙঠি,হাতের রিং,હાથની વીંટી,ತೋಳಿನ ಉಂಗುರ,കൈ മോതിരം,हाताची अंगठी,ବାହୁ ରିଙ୍ଗ |,ਬਾਂਹ ਦੀ ਰਿੰਗ,கை வளையம்,చేయి ఉంగరం
armada,युद्ध पोतों का बेड़ा,আৰ্মাডা,আর্মদা,આર્મડા,ನೌಕಾಪಡೆ,അർമാഡ,आर्मडा,ବାହୁବଳୀ,ਆਰਮਾਡਾ,ஆர்மடா,ఆర్మడ
armature,"ढाँचा, पंजर",আৰ্মেচাৰ,আর্মেচার,આર્મેચર,ಆರ್ಮೇಚರ್,അർമേച്ചർ,आर्मेचर,armature,ਆਰਮੇਚਰ,ஆர்மேச்சர்,ఆర్మేచర్
armlet,"केयूर, बाजूबंद",armlet,আর্মলেট,આર્મલેટ,ತೋಳು,ആംലെറ്റ്,आर्मलेट,ବାହୁବଳୀ,ਬਾਂਹ,கைக்கவசம்,ఆర్మ్లెట్
armour (=armor),"कवच, बख्तर, वर्म, आयुध",কৱচ (=কৱচ),বর্ম (= বর্ম),બખ્તર (=બખ્તર),ರಕ್ಷಾಕವಚ (=ರಕ್ಷಾಕವಚ),കവചം (=കവചം),चिलखत (= चिलखत),ବାହୁବଳୀ (= ବାହୁବଳୀ),ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ),கவசம் (=கவசம்),కవచం (=కవచం)
armourist,कवच विशारद,armourist,অস্ত্রধারী,શસ્ત્રાગાર,ಶಸ್ತ್ರಾಗಾರ,ആയുധധാരി,शस्त्रधारी,ବାହୁବଳୀ,ਹਥਿਆਰਬੰਦ,ஆயுதக்கருவி,ఆయుధాగాడు
armoury,शस्‍त्रागार,অস্ত্ৰভাণ্ডাৰ,অস্ত্রাগার,શસ્ત્રાગાર,ಶಸ್ತ್ರಾಗಾರ,ആയുധപ്പുര,शस्त्रागार,ଅସ୍ତ୍ରଶସ୍ତ୍ର,ਅਸਲਾ,ஆயுதக் கிடங்கு,ఆయుధశాల
arotelle,वलयालंकृत,arotelle গেস্টবুক,arotelle,એરોટેલ,ಅರೋಟೆಲ್,അരോട്ടെല്ല്,arotelle,arotelle,ਐਰੋਟੇਲ,அரோடெல்லே,ఆరోటెల్లె
arras,अलंकृत पट,arras,arras,arras,ಅರಾಸ್,അരാസ്,arras,ଆରେସ୍,arras,அராஸ்,అర్రాస్
arris,उत्कोण,arris,arris,એરિસ,arris,അരിസ്,arris,ଆରିସ୍,arris,அரிஸ்,అరిస్
arrow,"तीर, शर, वाण",কাঁড়,তীর,તીર,ಬಾಣ,അമ്പ്,बाण,ତୀର,ਤੀਰ,அம்பு,బాణం
arrow head,बाणाग्र,কাঁড়ৰ মূৰ,তীর মাথা,તીર વડા,ಬಾಣದ ತಲೆ,അമ്പ് തല,बाणाचे डोके,ତୀର ମୁଣ୍ଡ,ਤੀਰ ਦਾ ਸਿਰ,அம்பு தலை,బాణం తల
arrow straightner,वाण ऋजुक,arrow ষ্ট্ৰেইটনাৰ,তীর সোজাকারী,તીર સીધા કરનાર,ಬಾಣದ ನೇರ,അമ്പടയാളം,बाण सरळ करणारा,ତୀର ସିଧା,ਤੀਰ ਸਿੱਧਾ ਕਰਨ ਵਾਲਾ,அம்பு நேரானவர்,బాణం స్ట్రెయిట్నర్
art gallery,"चित्रशाला, चित्रदीर्घा, कलादीर्घा, चित्रवीथी",আৰ্ট গেলেৰী,চিত্রশালা,આર્ટ ગેલેરી,ಕಲಾಸೌಧಾ,ആർട്ട് ഗാലറി,कला दालन,କଳା ଗ୍ୟାଲେରୀ,ਆਰਟ ਗੈਲਰੀ,கலைக்கூடம்,"కళామందిరం, లలితకళామందిరం, శిల్పప్రదర్శనశాల"
