ab initio,আৰম্ভৰপৰা
diligent,"অধ্যৱসায়ী, পৰিশ্রমী"
dimension,"1.মাত্রা 2. বিস্তাৰ, ব্যাপ্তি"
diploma,ডিপ্লোমা
diplomacy,"কুটনীতি, বিচক্ষণতা"
diplomatic immunity,কূটনৈতিক উন্মুক্তি
direct,"1.প্রত্যক্ষ, পোনপটীয়া 2. আদেশ দে"
direct competition,পোনপটীয়া প্রতিযোগিতা
direct interview,পোনপটীয়া সাক্ষাৎকাৰ
direct recruit,পোনে পোনে কৰা ভর্ত্তি (ব্যক্তি)
direction,"নির্দেশ, আদেশ"
directory,নির্দেশিকা
disability,"1.পঙ্গুতা, বিকলতা, অক্ষমতা 2. অযোগ্যতা"
disabled person,অক্ষম ব্যক্তি
disablement benefit,"অক্ষমতা হিত লাভ, বিকলাঙ্গতা হিত লাভ"
disadvantage,"অসুবিধা, অপহিত"
disagree,"অসন্মতি, অসন্মত হ"
disallow,নামঞ্জুৰ কৰ
disallowed,নামঞ্জুৰ
disapproval,অননুমোদন
disaster,দুর্যোগ
disaster management,দুর্যোগ ব্যৱস্থাপনা
disband,দল ভাঙি দে
disbursement,"বিতৰণ, বণ্টন"
discard,"1. ত্যাগ কৰ 2. অগ্রাহ্য কৰ, খাৰিজ কৰ, নামঞ্জুৰ কৰ"
discharge,"1.ভাৰমুক্ত কৰ 2. যাবলৈ দে, এৰি দে, মুক্তি দে 3. ছুটী দে, কর্মচ্যুত কৰ 4. সম্পন্ন কৰ, দায়িত্ব পালন কৰ"
discharge slip,ছুটীৰ ৰোকা
disciplinary action,অনুশাসনমূলক কার্য্যব্যৱস্থা
disciplinary procedure,অনুশাসনমূলক প্রক্রিয়া
discipline,"অনুশাসন, শৃংখলা"
disclaim,1.দাবী এৰ 2. অস্বীকাৰ কৰ
disclosure,"প্রকটন, ফাদিলকৰণ, উন্মুক্তকৰণ"
discontent,অসন্তুষ্ট
discontinuance,"সমাপন, সমাপ্তি"
discontinue,"বন্ধ কৰ, সমাপ্ত কৰ"
discord,মতানৈক্য
discount,ৰেহাই
discover,1.আৱিষ্কাৰ কৰ 2. প্রকাশ কৰ 3. বিচাৰি পা
discredit,"অপবাদ, অবিশ্বাস"
discrepancy,বিসংগতি
discretion,স্ববিবেচনা
discretionary grant,স্ববিবেচনাধীন অনুদান
discretionary power,স্ববিবেচনাধীন ক্ষমতা
discrimination,বৈষম্য
discussion,"1.চিন্তা-চর্চা, আলোচনা 2. বিতর্ক"
dishonest,"অসৎ, অসাধু"
dishonour (a cheque),"(চেক) অস্বীকাৰ কৰ, অনাদৰ কৰ"
disintegration,1.বিঘটন 2. বিভাজন
disk,ডিস্ক্‌
dislocation,1.বিস্থাপন 2. বিস্থানন 3. অচল অৱস্থা
disloyal,"নিষ্ঠাহীন, আনুগত্যহীন"
dismiss,"1.পদচ্যুত কৰ, বর্খাস্ত কৰ 2. খাৰিজ কৰ, নামঞ্জুৰ কৰ"
dismissal,"পদচ্যুতি, বর্খাস্তকৰণ"
dismissal procedure,বর্খাস্তকৰণ প্রক্রিয়া
disobey,"অৱজ্ঞা কৰ, অমান্য কৰ"
disorder,"1.বিশৃংখলা 2. পীড়া, বিকাৰ 3. হুলস্থূল, অশান্তি 4. বিজুতি"
disorganise,"বিশৃংখল কৰ, বেমেজালি কৰ"
disparity,অসমানতা
dispatch section,প্রেৰণ অনুভাগ
dispensable,পৰিহার্য্য
disperse,"পৰিক্ষিপ্ত কৰ, সিঁচৰতি কৰ, বিস্তৃত কৰ"
displaced,"বিস্থাপিত, স্থানান্তৰিত"
display,"প্রদর্শন কৰ, প্রদর্শন"
displeasure,"অসন্তুষ্টি, অপ্রসন্নতা"
disposal,"1.হস্তান্তৰ 2. বিন্যাস, সংস্থাপন 3. পৰিত্যাগ কৰণ"
dispose of,"1.হস্তান্তৰ কৰ 2. বিন্যাস কৰ, সংস্থাপন কৰ 3. পৰিত্যাগ কৰ"
disposition,"প্রবৃত্তি, স্বভাৱ"
dispossess,"স্থানচ্যুত কৰ, বেদখল কৰ, উচ্ছেদ কৰ"
dispute,"বিবাদ, কাজিয়া"
disqualification,"1.অযোগ্য ঘোষণা কৰণ 2. অযোগ্যতা, অনর্হতা 3. খুঁত, দোষ"
disregard,"অৱজ্ঞা, অৱহেলা, অশ্রদ্ধা"
disruption,"ব্যাঘাত জন্মোৱা, ব্যাহত কৰা"
dissatisfaction,অসন্তোষ
dissent,"অসন্মতি, আপত্তি"
disservice,"ক্ষতি, লোকচান, অনিষ্ট সাধন"
dissociate,"1.সম্পর্ক ত্যাগ কৰ 2. বিযুক্ত হ, বিয়োজন ঘট"
dissolution,1.ভংগ 2. বিঘটন
dissolve,1.ভংগ কৰ 2. বিঘটিত কৰ
distance learning,দূৰস্থ অধিগম
distillery,"মদৰ ভাটি, সুৰা কাৰখানা"
distinct,"1.বিশিষ্ট, ভিন্ন 2. স্পষ্ট, পৰিস্ফুট, সুনির্দিষ্ট 3. স্মৰণীয়, বিখ্যাত"
distinguish,"1.শ্রেণী বিভাজন কৰ, পৃথক কৰ, বৈশিষ্ট বিচাৰি পা 2. বাছি উলিয়া 3. খ্যাতি অর্জন কৰ"
distortion,বিকৃতি
distress,"কষ্ট, বিপত্তি"
distribute,বিতৰণ কৰ
distribution,বিতৰণ
district,জিলা
district centre,জিলাৰ প্রধান কেন্দ্র
disturbance,1. উপদ্রৱ 2. অশান্তি 3. বাধা
ditto,"যথোপৰি, ওপৰত দিয়াৰ দৰে"
diversion,"1.অপসৰণ, উপপথ 2. (মনোযোগ নষ্টকাৰী) আমোদ-প্রমোদ"
dividend,লাভাংশ
division,"1. বিভাজন 2. ভাগ, অংশ 3. বিভাগ, সংমণ্ডল, ডিভিজন (সেনাবাহিনীৰ) 4. শ্রেণী, বর্গ 5. মতভেদ 6.ভোট বিভাজন"
divorce,বিবাহ বিচ্ছেদ
docket,"1.সাৰলিপি 2. নথি 3. ফাইল নম্বৰ, লেবেল"
doctor,"ডাক্তৰ, চিকিৎসক"
document,"প্রলেখ, দস্তাৱেজ, নথি"
documentary evidence,নথি সমর্থিত সাক্ষ্য
documentation,প্রলেখন
domicile,অধিবাস
domicile certificate,অধিবাস প্রমাণপত্র
dominant,"1.প্রবল, প্রধান 2. প্রভাৱশালী"
donation,"দান, চান্দা, বৰঙণি"
dossier,নথিপত্র
doubtful,সন্দেহজনক
dove tailing,ক্রমৱেশন
down grade,"1.অধোগতি 2. অধঃগতি, অধঃপতন"
draft,খচৰা
draft reply,খচৰা উত্তৰ
drastic measure,কঠোৰ উপায়
draw,"1.(বেতন) আহৰণ 2. (লটাৰী) উলিওৱা 3. (চেক) কাট, লিখ"
drawer,"1. চেক কটা জন, লিখোঁতা 2. আহৰণকর্ত্তা 3. দেৰাজ 4. ধন তোলোতা ব্যক্তি"
drawing,"1.ড্রয়িঙ, ৰেখাচিত্র 2. আহৰণ"
drought,"অনাবৃষ্টি, খরাং"
dry promotion,নির্লাভ পদোন্নতি
dual charge,দ্বৈত কার্য্যভাৰ
dual citizenship,দ্বৈত নাগৰিকত্ব
due,"1.দেনা, ধাৰ, ঋণ 2. দেয় 3. প্রাপ্য, পাওনা 4. হক্‌ 5. মাচুল, ফীজ"
due diligence,সম্যক তৎপৰতা
dues,দেয় ধনৰাশি
duly,যথাবিধি
duplicate,"দ্বিতীয় প্রতি, অনুলিপি"
duration,"অৱধি, ম্যাদ"
duress,হেঁচা
duty,"1.কর্ত্তব্য, কাম 2. শুল্ক"
duty allowance,কর্ত্তব্য ভাট্টা
duty chart,ডিউটি চার্ট
duty leave,ইতৰ কার্য্যার্থ ছুটী
duty room,ডিউটি কক্ষ
dying declaration,মৃত্যুকালিক কথন
dynamics,1.গতিবিদ্যা 2. চালন শক্তি 3. প্রগতি
earmark,"আছুতীয়াকৈৰাখ, চিহ্নিতকৰ"
earned leave,আর্জিতছুটী
earnings,"উপার্জন, আয়"
eco-friendly,পৰিৱেশ-অনুকূল
ecology,"পৰিস্থিতিবিজ্ঞান, পাৰিপার্শ্ববিজ্ঞান"
economic,অর্থনৈতিক
economical exploitation,আর্থিকশোষণ
economy,1.অর্থনৈতিকঅৱস্থা2.মিতব্যয়িতা
economy class,কমখৰচীশ্রেণী
editing,সম্পাদনা
edition,সংস্কৰণ
editorial,সম্পাদকীয়
education,শিক্ষা
educational career,শৈক্ষিককেৰিয়াৰ
educational institute,"শৈক্ষিকপ্রতিষ্ঠান, শিক্ষানুষ্ঠান"
educational qualification,শৈক্ষিকঅর্হতা
effect,প্রভাৱ2.পৰিণাম
effective date,কার্যকাৰীতাৰিখ
effects,"পৰিণাম2.কার্যকাৰিতা3.সাঁচ, প্রতীতি4.মালবস্তু"
efficacy,কার্যকাৰিতা
efficiency,"দক্ষতা, কার্যকুশলতা"
efficient,দক্ষ
ejectment,1.উচ্ছেদ2.বেদখলীমোকর্দমা3.বেদখল
elaborate,বিস্তাৰিত
elapse,অতিবাহিতহ
elected representative,নির্বাচিতপ্রতিনিধি
