Hindi,Telugu
गतिक पता अनुवाद,"డైనమిక్ చిరునామా
 అనువాదం"
गतिक नियतन,డైనమిక్ కేటాయింపు
गतिक चयक नियतन,"డైనమిక్ బఫర్
 కేటాయింపు"
गतिक चयकन,డైనమిక్ బఫరింగ్
गतिक नियंत्रण फलन,"డైనమిక్ నియంత్రణ
 ఫంక్షన్"
गतिक दोषमार्जन,డైనమిక్ డీబగ్
गतिक युक्ति पुनर्विन्यास,"డైనమిక్ పరికరం
 పునర్నిర్మాణం"
गतिक प्रदर्श प्रतिबिंब,"డైనమిక్ ప్రదర్శన
 చిత్రం"
गतिक सन्निक्षेप,డైనమిక్ డంప్
गतिक कचरा संग्रहण,"డైనమిక్ చెత్త
 సేకరణ"
गतिक अनुदेश,"డైనమిక్
 సూచన"
गतिक भारण,డైనమిక్ లోడింగ్
गतिक स्मृति,డైనమిక్ మెమరీ
गतिक स्मृति नियतन,"డైనమిక్ మెమరీ
 కేటాయింపు"
गतिक प्राचल,"డైనమిక్
 పరామితి"
"गतिक प्रिन्ट आउट, गतिक मुद्रण",డైనమిక్ ప్రింటౌట్
गतिक क्रमादेशन,"డైనమిక్
 ప్రోగ్రామింగ్"
गतिक परिसर,డైనమిక్ పరిధి
गतिक पुनरवस्थापन,"డైనమిక్
 పున oc స్థాపన"
गतिक अनुक्रिया,డైనమిక్ ప్రతిస్పందన
गतिक अनुसूचन,"డైనమిక్
 షెడ్యూలింగ్"
गतिक विराम,డైనమిక్ స్టాప్
गतिक भंडारण,డైనమిక్ నిల్వ
गतिक भंडारण नियतन,"డైనమిక్ నిల్వ
 కేటాయింపు"
गतिक उपनेमका,"డైనమిక్
 సబ్‌ట్రౌటిన్"
गतिक आलंब तंत्र,"డైనమిక్ మద్దతు
 వ్యవస్థ"
गतिक तंत्र निदर्श,"డైనమిక్ సిస్టమ్
 మోడల్"
गतिक कल्पित स्मृति तंत्र,"డైనమిక్ వర్చువల్
 మెమరీ సిస్టమ్"
प्रतिध्वनि जाँच,ఎకో చెక్
प्रतिध्वनि निरोधक,ఎకో సప్రెసర్
अर्थमितीय अनुप्रयोग,"ఎకోనొమెట్రిక్
 అప్లికేషన్"
अर्थमितीय निदर्श,"ఎకోనొమెట్రిక్
 మోడల్"
आर्थिक अनुप्रयोग,"ఆర్థిక
 అప్లికేషన్"
अर्थशास्त्र अभिकलन,"ఆర్థిక శాస్త్రం
 కంప్యూటింగ్"
अर्थशास्त्र अभिकलन जालक्रम,"ఆర్థిక శాస్త్రం
 కంప్యూటింగ్
 నెట్‌వర్క్"
कोर,అంచు
दांतेदार पत्रक,ఎడ్జ్ నోచ్డ్ కార్డ్
कोर छिद्रित पत्रक,ఎడ్జ్ పంచ్ కార్డ్
संपादन,సవరణ
संपादनदिष्ट संचारण,"సవరణ దర్శకత్వం
 ప్రసార"
संपादित प्रतिलिपि,సవరించిన కాపీ
संपादन संप्रतीक,క్యారెక్టర్ ఎడిటింగ్
संपादन आँकड़े,డేటాను సవరించడం
संपादन सूचना,"ఎడిటింగ్
 సమాచారం"
संपादन सत्र,ఎడిటింగ్ సెషన్
संपादन कथन,ఎడిటింగ్ స్టేట్మెంట్
संपादन प्रतीक,సవరణ చిహ్నం
संस्करण अंक,ఎడిషన్ సంఖ్య
संपादन विधा,మోడ్ సవరణ
संपादक,ఎడిటర్
संपादक लक्षण,ఎడిటర్ ఫీచర్
संपादक सूक्ष्म अभिकलित्र,"ఎడిటర్ మైక్రో
 కంప్యూటర్"
संपादक क्रमादेश,ఎడిటర్ ప్రోగ్రామ్
संपादन प्रावस्था,దశను సవరించండి
शैक्षिक प्रौद्योगिकी,"విద్య
సాంకేతికం"
