Marathi,Hindi
अॅक्रोमॅटिक लेन्स जोडी,अवर्णक लेन्स-युग्म
"प्रसार, विस्तार","द्विभवन, द्विस्तरण"
दुप्पट चार्ज केलेला कण,द्वितः आवेशित कण
उभयचर भ्रष्ट,द्विधा अपभ्रष्ट
दुहेरी ionized,द्वित: आयनित
खालच्या दिशेने,अधोमुखी
ट्रॅक्शन अयस्क सेमी कॉम्पॅक्ट,"कर्षण, कर्षज अयस्क, अर्ध संच"
कर्षण शक्ती,कर्षण बल
"वाह, प्रवाह, अपोध, प्रवाह (खाण), पंझ (अन्न), विस्थापन","वाह, अपवाह, अपोढ़, ड्रिफ्ट (खनन), पाँझ (खाद्य), विस्थापन"
प्रवाह प्रवाह,अपवाह धारा
कार्यरत,परिचालन
वहन व्होल्टेज,चालन वोल्टता
लहान चेंडू,पाती बॉल
अचानक ब्रेक,आकस्मिक विराम
"बिंदू, सूक्ष्म बिंदू, थेंब","बिंदुक, सूक्ष्म बिंदु, सूक्ष्म बूंद"
पडणे,पातन
कोरडे,शुष्क
कोरडे कोरडे हायग्रोमीटर,शुष्कार्द आर्द्रतामापी
अयशस्वी संपर्क,विफल संपर्क
"दुहेरी ऑपरेशन, दुहेरी ऑपरेशन","द्वि प्रचालन, द्वैती संक्रिया"
वाहिनी,वाहिनी
तन्य,तन्य
तन्य,तन्यता
मंद,मंद
