English,Assamese
half open interval,অৰ্ধ-বন্ধ ব্যৱধান
half space,আধা জনসংখ্যা
Hamilton Cayley Theorem,হেমিল্টন কেলি উপপাদ্য
Hamiltonian operator,hamiltoni অপাৰেটৰ
Hamilton's quaternion algebra,hamilton&#39;s চতুৰ্ভুজ
harmonic,"হাৰমনিক, হাৰমনিক, হাৰমনিক, হাৰমনিক"
harmonic envelope,হাৰমনিক কভাৰ
harmonic mean,হাৰমনিক গড়
harmonic progression,হাৰমনিক প্ৰগ্ৰেছন
harmonics,"পাৰস্পৰিক বিশ্লেষণ, গুণগত মান"
harmonic series,হাৰমনিক ৰেঞ্জ
height,"উচ্চতা, উচ্চতা, উচ্চতা"
hemisphere,"গোলাৰ্ধ, গোলাৰ্ধ"
hemispherical,গোলাৰ্ধীয়
hemispherical projection,গোলাৰ্ধীয় প্ৰক্ষেপণ
heptagon,হেপ্টাগন
Hermitian conjugate operator,hermit কনজুগেট অপাৰেটৰ
Hermitian form,হাৰ্মেটিক যুদ্ধ
Hermitian matrix,হাৰ্মেটিক মেট্ৰিক্স
Hermitian operator,হাৰ্মেটিক অপাৰেটৰ
Hermitian product,hermit product
Hermitian semigroup,হাৰ্মেটিক গ্ৰুপ
Hermitian space,হাৰ্মিটেজ জনসংখ্যা
Hermitian transformation,হাৰ্মেটিক ৰূপান্তৰ
Hess diagram,hess ডায়াগ্ৰাম
Hessian matrix,হেচিয়ান মেট্ৰিক্স
Hessian of function,hessian of function
heterogeneity test,বৈষম্য পৰীক্ষা
heterogeneous,"বিষমজাতীয়, বিষমজাতীয়, বিষমজাতীয়"
heterogeneous data,বৈষম্যপূৰ্ণ চিত্ৰ
heterogeneous population,বৈষম্যপূৰ্ণ জনসংখ্যা
heuristic,প্ৰাকৃতিক
heuristically,স্বাভাৱিকতে
hexagon,ষড়ভুজ
hexahedron,ষড়ভুজ
hierarchial subdivision,স্তৰভিত্তিক উপবিভাজন
hierarchy,"স্তৰবৃত্ত, উচ্চ পৰম্পৰা"
high birth rate,উচ্চ জন্মৰ হাৰ
high death rate,উচ্চ মৃত্যুৰ হাৰ
higher - age – group,উচ্চ বয়সৰ গোট
higher order,উচ্চ ক্ৰম
highest order,সৰ্বোচ্চ ক্ৰম
Hilbert cube,hilbert ঘনক
Hilbert space,hilbert জনসংখ্যা
H–invariant,এইচ-নিশ্চিত
historigram,সময়সীমা
hollow cone,ফুটা শঙ্কু
homeomorphism,"সাদৃশ্য, সাদৃশ্য"
homogeneity,"সমতা, সমতা"
homogeneous,"সমজাতীয়, সমজাতীয়, সমজাতীয়, সমজাতীয়, সমজাতীয়"
homogeneous data,সমজাতীয় চিত্ৰ
homogeneous difference equation,সমজাতীয় অৱভেদ্য সমীকৰণ
homomorphism,সমৰূপতা
horizontal,অনুভূমিক
horizontal plane,অনুভূমিক সমতল
hour,ঘণ্টা
hydrodynamic,হাইড্ৰ&#39;ডাইনেমিক
hydrodynamics,"হাইড্ৰ’ডাইনেমিক্স, হাইড্ৰ’ডাইনেমিক্স, হাইড্ৰ’ডাইনেমিক্স"
hydromechanics,"হাইড্ৰ&#39;মেকানিক্স, হাইড্ৰ&#39;মেকানিক্স"
hydrostatic,হাইড্ৰষ্টেটিক
hydrostatic balance,buoyant ভাৰসাম্য
hydrostatics,"হাইড্ৰষ্টেটিক্স, হাইড্ৰষ্টেটিক্স"
hyperbola,"হাইপাৰবোলা, হাইপাৰবোলা"
hyperboloid,"হাইপাৰব’লা, হাইপাৰব’ল’ইড"
hyperboloid of one sheet,একক হাইপাৰবোলা
hyperboloid of revolution,ঘূৰ্ণনশীল হাইপাৰপেৰাবোলা
hyperboloid of two sheets,ডাবল হাইপাৰবোলা
hypergeometric distribution,হাইপাৰজ্যামিতিক বিতৰণ
hypergeometric series,হাইপাৰজ্যামিতিক পৰিসৰ
hyperplane,"লোমৰ সমতল, ছুপাৰ সমতল"
hypersphere,দোলক
hyper surface,"অভাৰপেজ, অভাৰভিউ পৃষ্ঠা"
hypotenuse,কাণ
hypothesis,অনুমান
ideal basis,আদৰ্শ ভিত্তি
ideal fluid,আদৰ্শ তৰল
ideal gas,আদৰ্শ গেছ
identical eigen value,অবিচ্ছেদ্য আইজেন মান
identically equal,একেবাৰে একে
Identity,"একে, একে, সাদৃশ্য, ব্যক্তিত্ব"
identity element,সংশ্লিষ্ট উপাদান
identity function,পৰিচয় কাৰ্য্য
identity  homomorphism,একেধৰণৰ সমৰূপতা
identity map,একেধৰণৰ মানচিত্ৰ
identity mapping,একেধৰণৰ মেপিং
identity matrix,একেধৰণৰ মেট্ৰিক্স
identity of a group,গ্ৰুপ এনালগ
identity of a ring,ৰিংৰ সৈতে সাদৃশ্যপূৰ্ণ
identity operator,একেধৰণৰ অপাৰেটৰ
identity period,পৰিচয়ৰ সময়সীমা
identity permutation,পৰিচয় ক্ৰমবিন্যাস
identity relation,একেধৰণৰ সম্পৰ্ক
identity transformation,একেধৰণৰ ৰূপান্তৰসমূহ
if and only if,যদি আৰু কেৱল যদিহে
if - then' computer,&#39;if-then&#39; কম্পাইলাৰ
ill condition,অসৎ ব্যৱহাৰ
ill-conditioned equation,maladaptive সমীকৰণ
ill-conditioned matrix,ভুল নিষিদ্ধ মেট্ৰিক্স
ill-conditioned polynomial,malaadaptive বহুপদ
ill-conditioned system,maladaptive শৰীৰ
illogical,অযুক্তিকৰ
illustrate,উদাহৰণ দাঙি ধৰা
illustration,"উদাহৰণ, চিত্ৰণ, ছবি, চিত্ৰণ"
image of a set,গোটৰ প্ৰতিফলন
image of a subset,উপগোটৰ প্ৰতিফলন
image of point,বিন্দু প্ৰতিফলন
image set,ছবিৰ ছেট
Imaginary,"কল্পিত, কাল্পনিক, কল্পিত"
imaginary angle,ধাৰণা কৰা কোণ
imaginary circle,কল্পিত বৃত্ত
imaginary circular points,কাল্পনিক বৃত্তাকাৰ বিন্দু
imaginary coefficient,কাল্পনিক সহগ
imaginary coordinate,ধৰি লোৱা স্থানাংক
imaginary homothetic,অনুমান কৰা অৱস্থান
imaginary intersection,ধৰি লোৱা ছেদক
imaginary line,কাল্পনিক ৰেখা
imaginary number,অদ্ভুত সংখ্যা
imaginary point,কাল্পনিক বিন্দু
imaginary root,ধাৰণা কৰা উৎপত্তি
imaginary rotation,ধাৰণা কৰা ঘূৰ্ণন
imaginary unit,নিৰ্দিষ্ট এককসমূহ
imbedding,"এম্বেডিং, এম্বেডিং"
impedance matrix,ইম্পিডেন্স মেট্ৰিক্স
implicit,তৰংগ
implicit function,অস্পষ্ট কাৰ্য্য
implicit integration formula,অস্পষ্ট সংহতি সূত্ৰ
improbable,অসাধাৰণ
improper,"অদ্ভুত, অনুপযুক্ত"
improper division,অনুচিত বিভাজন
improper double integral (= infinite double integral),অসীম দ্বৈত অখণ্ড
improper factor,অদ্ভুত কাৰক
improper fraction,অদ্ভুত ভগ্নাংশ
improper maximum,অযুক্তিকৰ সৰ্বোচ্চ
improper minimum,অযুক্তিকৰ সৰ্বনিম্ন
improper rotation,যৌগিক ঘূৰণ
improvement matrix,সংশোধন মেট্ৰিক্স
impulse,impulse
impulsive force,আৱেগিক শক্তি
impulsive pressure,আৱেগিক চাপ
impulsive tension,ইম্পলচিভ ষ্ট্ৰেছ
impulsive wrench,impulsive ৰেঞ্চ
imputed cost,চাৰ্জ কৰা খৰচ
inadequacy,অপৰ্যাপ্ততা
incident wave,কাণ্ডৰ ঢৌ
inclination of a vector,ভেক্টৰ গ্ৰেডিয়েন্ট
inclination of orbit,ক্লাছ টেম্প
incline,"আতি, নাতি"
inclined,"inclined, হেলনীয়া, বেঁকা"
inclined plane,হেলনীয়া সমতল
included,"তলত, অন্তৰ্ভুক্ত"
inclusion,"অন্তৰ্ভুক্ত, অন্তৰ্ভুক্ত, অন্তৰ্ভুক্ত, অন্তৰ্ভুক্ত, অন্তৰ্ভুক্ত"
incomplete gamma function,অসম্পূৰ্ণ গামা ফাংচন
inconsistency,অসামঞ্জস্যতা
inconsistent,"অসামঞ্জস্যপূৰ্ণ, বিৰোধী"
inconsistent statistic,অসামঞ্জস্যপূৰ্ণ নমুনা
inconsistent system,অসামঞ্জস্যপূৰ্ণ শৰীৰ
incorrect,"অশুদ্ধ, ভুল"
incorrect decision,ভুল সিদ্ধান্ত
increase,বৃদ্ধি
increasing function,বৃদ্ধি কৰা কাৰ্য্য
increment,বৃদ্ধি
indefinite,অনিশ্চয়
indefinite form,অনিৰ্দিষ্ট ৰূপ
indefinite integral,অনিৰ্দিষ্ট অবিচ্ছেদ্য
indefinite matrix,অনিৰ্দিষ্ট মেট্ৰিক্স
indefinite quadratic form,অনিৰ্দিষ্ট দ্বিধাতুৰ সমতা
independence,স্বাধীনতা
independent event,স্বাধীন অনুষ্ঠান
independent function,স্বাধীন কাৰ্য্য
independent random variable,স্বাধীন যাদৃচ্ছিক চলক
independent variable,স্বাধীন চলক
