Abatement,"ଛାଡ଼,ହ୍ରାସ,ଉପଶମନ"
Daily wages,ଦୈନିକ ମଜୁରି
Dak stage,ଡାକ ସ୍ତର
Dak tray,ଡାକଟ୍ରେ
Damage,"କ୍ଷତି, ଲୋକସାନ, କ୍ଷତି କରିବା"
Damages,"ଖେସରା, ଖେସାରତ"
Dangerous,"ବିପଜ୍ଜନକ, ବିପଦସଙ୍କୁଳ"
Daring,"ନିର୍ଭୀକ, ସାହସୀ, ନିର୍ଭୀକତା, ସାହସିକତା, ସାହସ"
Data,"ତଥ୍ୟାବଳୀ, ଦତ୍ତ-ତଥ୍ୟ"
Data bank,ତଥ୍ୟାବଳୀ ବ୍ୟାଙ୍କ
Data base,"ସଂଗଣକ(କଂପ୍ୟୁଟର)ରେ ଶୃଙ୍ଖଳିତ ଭାବେ ରକ୍ଷିତ ସ୍ୱୀକୃତ ବିଷୟ, ଡାଟା ପ୍ରସେସିଂ, ତଥାବଳୀ ପ୍ରସେସିଂ"
Data collection,ତଥ୍ୟବଳୀ ସଂଗ୍ରହ
Data feeding,"ତଥ୍ୟାବଳୀ ଯୋଗାଣ, ତଥ୍ୟାବଳୀ ଫିଡିଂ"
Data processing,"ଦତ୍ତ ବିଷୟ ଅନୁଶୀଳନ ପାଇଁ ସ୍ୱୟଂକ୍ରିୟ ପଦ୍ଧତି, ଡାଟା ପ୍ରସେସିଂ"
Date,"ତାରିଖ, ଖଜୁରୀ, ତାରିଖ ନିରୂପଣ କରିବା, କାଳ ଗଣନା କରିବା"
Date of arrival,"ଆସିବା ଦିନ, ଆଗମନ ତାରିଖ"
Date of birth,ଜନ୍ମ ତାରିଖ
Date of departure,"ଯିବା ଦିନ, ପ୍ରସ୍ଥାନ ତାରିଖ"
Date of discharge,କାର୍ଯ୍ୟମୁକ୍ତି ତାରିଖ
Date of maturity,ପରିପକ୍ୱତା ତାରିଖ
Date of receipt,ଗ୍ରହଣ କରିବା ତାରିଖ
Date stamp,ତାରିଖୀ ମୋହର
Day scholar,ଅନାବାସୀ ଛାତ୍ର
Day shift,ଦିନବାରି
Days of grace,"କୋହଳ ସମୟ, ଅନୁଗ୍ରହ ପ୍ରଦତ୍ତ କାଳ, ରିହତି କାଳ"
Day to day work,"ଦୈନନ୍ଦିନ, ପ୍ରତିଦିନ"
Dead account,"ଅଚଳ ହିସାବ, ନିଷ୍କ୍ରିୟ ଖାତା"
Dead line,"ଅନ୍ତରେଖା, ଅନ୍ତିମ ସମୟ ସୀମା"
Deadlock,"ଅଚଳାବସ୍ଥା, ଗତିରୋଧ"
Dead stock register,ମୃତଡାକ ପଂଜିକା
Dead weight,"ଅସହ୍ୟ ଭାର, ସମସ୍ତ ବୋଝ"
Deal,"ନେଣଦେଣ, ଦର କଷାକଷି"
Dealing assistant,ସଂପୃକ୍ତ ସହାୟକ
Dealing,"ସଂପୃକ୍ତ, ସଂମ୍ବନ୍ଧିତ"
Death anniversary,ପୁଶ୍ୟ ତିଥି
Dearness allowance,ମହଙ୍ଗା ଭତ୍ତା
Death benefit,ମୃତ୍ୟୁ ହିତଲାଭ
Death-cum-retirement gratuity,ମୃତ୍ୟୁ ତଥା ଅବସର ଗ୍ରହଣ
Death in service,ସେବା ଅବଧି ମୃତ୍ୟୁ
Deauthorizatioin,ପ୍ରାଧିକାର ନିରସ୍ତ
Debar,"ବଞ୍ଚିତ କରିବ, ବହିଷ୍କାର କରିବା"
Debit,"ବିକଳନ, ଖର୍ଚ୍ଚ, ଖର୍ଚ୍ଚ ପୃଷ୍ଠା, ଖର୍ଚ୍ଚ ଲେଖିବା"
Debit advice,"ଖର୍ଚ୍ଚ ପରାମର୍ଶ, ବିକଳନ ସଂଜ୍ଞାପନ"
Debt,"ଋଣ, କରଜ, ଦେଣା"
Debt management,ଋଣ ପ୍ରବନ୍ଧନ
Debtor,"ଋଣୀ, ଖାତକ"
Deceased,"ପରଲୋକଗତ, ମୃତ"
Decency,"ଶାଳୀନତା, ଶିଷ୍ଟତା"
Decentralization,ବିକେନ୍ଦ୍ରୀ କରଣ
Deciding factor,ନିର୍ଣ୍ଣାୟକ କାରଣ
Decision,"ନିଷ୍ପତ୍ତି, ସିଦ୍ଧାନ୍ତ, ନିର୍ଣ୍ଣୟ"
Decision making,ନିର୍ଣ୍ଣୟନ
Decision making process,ନିର୍ଣ୍ଣୟନ ପ୍ରକ୍ରିୟା
Declaration,"ଘୋଷଣା, ପ୍ରଚାର"
Declaration of income,ଆୟର ଘୋଷଣା
Declared value,ଘୋଷିତ ମୂଲ୍ୟ
Declare on oath,ଶପଥପୂର୍ବକ ଘୋଷଣା
Decode,କୂଟବାଚନ କରିବା
Decontrol,ନିୟନ୍ତ୍ରଣମୁକ୍ତି କରିବା
Decorum,"ଶିଷ୍ଟାଚାର, ମର୍ଯ୍ୟାଦା"
Decrease,"ହ୍ରାସ ହେବା, ହ୍ରାସ"
Decree,"ଡିକ୍ରି, ଫଏସଲା"
Dedication,"ଉତ୍ସର୍ଗ, ଉତ୍ସର୍ଗପତ୍ର"
Deductible,ବିୟୋଗ ଯୋଗ୍ୟ
Deduction,"ସିଦ୍ଧାନ୍ତ, ବିୟୋଗ, କାଟ"
Deduction at source,"ସ୍ରୋତ କାଟ, ସ୍ରୋତ ବିୟୋଗ"
Deduction from salary,ଦରମାରୁ କାଟ
Deed,"ଦଲିଲ, କାର୍ଯ୍ୟ"
Deed of mortgage,ବନ୍ଧକ ଦଲିଲ୍
Deemed university,ମାନିତ ବିଶ୍ୟବିଦ୍ୟାଳୟ
Deface,ବିରୂପ କରିବା
De facto,କାର୍ଯ୍ୟତଃ
Defalcation,ତୋସରଫ କରିବା
Defamation,ମାନହାନି
Default,"ଖିଲାପ, ବ୍ୟତିକ୍ରମ"
Defaulter,"ଖିଲାପକାରୀ, ଗରହାଜିର ବ୍ୟକ୍ତି"
Defective,ତ୍ରୁଟିପୂର୍ଣ୍ଣ
Defence,"ପ୍ରତିରକ୍ଷା, ପ୍ରତିବାଦ, ରକ୍ଷା, ପ୍ରତିବାଦୀର ଅଭିବଚନ"
Defence counsel,ପ୍ରତିରକ୍ଷା ପରାମର୍ଶଦାତା
Defence production,ପ୍ରତିରକ୍ଷା ଉତ୍ପାଦକ
Defendant,ପ୍ରତିବାଦୀ
Defer,"ସ୍ଥଗିତ ରଖିବା, ମତ ଅନୁସରଣ କରିବା"
Deferred expenditure,ଆସ୍ଥଗିତ ବ୍ୟୟ
Defiance,"ଅବଜ୍ଞା, ବେଖାତିର"
Deficit,ନିଅଣ୍ଟ
Deficit budget,ନିଅଣ୍ଟିଆ ବଜେଟ୍
Define,"ସଂଜ୍ଞା କରିବା, ପରିଭାଷିତ କରିବା, ନିର୍ଦ୍ଦିଷ୍ଟ କରିଦେବା"
Defy,"ଅବଜ୍ଞା କରିବା, ବେଖାତିର କରିବା"
Degradation,"ପଦ ହ୍ରାସନ, ଅଧଃପତନ"
Degree,"ମାତ୍ରା, ଅଂଶ, ଉପାଧି, ଉତ୍ତାପ ପରିମାପକ ଏକକ"
Dejure,ବିଧିତଃ
Delay,"ବିଳମ୍ୱ କରିବା, ଡେରି କରିବା, କାର୍ଯ୍ୟ ପକେଇ ରଖିବା, ବିଳମ୍ୱ, ଡେରି"
Delegate,"ଅଧିକାର ଅର୍ପିତ, କ୍ଷମତାପ୍ରାପ୍ତ"
Delegated authority,ପ୍ରତ୍ୟାୟୋଜିତ କର୍ତ୍ତୃପକ୍ଷ
Delegation,"ପ୍ରତିନିଧି ମଣ୍ଡଳ, ଅଧିକାର ଅର୍ପଣ"
Delegation of powers,କ୍ଷମତା ପ୍ରତ୍ୟାୟୋଜନ
Delete,"ଉଠାଇ ଦେବା, ଅପସାରଣ କରିବା, କାଟି ଦେବା"
Deletion,"ବିଲୋପ, ଅପସାରଣ, କାଟ"
Deliberately,"ସ୍ୱେସ୍ଥାକୃତ ଭାବରେ, ସୁଚିନ୍ତିତ ଭାବରେ, ଜାଣିଶୁଣି କରି"
Deliberation,"ବିଚାର ବିମର୍ଶ, ଅନୁଶୀଳନ"
Delicencing,ରାଇସେନସ ରଦ୍ଦିକରଣ
Delimitation,ପରିସୀମା ନିର୍ଦ୍ଧାରଣ
Deliver,"ଦେବା, ପ୍ରସବ କରିବା, ଉଦ୍ଧାର କରିବା, ବିତରଣ କରିବା"
Delivery,"ଦାନ, ଭାଷଣ ଶୈଳୀ, ପ୍ରସବ, ବିତରଣ"
Demand,"ଦାବି କରିବ, ତଲବ କରିବା, ଦାବି, ଚାହିଦା, ତଲବ, ମାଗଣ"
Demand note,ଦାବି ନୋଟିସ୍
Demarcation,ସୀମାଙ୍କନ
Demi-official,ଅର୍ଦ୍ଧ-ସରକାରୀ
Democracy,ଗଣତନ୍ତ୍ର
Demonstration,"ପ୍ରଦର୍ଶନ, ପ୍ରତିପାଦନ, ବିକ୍ଷୋଭ ପ୍ରଦର୍ଶନ"
Demoralization,"ନୈତିକ ଅଧୋପତନ, ମନୋବଳ ହ୍ରାସ"
Demurrage,ବିଳମ୍ୱ ଶୁଳ୍କ
Denial,"ଅସ୍ୱୀକାର, ପ୍ରତ୍ୟାଖ୍ୟାନ"
Denomination,"ନାମକରଣ, ଅଙ୍କିତ ମୂଲ୍ୟ, ସମ୍ପ୍ରଦାୟ, ମୁଦ୍ରା ପରିମାପକ ଏକକ"
De novo,"ନୁଆ ପ୍ରକାରେ, ନୁଆକରି"
Deny,"ଅସ୍ୱୀକାର କରିବା, ପ୍ରତ୍ୟାଖ୍ୟାନ କରିବା"
Depart,"ପ୍ରସ୍ଥାନ କରିବା, ଚାଲିଯିବା"
Department,ବିଭାଗ
Departmental,ବିଭାଗୀୟ
Departmental action,ବିଭାଗୀୟ କାର୍ଯ୍ୟ
Departmental enquiry,ବିଭାଗୀୟ ଯାଞ୍ଚ
Departmental investigation,ବିଭାଗୀୟ ତଦନ୍ତ
Departmental irregularity,ବିଭାଗୀୟ ଅନିୟମିତତା
Departmental library,ବିଭାଗୀୟ ପାଠାଗାର
Departmental negligence,ବିଭାଗୀୟ ଉପେକ୍ଷା
Departmental permission,ବିଭାଗୀୟ ଅନୁମତି
Departmental qualifying examination,ବିଭାଗୀୟ ଯୋଗ୍ୟ ବିବେଚନା ପରୀକ୍ଷା
Departure,"ପ୍ରସ୍ଥାନ, ବ୍ୟତିକ୍ରମ"
Dependency certificate,"ଆଶ୍ରିତ ପ୍ରମାଣପତ୍ର, ନିର୍ଭରଶୀଳତା ପ୍ରମାଣ ପତ୍ର"
Dependent,"ଅବଲମ୍ୱିତ, ପରାଧୀନ"
Dependent children,ପରାଧୀନ ଛୁଆ
Deploy,ମୁତାୟନ
Deponent,ଅଭିସାକ୍ଷୀ
Deportation,ନିର୍ବାସନ
Depose,"ଅଭିସାକ୍ଷ୍ୟ ଦେବା, ପଦଚ୍ୟୁତ କରିବା"
Deposit,"ଜମା କରିବା, ଜମିବା, ଜମା ଅମାନତ କାଣ୍ଟି"
Depot,"ଭଣ୍ଡାର, ଡିପୋ, ସେନା ଭଣ୍ଡାର"
Depreciation,"ମୂଲ୍ୟହ୍ରାସ, ଅବମୂଲ୍ୟନ"
Depressed class,ଦଳିତ ଶ୍ରେଣୀ
Deprive,ବଞ୍ଚିତ କରିବା
Deputation,"କର୍ମାନ୍ତର ପ୍ରେରଣ, ପ୍ରତିନିଯୁକ୍ତି, ପ୍ରତିନିଧି ଦଳ, ପ୍ରତିନିଧି ପ୍ରେରଣ"
Deputation allowance,ପ୍ରତିନିଯୁକ୍ତି ବ୍ୟକ୍ତି
Deputy,"ପ୍ରତିନିଧି, ଡେପୁଟି"
Deregistered,ବିପଞ୍ଜୀକୃତ
Dereliction of duty,କର୍ତ୍ତବ୍ୟ ଅବହେଳା
Dereservation,ବିସଂରକ୍ଷିତ
Derogation,"ମର୍ଯ୍ୟାଦା ହାନି, ହ୍ରାସକରଣ"
Derogatory,"ମର୍ଯ୍ୟାଦା ହାନିକର, ଅପବାଦସୂଚକ"
Derogatory remark,ମର୍ଯ୍ୟାଦାହାନିକର ମନ୍ତବ୍ୟ
Descendant,"ସନ୍ତାନ, ବଂଶଧର"
Description,"ବର୍ଣ୍ଣନା, ଶ୍ରେଣୀ ବା ପ୍ରକାର"
Deserving,"ଯୋଗ୍ୟ, ଉପଯୁକ୍ତ"
Design,"ନକ୍ସା, ପରିକଳ୍ପନା, ଅଭିସନ୍ଧି"
Designate,"ନାମିତ, ନାମିତ କରିବା"
Designation,"ପଦନାମ, ପଦବୀ"
Despatch,"ପ୍ରେରଣ, କ୍ଷିପ୍ରତା, ପ୍ରେରିତ ପତ୍ର, କାର୍ଯ୍ୟ ସାରିବା, ପ୍ରେରଣ କରିବା, ବଧ କରିବା, ବହିଃ ପ୍ରେରଣ କରିବା"
Despatch note,ପ୍ରେରଣ ପତ୍ର
Despatch register,ପ୍ରେରଣ ରେଜିଷ୍ଟର
Destination,"ଗନ୍ତବ୍ୟ ସ୍ଥାନ, ଲକ୍ଷ୍ୟ ସ୍ଥଳ"
Destitute,"ଅଭାଗଗ୍ରସ୍ତ, ନିରାଶ୍ରୟ"
Detail,"ପୁଙ୍ଖାନୁପୁଙ୍ଖ ବିବରଣ, ବିଶଦ ବିବରଣ, ବିସ୍ତାରିତ ବିବରଣ"
Detailed,"ବିସ୍ତୃତ, ବିଶଦ, ପୁଙ୍ଖାନୁପୁଙ୍ଖ"
Detect,ସନ୍ଧାନ କରିବା
Detention,"ଅଟକ, ଡେରି, ନଜରବନ୍ଦୀ"
Detenu,ଅଟକବନ୍ଦୀ
Determination,"ସଂକଳ୍ପ, ଦୃଢ଼ ପ୍ରତିଜ୍ଞା, ଅବଧାରଣ, ସମାପନ"
Deterrence,ନିବୃତ୍ତିକରଣ
Detriment,କ୍ଷତି
Detrimental,କ୍ଷତିକାରକ
Devaluation,"ମୂଲ୍ୟହ୍ରାସ, ଅବମୂଲ୍ୟାୟନ"
Devastation,"ସର୍ବନାଶ, ବିଧ୍ୱଂସ"
Development,"ବିକାଶ, ଉନ୍ନୟନ"
Deviate,"ଭିନ୍ନ ହେବା, ପଥଚ୍ୟୁତ ହେବା"
Device,"ଫନ୍ଦି, ଉପକରଣ, ସାଧନ"
Devotion,"ନିଷ୍ଠା, ଅନୁରକ୍ତି, ସମର୍ପଣ"
Diagnose,"ନିଦାନ କରିବା, ରୋଗ ନିର୍ଣ୍ଣୟ କରିବା"
Diagram,"ରେଖାଚିତ୍ର, ନକ୍ସା"
Diary,"ଡାଇରି, ରୋଜନାମା, ଦିନ ପଂଜି"
Dictation,"ଶ୍ରୁତଲିଖନ, ହୁକୁମ"
Dies non,"ଅକାର୍ଯ୍ୟ, ଦିବସ, ଅଦିନ"
Diet,"ପଥ୍ୟ, ଆହାର"
Digest,"ହଜମ କରିବା, ସଂକ୍ଷିପ୍ତ କରିବା, ସଂକ୍ଷିପ୍ତ ସଂଗ୍ରହ"
Dignified,ଗୌରବାନ୍ୱିତ
Dignity,"ମହତ୍ତ୍ୱ, ମର୍ଯ୍ୟଦା, ଗୌରବାନ୍ୱିତ କରିବା"
Digression,"ପ୍ରସଙ୍ଗଚ୍ୟୁତି, ବିପଥଗମନ"
Dilatory,"ବିଳମ୍ୱକାରୀ, ମନ୍ଥର, କାଳ-କ୍ଷେପଣକାରୀ"
Dilemma,"ସଂଶୟ, ଦ୍ୱିଧା"
Diligent,"ଉଦ୍ୟମୀ, ତପ୍ତର"
Dimension,"ଆୟତନ, ପରିସର"
Diploma,"ଉପାଧି ପତ୍ର, ଡିପ୍ଲୋମା"
Diplomacy,କୂଟନୀତି
Diplomatic immunity,କୁଟନୈତିକ ଉନ୍ମୁକ୍ତି
Direct,"ନିର୍ଦ୍ଦେଶ ଦେବା, ପ୍ରତ୍ୟକ୍ଷ"
Direct competition,ପ୍ରତ୍ୟକ୍ଷ ସାକ୍ଷାତକାର
Direct interview,ପ୍ରତ୍ୟକ୍ଷ ସାକ୍ଷାତକାର
Direction,"ଦିଗ, ନିର୍ଦ୍ଦେଶନା, ନିର୍ଦ୍ଦଶ"
Directory,"ନିର୍ଦ୍ଦେଶିକା, ବିରରଣୀ ପୁସ୍ତିକା"
Direct recruit,ପ୍ରତ୍ୟକ୍ଷ ଭର୍ତ୍ତି
Disallow,ନାମଞ୍ଜୁର
Disability,"ଅସାର୍ଥ୍ୟ, ଅକର୍ମଣ୍ୟ"
Disabled person,ଅସମର୍ଥ ଲୋକ
Disablement benefit,"ଅଫଗତା ଲାଭ, ନିଃଶକ୍ତତା ହିତଲାଭ"
Disadvantage,"ଅସୁବିଧା, ଅହିତ"
Disagree,ଅସମ୍ମତ ହେବା
Disallowed,"ଅସ୍ୱୀକୃତ, ନାମଞ୍ଜୁର"
Disapproval,"ଅନନୁମୋଦନ, ନାପମନ୍ଦ"
Disaster,"ଦୁର୍ଦ୍ଦଶା, ବିନାଶ"
Disaster management,ବିପନା ପ୍ରଦବନ୍ଧନ
Disband,"ଦଳଭଂଗ ହେବା, ଦଳ ଭାଙ୍ଗିବା"
Disbursement,ବେତନ
Discard,ପରିତ୍ୟାଗ କରିବା
Discharge,"ନିର୍ବାହ କରିବା, ଖଲାସ କରିବା, କର୍ମଚ୍ୟୁତ କରିବା, ଗୁଳି କରିବା, ନିକାଲିବା, ପରିଶୋଧ କରିବା, ଗୁଳିଚାଳନା, କର୍ମଚ୍ୟୁତି, ଖଲାସ, ନିଃସରଣ"
Discharge slip,କାର୍ଯ୍ୟମୁକ୍ତି ଚିରକୁଟି
Disciplinary action,"ଶୃଙ୍ଖଳାଗତ, କାର୍ଯ୍ୟାନୁଷ୍ଠାନ"
Disciplinary procedure,"ଅନୁଶାସନ ପ୍ରକ୍ରିୟା, ଶୃଙ୍ଖଳା ପ୍ରକ୍ରିୟା"
Discipline,"ଶୃଙ୍ଖଳା, ଅନୁଶାସମ, ବିଦ୍ୟା"
Disclaim,"ଦାବି ତ୍ୟାଗ କରିବା, ଅସ୍ୱୀକାର କରିବା"
Disclosure,"ପ୍ରକଟନ, ପ୍ରକଟିତ ବିଷୟ"
Discontent,"ଅସନ୍ତୋଷ, ଅସନ୍ତୁଷ୍ଟ, ଅସନ୍ତୁଷ୍ଟ କରିବା"
Discontinuance,"ସମାଗନ, ସମାପ୍ତି"
Discontinue,"ସମାପ୍ତ କରିବା, ପରିତ୍ୟାଗ କରିବା"
Discord,"ମତଭେଦ, ମତଭେଦ ହେବା"
Discount,"ଛଡ଼ା, ବଟ୍ଟା, ଡିସ୍କାଉଣ୍ଟ, ରିହାତି"
Discover,ଆବିଷ୍କାର
Discredit,"ଦୁର୍ନାମ, ଅପଯଶ, ଅବିଶ୍ୱାସ, ଦୁର୍ନାମ କରିବା, ଅଖ୍ୟାତି ଆଣିବା"
Discrepancy,"ଭିନ୍ନତା, ଅସାମଞ୍ଜସ"
Discretion,"ବିବେକ, ସଦବିବେଚନା"
Discretionary grant,ବିବେକାନୁସାରୀ ଅନୁଦାନ
Discretionary power,ବିବେକାଧିକାର
Discrimination,ପକ୍ଷପାତ କରିବା
Discussion,ଆଲୋଚନା କରିବା
Dishonest,"ଅସାଧୁ, ବେଇମାନ"
Dishonour (a cheque),"ଅସମ୍ମାନ, ଅନାଦର, ଅସମ୍ମାନ କରିବା, ଅନାଦର କରିବା"
Disintegration,"ବିଘଟନ, ଭଙ୍ଗ, ବିଚ୍ଚ୍ଥିନ୍ନତା"
Disk,ଡିସ୍କ
Dislocation,"ସ୍ଥାନଚ୍ୟୁତି, ସନ୍ଧିଚ୍ୟୁତି"
Disloyal,"ରାଜଦ୍ରୋହୀ, ଅବିଶ୍ୱାସୀ, ଅବିଶ୍ୱସ୍ତ"
Dismiss,"ବରଖାସ୍ତ କରିବା, ଖାରଜ କରିବା"
Dismissal,"ବରଖାସ୍ତ, ଖାରଜ, ପଦଚ୍ୟୁତ"
Dismissal procedure,"ବରଖାସ୍ତ ପ୍ରକ୍ରିୟା, ଖାରଜ ପ୍ରକ୍ରିୟା"
Disobey,"ଅବଜ୍ଞା, ଅମାନ୍ୟ"
Disorder,"ବିଶୃଙ୍ଖଳା, ଉପଦ୍ରବ, ଅସୁସ୍ଥତା"
Disorganise,ଅବ୍ୟବସ୍ଥିତ କରିବା
Disparity,"ବିଷମତା, ଅସମାନତା, ଅସାଦୃଶ୍ୟ"
Dispatch section,ପ୍ରେରଣ ବିଭାଗ
Dispensable,ପରିହାର୍ଯ୍ୟ
Disperse,"ବିକ୍ଷିପ୍ତ କରିବା, ଛତ୍ରଭଙ୍ଗ, ଛିନ୍ନଭିନ୍ନ"
Displaced,ସ୍ଥାନଚ୍ୟୁତ
Display,ପ୍ରଦର୍ଶନ
Displeasure,"ଅପ୍ରସନ୍ନ କରାଇବା, ଅସନ୍ତୋଷ"
Disposal,"ବିନ୍ୟାସ, ନିକାଶ, ଫଏସଲା, କର୍ତ୍ତୃତ୍ୱ, ଅଧିକାର"
Dispose of,"ଫଏସଲା କରିବା, ନିକାଶ କରିବା"
Disposition,"ମିଜାଜ, ପ୍ରବଣତା, ବିନ୍ୟାସ"
Dispossess,ବେଦଖଲ କରିବା
Dispute,ବିବାଦ
Disqualification,"ଅଯୋଗ୍ୟତା, ଗୁଣାଭାବ"
Disregard,"ଅନାଦର କରିବା, ଅବହେଳା କରିବା, ଅନାଦର, ଅବହେଳା"
Disruption,"ଭଙ୍ଗ, ବିଦାରଣ, ବିଭେଦନ"
Dissatisfaction,"ଅସନ୍ତୋଷ, ବିରକ୍ତି"
Dissent,"ଭିନ୍ନମତ, ମତାନୈକ୍ୟ, ସମ୍ମତି ଦେବାକୁ, ସ୍ୱୀକାର କରିବା"
Disservice,"ଅନିଷ୍ଟ, ଅପକାର"
Dissociate,"ଅଲଗା ହେବା, ବିଯୋଜିତ ହେବା"
Dissolution,"ବିଘଟନ, ଭଙ୍ଗ, ବିଲୟ"
Dissolve,"ମିଳାଇବା, ଭାଙ୍ଗିଦେବା, ବିଘଟନ କରିବା, ରଦ୍ଦ କରିବା"
Distance learning,ଦୁରସ୍ଥ ଶିକ୍ଷଣ
Distillery,"ପାତନକର୍ତ୍ତା, ସୁରାପ୍ରସ୍ତୁତିକାରୀ"
Distinct,"ପୃଥକ, ଭିନ୍ନ, ପ୍ରଞ୍ଜଳ"
Distinguish,"ପ୍ରଭେଦ ବାରିବା/ଦେଖାଇବା, ଚିହ୍ନାଇବା, ଖ୍ୟାତ କରାଇବା"
Distortion,"ଚିତ୍ତ ବିକ୍ଷେପ, ବିକର୍ଷଣ, ଅନ୍ୟମନସ୍କତା"
Distress,"ଜବତ, କ୍ଲେଶ, ଦୁରବସ୍ଥା"
Distribute,"ବିତରଣ କରିବା, ବାଣ୍ଟିବା"
Distribution,"ବିତରଣ, ବଣ୍ଟନ"
District,ଜିଲା
District centre,ଜିଲ୍ଲା କେନ୍ଦ୍ର
Disturbance,"ଗୋଳମାଳ କରିବା, ବିଘ୍ନ ଘଟାଇବା"
Ditto,"ଏଜନ ( ” )ଚିହ୍ନ, ପୂର୍ବ ପ୍ରକାରେ କରିବା, ପୂର୍ବ ପ୍ରକାରେ"
Diversion,"ଗତି ପରିବର୍ତ୍ତନ, ମୋଡ଼, ଶାଖା, ଆମୋଦ"
Dividend,"ଲାଭାଂଶ, ଭାଜ୍ୟ"
Division,"ବିଭାଜନ, ହରଣ, ପ୍ରଭାଗ, ଖଣ୍ଡ, ଡିଭିଜନ, ଶ୍ରେଣୀ"
Divorce,"ବିବାହ ବିଚ୍ଛେଦ କରିବା, ଛାଡପତ୍ର ଦେବା, ବିବାହ ବିଚ୍ଛେଦ, ଛାଡପତ୍ର"
Docket,"ସଂକ୍ଷିପ୍ତ ସୂଚନା ଲେଖିବା, ଡକେଟ କରିବା, ସଂକ୍ଷିପ୍ତ ସୂଚନା, ଡକେଟ୍"
Doctor,"ଡାକ୍ତର, ଚିକିତ୍ସକ"
Document,"ଦସ୍ତାବିଜ, ଦଲିଲ୍ ପ୍ରମାଣ"
Documentary evidence,"ଦସ୍ତାବିଜ ସାକ୍ଷ୍ୟ, ପ୍ରାମାଣିକ ଦଲିଲଭିତ୍ତିକ ନଜିର"
Documentation,"ଦଲିଲ ସଂଗ୍ରହ, ତଥ୍ୟ ସଂଗ୍ରହ"
Domicile,"ଅଧିବାସ, ବାସସ୍ଥାନ"
Domicile certificate,ଅଧିବାସୀ ପ୍ରମାଣପତ୍ର
