abatement,"తొలగింపు, ముగింపు, తగ్గింపు"
departmental,"శాఖా పరమైన, విభాగపరమైన"
departmental action,శాఖాపరమైన చర్యలు
departmental enquiry,శాఖ/విభాగ పరమైన విచారణ/దర్యాప్తు
departmental investigation,శాఖ/విభాగ పరమైన పరిశోధన
departmental irregularity,శాఖ/విభాగ పరమైన అవకతవక లేక క్రమరాహిత్యం
departmental library,శాఖ/విభాగ పరమైన గ్రంథాలయం
departmental negligence,శాఖ/విభాగ పరమైన అజాగ్రత్త లేక నిర్లక్ష్యం
departmental permission,శాఖ/విభాగ పర మైన అనుమతి
departmental qualifying examination,శాఖ/విభాగానికి సంబంధించిన అర్హత పరీక్ష
departure,"బయలు దేరటం, పోకడ"
dependency certificate,ఆశ్రయంలో ఉన్నట్లు తెలిపే ధ్రువపత్రం
dependent,"పోషితుడు, ఆశ్రితుడు, అధీనుడు"
dependent children,ఆశ్రయించుకొని ఉన్న పిల్లలు
deploy,వ్యూహలుగా ఏర్పరుచు
deponent,సాక్షి
deportation,ప్రవాసానికి పంపు
depose,"పదవీభ్రష్టుని చేయు, స్థాన భ్రష్టుని చేయు"
deposit,"డిపాజిట్, ధరావతు, నిక్షేపం, జమ"
depot,"గిడ్డంగి, డిపో"
depreciation,తరుగుదల (విలువ వగైరా)
depressed class,"బడుగు వర్గం, దళిత వర్గం, అణచబడిన వర్గం"
deprive,"లేకుండా చేయు, రిక్త పరుచు, హరించు"
deputation,"ఉపనియామకం, డిప్యూటేషను"
deputation allowance,"ఉపనియామక బత్తెం, డిప్యూటేషన్ బత్తెం"
deputy,"డిప్యూటీ, ఉప, ఉపనియుక్తుడు"
deregistered,నమోదును తొలగించుట
dereliction of duty,"విధిని పదలివేయటం, కర్తవ్యాన్ని ఉపేక్షించటం"
dereservation,రిజర్వేషను తొలగించుట
derogation,తగ్గించటం (గౌరవం వగైరా)
derogatory,"అవమానకర, అప్రతిష్ఠాకర"
derogatory remark,అవమానకరమైన మాట లేక వ్యాఖ్య
descendant,"వంశస్థుడు, సంతతివాడు, ఉత్తరాధికారి"
description,"వివరణ, వర్ణన"
deserving,"అర్హమైన, యోగ్యత కలిగిన"
design,"డిజైను, రూపరచన, నమూనా"
designate,"హోదా నిర్దేశ, నామోద్దిష్ట, నియుక్తుడైన"
designation,"హోదా, పదవి, పదవి పేరు"
despatch,"డిస్పాచ్, బట్వాడా"
despatch note,డిస్పాచ్ నోటు
despatch register,"డిస్పాచ్, బట్వాడా రిజిస్టరు"
destination,"గమ్యం, చేరవలసిన చోటు"
destitute,"అనాథ, నిరుపేద"
detail,"తబ్సీలు, వివరణ, పనికి కేటాయించు"
detailed,వివరణతో కూడిన
detect,ఆచూకీ తీయు
detention,"నిర్బంధం, ఆపివేయడం"
detenu,"డిటెన్యూ, బందీ"
determination,"తీర్పు, న్యాయ పరిష్కారం"
deterrence,"నివారణ, అవరోధము, ఆటంకము"
detriment,"హాని, చెరుపు"
detrimental,"నష్టకరమైన, హానికరమైన"
devaluation,"విలువ తగ్గింపు, ద్రవ్యోల్బణం"
devastation,"సర్వనాశనం, మృతుని ఆస్తిని వ్యవహర్త పాడుచెయ్యటం"
development,"అభివృద్ధి, వికాసం"
deviate,"మార్గాపసరణం చేయు, దారితొలగు"
device,"యుక్తి, నమూనా, సాధనం"
devotion,"నిష్ఠ, భక్తి, శ్రద్ధ"
diagnose,"రోగనిర్ధారణ చేయు, సమస్య నిర్ధారణ చేయు"
diagram,"రేఖా పటం, చిత్రం"
diary,"దినచర్య పుస్తకం, డైరీ"
dictation,"డిక్టేషన్, చెప్పి వ్రాయించుట, అధికారంతో చెప్పుట"
dies non,పనిచెయ్యని దినం
diet,"నియమితాహారం, పథ్యం, రాజకీయ ప్రతినిధి సభ (జపాన్)"
digest,సంగ్రహం (పుస్తక రూపంలో) జీర్ణము
dignified,"ఠీవితో కూడిన, హుందా అయిన"
dignity,"హుందాతనం, మాన్యత ఠీవి"
digression,"తొలగు, పక్కకు పోవు, అసందర్భమైన మరొక దానిలోకి పోవు"
dilatory,"జాగు చేసే, జాప్యానికి దారి తీసే"
dilemma,"సందిగ్ధావస్థ, విచికిత్స"
diligent,"కష్టించి పని చేసే, శ్రద్ధాళువైన"
dimension,"పరిమాణం, కొలత"
diploma,"డిప్లామా, అర్హతపట్టా"
diplomacy,"దౌత్యనీతి, దౌత్యవిధానం"
