Gujarati,English
"આલેખ, આલેખ, આલેખ",graph
ગ્રાફિક,graphic
ગ્રાફિક્સ,graphical
ગ્રાફિકલ ગણતરી,graphical computation
"ગ્રાફિક ડિઝાઇન, ગ્રાફિક ડિઝાઇન",graphical construction
ગ્રાફિકલ એકીકરણ,graphical integration
ગ્રાફિકલ નિવેશ,graphical interpolation
ગ્રાફિક પદ્ધતિ,graphical method
"ગ્રાફિકલ રજૂઆત, ગ્રાફિકલ રજૂઆત",graphical representation
"ગ્રાફિક રેસિપિ, ગ્રાફિક",graphic expression
"ગ્રાફ પેપર, સ્ક્વેર્ડ પેપર, ગ્રાફ પેપર",graph paper
"ગુરુત્વાકર્ષણ, ગુરુત્વાકર્ષણ",gravitation
ગુરુત્વાકર્ષણ પ્રવેગક,gravitational accelaration
"ગુરુત્વાકર્ષણ, ગુરુત્વાકર્ષણ આકર્ષણ",gravitational attraction
ગુરુત્વાકર્ષણ સ્થિર,gravitational constant
ગુરુત્વાકર્ષણ વક્રતા,gravitational curvature
ગુરુત્વાકર્ષણ બળ,gravitational force
ગુરુત્વાકર્ષણ ખેંચાણ,gravitational pull
ગુરુત્વાકર્ષણ,gravity
સપ્તર્ષિ,great bear
મોટું વર્તુળ,great circle
વિશાળ વર્તુળ વિમાન,great - circle plane
વિશાળ વર્તુળ,great circle route
સૌથી મોટું પરિબળ,greatest common measure
ટોચનું તત્વ,greatest element
સૌથી વધુ નીચલી સીમા,greatest lower bound
સમૂહ સંખ્યા,great number
બહુકોણ,great triangle
ગ્રેગોરિયન કેલેન્ડર,Gregorian calendar
ગ્રેગોરિયન રિવિઝન,Gregorian correction
ગ્રેગોરિયન સૂત્ર,Gregory formula
ગ્રેગરી-ન્યુટન સૂત્ર,Gregory - Newton formula
ગ્રેગોરિયન કેટેગરી,Gregory series
"કુલ, કુલ (વિ.) એકંદર (n.)",gross
એકંદર સહસંબંધ,gross correlation
એકંદર ભૂલ,gross error
કુલ આવક,gross income
"વર્ગ, જૂથ, સંગઠન",group
જૂથ સ્વીકૃતિ,group automorphism
સમૂહ સ્વયંસિદ્ધ,group axiom
જૂથ નિયંત્રણ,group control
જૂથબદ્ધ શ્રેણી,grouped series
સમપ્રમાણતાનું જૂથ,group of symmetries
રૂપાંતર જૂથ,group of transformation
સમૂહ,groupoid
જૂથ સિદ્ધાંત વિચાર,group theoretical assumption
જૂથ સિદ્ધાંત,group theory
વૃદ્ધિ,growth
વૃદ્ધિ સૂત્ર,growth formula
વિકાસ દર,growth rate
જી-નમૂનો,g-statistic
અંદાજિત સરેરાશ,guessed average
અડધા ઉમેરનાર,half adder
અર્ધ-બંધ અંતરાલ,half open interval
અડધી વસ્તી,half space
હેમિલ્ટન કેલી પ્રમેય,Hamilton Cayley Theorem
હેમિલ્ટોની ઓપરેટર,Hamiltonian operator
હેમિલ્ટન ક્વાડ્રપલેટ,Hamilton's quaternion algebra
"હાર્મોનિક, હાર્મોનિક, હાર્મોનિક, હાર્મોનિક",harmonic
હાર્મોનિક કવર,harmonic envelope
હાર્મોનિક સરેરાશ,harmonic mean
હાર્મોનિક પ્રગતિ,harmonic progression
"ઇન્ટરેક્ટિવ વિશ્લેષણ, ગુણવત્તા",harmonics
હાર્મોનિક શ્રેણી,harmonic series
"ઊંચાઈ, ઊંચાઈ, ઊંચાઈ",height
"ગોળાર્ધ, ગોળાર્ધ",hemisphere
અર્ધગોળાકાર,hemispherical
ગોળાર્ધ પ્રક્ષેપણ,hemispherical projection
હેપ્ટાગોન,heptagon
સંન્યાસી કન્જુગેટ ઓપરેટર,Hermitian conjugate operator
હર્મેટિક લડાઇ,Hermitian form
હર્મેટિક મેટ્રિક્સ,Hermitian matrix
હર્મેટિક ઓપરેટર,Hermitian operator
સંન્યાસી ઉત્પાદન,Hermitian product
હર્મેટિક જૂથ,Hermitian semigroup
આશ્રિત વસ્તી,Hermitian space
હર્મેટિક રૂપાંતર,Hermitian transformation
હેસ ડાયાગ્રામ,Hess diagram
હેસિયન મેટ્રિક્સ,Hessian matrix
કાર્યનું હેસિયન,Hessian of function
વિજાતીયતા પરીક્ષણ,heterogeneity test
"વિષમ, વિષમ, વિષમ",heterogeneous
વિજાતીય આકૃતિઓ,heterogeneous data
વિજાતીય વસ્તી,heterogeneous population
કુદરતી,heuristic
કુદરતી રીતે,heuristically
ષટ્કોણ,hexagon
ષટ્કોણ,hexahedron
વંશવેલો પેટાવિભાગ,hierarchial subdivision
"વંશવેલો, ઉચ્ચ પરંપરા",hierarchy
ઉચ્ચ જન્મ દર,high birth rate
ઉચ્ચ મૃત્યુ દર,high death rate
ઉચ્ચ વય જૂથ,higher - age – group
ઉચ્ચ ઓર્ડર,higher order
સર્વોચ્ચ ક્રમ,highest order
હિલ્બર્ટ ક્યુબ,Hilbert cube
હિલ્બર્ટ વસ્તી,Hilbert space
એચ- ખાતરી કરો,H–invariant
સમય ફ્રેમ,historigram
હોલો શંકુ,hollow cone
"સમાનતા, સમાનતા",homeomorphism
"એકરૂપતા, એકરૂપતા",homogeneity
"એકરૂપ, એકરૂપ, એકરૂપ, એકરૂપ, એકરૂપ",homogeneous
સજાતીય આકૃતિઓ,homogeneous data
સજાતીય વિભેદક સમીકરણ,homogeneous difference equation
હોમોમોર્ફિઝમ,homomorphism
આડું,horizontal
આડું વિમાન,horizontal plane
કલાક,hour
હાઇડ્રોડાયનેમિક,hydrodynamic
"હાઇડ્રોડાયનેમિક્સ, હાઇડ્રોડાયનેમિક્સ, હાઇડ્રોડાયનેમિક્સ",hydrodynamics
"hydromechanics, hydromechanics",hydromechanics
હાઇડ્રોસ્ટેટિક,hydrostatic
ઉત્સાહી સંતુલન,hydrostatic balance
"હાઇડ્રોસ્ટેટિક્સ, હાઇડ્રોસ્ટેટિક્સ",hydrostatics
"હાઇપરબોલા, હાઇપરબોલા",hyperbola
"હાયપરબોલા, હાઇપરબોલોઇડ",hyperboloid
મોનોલિથિક હાઇપરબોલા,hyperboloid of one sheet
ફરતું-હાયપરબોલા,hyperboloid of revolution
ડબલ હાઇપરબોલા,hyperboloid of two sheets
અતિભૌમિતિક વિતરણ,hypergeometric distribution
અતિભૌમિતિક શ્રેણી,hypergeometric series
"ફ્લીસ ફ્લેટ, સુપર ફ્લેટ",hyperplane
ઓસિલેટર,hypersphere
"ઓવરપેજ, ઓવરવ્યુ પેજ",hyper surface
કાન,hypotenuse
પૂર્વધારણા,hypothesis
આદર્શ આધાર,ideal basis
આદર્શ પ્રવાહી,ideal fluid
આદર્શ ગેસ,ideal gas
અભિન્ન ઇજન મૂલ્ય,identical eigen value
સંપૂર્ણપણે સમાન,identically equal
"સમાન, સમાન, સમાનતા, વ્યક્તિત્વ",Identity
અનુરૂપ તત્વ,identity element
ઓળખ કાર્ય,identity function
સમાન હોમોમોર્ફિઝમ,identity  homomorphism
સમાન નકશો,identity map
સમાન મેપિંગ,identity mapping
સમાન મેટ્રિક્સ,identity matrix
જૂથ એનાલોગ,identity of a group
રિંગ માટે સમાન,identity of a ring
સમાન ઓપરેટર,identity operator
ઓળખ સમયગાળો,identity period
ઓળખ ક્રમચય,identity permutation
સમાન સંબંધ,identity relation
સમાન રૂપાંતરણો,identity transformation
જો અને માત્ર જો,if and only if
&#39;જો-તો&#39; કમ્પાઈલર,if - then' computer
ગેરરીતિ,ill condition
અયોગ્ય સમીકરણ,ill-conditioned equation
ખોટી પ્રતિબંધિત મેટ્રિક્સ,ill-conditioned matrix
