ab initio,"મૂળથી, પ્રારંભથી"
determination,"નિર્ધાર, સંકલ્પ"
deterrence,પ્રતિવારણ
detriment,અહિત
detrimental,અહિતકર
devaluation,અવમૂલ્યન
devastation,"વિધ્વંસ, વિનાશ"
development,વિકાસ
deviate,વિચલિત
device,"પ્રયુક્તિ, ઉપકરણ"
devotion,"નિષ્ઠા, સમર્પણભાવના"
diagnose,નિદાન
diagram,આલેખ
diary,"ડાયરી, રોજનીશી"
dictation,શ્રુતલેખન
dies non,"અકાર્યદિવસ, કાર્યશૂન્ય દિવસ"
diet,"ભોજન, આહાર"
digest,"સારસંગ્રહ, સારગ્રંથ"
dignified,ગરિમાપૂર્ણ
dignity,ગરિમા
digression,વિષયાંતર
dilatory,વિલંબકર્તા
dilemma,"દુવિધા, અસમંજસ, દ્વિધા"
diligent,"પરિશ્રમી, મહેનતુ"
dimension,"આયામ, પરિમાણ"
diploma,ડિપ્લોમા(એક શૈક્ષણિક પદવી)
diplomacy,"કૂટનીતિ, મુત્સદ્દીપણું"
diplomatic immunity,રાજનૈતિક ઉન્મુક્તિ
direct,"પ્રત્યક્ષ, સીધું"
direct competition,"પ્રત્યક્ષ સ્પર્ધા, સીધી સ્પર્ધા"
direct interview,"પ્રત્યક્ષ સમાલાપ, સીધો ઈન્ટરવ્યુ"
direct recruit,"પ્રત્યક્ષ ભરતી, સીધી ભરતી"
direction,"દિશા, નિર્દેશન, દિગ્દર્શન"
directory,નિર્દેશિકા
disability,"વિકલાંગતા, અપંગતા"
disabled person,"વિકલાંગ, અપંગ"
disablement benefit,વિકલાંગપણાનો હિતલાભ
disadvantage,"ગેરફાયદો, ગેરલાભ"
disagree,"અસહમત, અસંમત"
disallow,નામંજૂર
disallowed,નામંજૂર
disapproval,નામંજૂરી
disaster,"આપદા, આપત્તિ, વિપત્તિ"
disaster management,"આપદા પ્રબંધન, આપત્તિ પ્રબંધન"
disband,ભંગ કરવો
disbursement,"ખર્ચ ભરપાઈ કરવો, નાણાં ચૂકવી દેવા"
discard,"નામંજૂર કરવું, ત્યજી દેવું, અલગ કરવું"
discharge,"નિર્વાણ, સેવામુક્તિ, કાર્યમુક્તિ"
discharge slip,મુક્તિ પત્ર
disciplinary action,શિસ્તના પગલાં
disciplinary procedure,શિસ્ત વિષયક પગલાં
discipline,શિસ્ત
disclaim,દાવો છોડવો
disclosure,"પ્રગટીકરણ, ખુલ્લું પાડવું, ઉઘાડું પાડવું"
discontent,અસંતોષ
discontinuance,"સમાપન, સમાપ્તિ"
discontinue,"બંધ કરવું, અટકાવવું"
discord,"મતભેદ, મતમતાંતર"
discount,(ભાવમાં) છૂટ
discover,સંશોધન
discredit,અવિશ્વસનીયતા
discrepancy,વિસંગતિ
discretion,વિવેક
discretionary grant,વિવેકાનુદાન
discretionary power,વિવેકાધિકાર
discrimination,ભેદભાવ
discussion,"વિમર્શ, વિચાર વિમર્શ, ચર્ચા"
dishonest,અપ્રામાણિક
dishonour (a cheque),(ચેક) અસ્વીકૃતિ
disintegration,વિઘટન –નું વિખંડન કે વિભાજન કરવું
disk,ડિસ્ક
dislocation,"વિસ્થાપન, અસ્તવ્યસ્ત"
disloyal,નિષ્ઠાહીન
dismiss,બરતરફ
dismissal,બરતરફી
dismissal procedure,બરતરફીની પ્રક્રિયા
disobey,અવજ્ઞા
disorder,"અવ્યવસ્થા, અતંત્રતા, અરાજકતા, શાંતિભંગ"
disorganise,"અવ્યવસ્થિત, અરાજક"
disparity,અસમાનતા
dispatch section,રવાનગી વિભાગ
dispensable,"પરિહાર્ય, ટાળી શકાય તેવું"
disperse,વિસર્જિત
displaced,વિસ્થાપિત
display,"પ્રસ્તુતિ, સજાવટ"
displeasure,"નારાજગી, નાખુશી"
disposal,નિવર્તન
dispose of,"વિક્રય, વેચાણ"
disposition,"પ્રવૃત્તિ, સ્વભાવ"
dispossess,"કબજે કરવું, હસ્તગત કરવું"
dispute,વિવાદ
disqualification,અયોગ્યતા
disregard,અવહેલના
disruption,વિચ્છિન્નતા
dissatisfaction,અસંતોષ
dissent,અસંમતિ
disservice,કુસેવા
dissociate,અસંબદ્ધ
dissolution,"ભંગ, વિઘટન"
dissolve,ભંગ કરવું
distance learning,"દૂરસ્થ શિક્ષણ, દૂરવર્તી શિક્ષણ"
distillery,"દારુ ગાળવાનું એકમ, આસવશાળા"
distinct,"સુસ્પષ્ટ, સુવ્યક્ત"
distinguish,વિશિષ્ટિકરણ
distortion,"વિકૃતિ, તોડમરોડ"
distress,"કષ્ટ, આફત"
distribute,વિતરણ કરવું
distribution,વિતરણ
district,જિલ્લો
district centre,જિલ્લા કેન્દ્ર
disturbance,"ઉપદ્રવ, તોફાન, અશાંતિ, ખલેલ"
ditto,"યથાતથ, જેમ છે તેમ"
diversion,"પથાંતર, માર્ગાન્તર, વિષયાંતર"
dividend,"લાભાંશ, ડિવિડન્ડ"
division,"પ્રભાગ, વિભાગ, વર્ગ"
divorce,છૂટાછેડા
docket,"ડોકેટ, દસ્તાવેજ"
doctor,ડોક્ટર
document,દસ્તાવેજ
documentary evidence,દસ્તાવેજી પુરાવા
documentation,દસ્તાવેજીકરણ
domicile,"મૂળ નિવાસી, અધિનિવાસી"
domicile certificate,"મૂળ નિવાસ પ્રમાણપત્ર, અધિનિવાસ પ્રમાણપત્ર"
dominant,"પ્રબળ, પ્રભાવક"
donation,દાન
dossier,"ખરીતો, વિષયવિશેષ પરનો કાગળનો સમૂહ"
doubtful,"શંકાસ્પદ, સંદેહાસ્પદ, સંદિગ્ધ"
dove tailing,"ભેગું કરવું, સાથે કરવું, જોડવું"
down grade,"અવનયન, અવનત, પદવનત, નીચી પાયરીએ કરી દેવું"
draft,"ખરડો, મુસદ્દો"
draft reply,જવાબી ખરડો
drastic measure,"કઠોર ઉપાય, કઠોર પગલાં"
draw,(પૈસાનો) ઉપાડ
drawer,"ખાનું, દરાજ, ચેક તૈયાર કરનાર"
drawing,"રેખાચિત્ર, ચિત્રકામ, ઉપાડ"
drought,"દુષ્કાળ, દુકાળ"
dry promotion,"અલાભ પદોન્નતિ, લાભહિન બઢતી"
dual charge,"બમણી જવાબદારી, બેવડો કાર્યભાર"
dual citizenship,"બેવડી નાગરિકતા, બેવડું નાગરિકત્વ"
due,"દેય, પ્રાપ્ય"
due diligence,સમ્યક તત્પરતા
dues,દેય રકમ
duly,"વિધિવત, પદ્ધતિસર, યથાનુસાર"
duplicate,"બીજી નકલ, ખરી નકલ"
duration,"અવધિ, મુદત"
duress,દબાણ
duty,"કર્તવ્ય, જવાબદારી, કામ, કાર્ય, શુલ્ક"
duty allowance,ફરજ ભથ્થું
duty chart,"ફરજ ચાર્ટ, ફરજ આલેખ"
duty leave,"ચાલુ કામે રજા, ચાલુ ફરજે રજા"
duty room,"ડ્યુટી કક્ષ, સેવા કક્ષ, સેવા ખંડ"
dying declaration,મરણોન્મુખ નિવેદન
dynamics,"ગતિ, ગતિવિધિ"
earmark,"ઉદ્ધષ્ટ કરવું, સાંભળેલાની પુનઃ પ્રસ્તુતિ કરવી"
earned leave,"અર્જિત રજાઓ, પ્રાપ્ત કરેલી રજાઓ"
earnings,"અર્જન, ઉપાર્જન, કમાણી, કમાઈ, પ્રાપ્તિ"
eco-friendly,"પર્યાવરણ-અનુકૂળ, પર્યાવરણ મિત્ર"
ecology,પર્યાવરણ
economic,"આર્થિક, અર્થશાસ્ત્ર"
economical exploitation,આર્થિક શોષણ
