Abatement,"ਉਪਸ਼ਮਨ, ਘਾਟ"
Exit,"ਨਿਕਾਸ, ਨਿਰਗਾਮ, ਨਿਕਾਸ ਦੁਆਰਾ"
Exit interview,ਬਹਿਰਗਮਨ ਸਾਖਿਤਾਕਾਰ (ਇਂਟਰਵਿਉ)
Exit policy,ਬਿਹਿਰਗਮਨ ਨੀਤੀ
Exit poll,ਮੱਤ-ਅਨੁਮਾਨ
Ex-officio,ਪਰ ਅਨੁਮਾਨ
Exonerate,"ਨਿਵਿਰਤ ਕਰਨਾ, ਮੁਕਤ ਕਰਨਾ, ਸਾਫੀ ਦੇਣਾ"
Expansion,"ਵਿਸਤਾਰ, ਪ੍ਰਸਾਰ"
Ex-parte,ਇਕ ਪੱਖੀ
Expatriation,"ਦੇਸ਼ ਨਿਕਾਲਾ, ਦੇਸ਼ ਤਿਆਗ, ਦੇਸ਼ ਨਿਸ਼ਠਾ ਦਾ ਤਿਆਗ"
Expedient,"ਉਪਯੋਗੀ, ਉਚਿਤ, ਵਿਵਹਾਰਕ"
Expedite,"ਜਲ੍ਹਦ ਕਾਰਵਾਈ ਕਰਨਾ, ਛੇਤੀ ਕਰ ਦੇਣਾ"
Expel,"ਕੱਧ ਦੇਣਾ, ਨਿਸ਼ਕਾਸਿਤ ਕਰਨਾ"
Expenditure,ਖਰਚ
Experience,ਅਨੁਭਵ
Experiment,ਪ੍ਰਯੋਗ
Expert,"ਵਿਸ਼ੇਸ਼ਗ, ਕੁਸ਼ਲ"
Expiry,ਸਮਾਪਤੀ
Expiry date,ਸਮਾਪਤੀ ਤਿਥੀ
Explanation,"ਸਪਸ਼ਟੀਕਰਨ, ਵਿਆਖਿਆ"
Explicit,"ਸਪਸ਼ਟ, ਸਾਫ਼"
Exploitation,ਸ਼ੋਸ਼ਣ
Explore,"ਪਤਾ ਲਗਾਉਣਾ, ਖੋਜ ਕਰਨਾ"
Explosion,ਵਿਸਫੋਟ
Export,ਨਿਰਯਾਤ
Ex-post facto,ਕੱਮ ਦੇ ਬਾਅਦ
Express,"ਐਕਸਪ੍ਰੇਮ, ਤੁਰੰਤ, ਅਭਿਵਿਅਕਤ ਕਰਨਾ, ਵਿਅੱਕਤ ਕਰਨਾ"
Expression,"ਅਭਿਵਿਅਕਤੀ, ਵਾਕ-ਅੰਸ਼"
Expulsion,ਨਿਰਵਾਸਨ
Expunge,"ਕੱਢ ਦੇਣਾ, ਹਟਾ ਦੇਣਾ"
Extend,"ਵਧਾਉਣਾ, ਵਿਸਤਾਰ ਕਰਨਾ"
Extent,"ਵਿਸਤਾਰ, ਸੀਮਾ"
External,"ਬਾਹਰੀ, ਵਿਦੇਸ਼ੀ, ਵਿਦੇਸ਼"
Extortion,"(ਪੈਸੇ) ਐਠਣਾ, ਲੁੱਟ"
Extra,ਅੰਤਰਿਕਤ
Extract,ਹਵਾਲਾ
Extraordinary,ਅਸਾਧਾਰਣ
Extravagant,ਫਿਜ਼ੂਲ ਖਰਚ
Extremist,"ਅਤੱਵਾਦੀ, ਉਗਰਵਾਦੀ"
Extrovert,ਬਾਹਰਮੁਖੀ
Eye witness,ਚਸ਼ਮਦੀਦ ਗਵਾਹ
Fabricate,"ਬਣਾਉਣਾ, ਨਿਰਮਾਣ ਕਰਨਾ"
Face value,"ਡਪੀ ਹੋਈ ਕੀਮਤ, ਅੰਕਿਤ ਮੁੱਲ"
Facilitate,ਸੌਖਾ ਬਣਾਉਣਾ
Facility,"ਸਹੂਲਤ, ਸੌਖ"
Facsimile,"ਹੂਬਹੂ, ਨਕਲ"
Fact,ਤੱਥ
Factionalism,"ਗੁਟਬੰਦੀ, ਗੁਟਵਾਦ"
Factor,ਕਾਰਕ
Factory,"ਕਾਰਖਾਨਾ, ਫੈਕਟਰੀ"
Factual,"ਤੱਥ ਸਹਿਤ, ਤੱਥਤਾ"
Faculty,"ਫੈਕਲਟੀ, ਸਿਖਿਅਕ ਸਟਾਫ, ਸ਼ਕਤੀ"
Fail,"ਅਸਫਲ ਹੋਣਾ, ਫੇਲ ਹੋਣਾ, ਚੂਕਨਾ, ਦਿਵਾਲਿਆ ਹੋ ਜਾਣਾ"
Fair,"ਸਾਫ, ਉਚਿਤ, ਕਾਫੀ, ਪੂਰਨਮ ਪੱਖਰਹਿਤ, (ਰਿਪੋਰਟ), ਸਾਧਾਰਨ, ਮੇਲਾ"
Faith,"ਸ਼ਰਧਾ, ਵਿਸ਼ਵਾਸ਼"
Fake,"ਨਕਲੀ, ਜਾਲੀ"
Family,"ਟੱਬਰ, ਪਰਵਾਰ"
Famine,"ਕਾਲ, ਔੜ"
Fare,ਕਿਰਾਇਆ
Farewell,"ਅਲਵਿਦਾ, ਵਿਦਾਇਗੀ"
Farming,"ਖੇਤੀ, ਕਿਰਸਾਨੀ"
Fatigue,ਥਕਾਵਟ
Fault,"ਭੁਲ ਨੁਕਸ, ਗਲਤੀ"
Favour,"ਅਹਿਸਾਨ, ਕਿਰਪਾ, ਪੱਖਪਾਤ"
Feasibility,"ਸੰਭਵਤਾ, ਨਿਭੱਣਯੋਗਿਤਾ"
Federation,"ਰਾਜਸੰਘ, ਸੰਗਠਨ"
Fee,"ਫੀਸ, ਮਿਹਨਤਾਨਾ"
Feed back,"ਪੁਨਰ ਭਰਣ, ਪ੍ਰਤਿ ਪੁਸ਼ਟੀ"
Feeling,"ਭਾਵ, ਅਹਿਸਾਸ, ਭਾਵਨਾ, ਸੰਵੇਦਨ"
Felicitate,ਵਧਾਈ ਦੇਨਾ
Fellow,"ਸਾਥੀ, (ਯੂਨੀਵਰਸਟੀ ਦਾ) ਫੈਲੋ"
Fellowship,"ਕਾਲਜ ਜਾਂ ਯੂਨੀਵਰਸਿਟੀ ਦਾ ਵਜੀਫਾ, ਯੂਨੀਵਰਸਿਟੀ ਦੀ ਸਦੱਸਤਾ"
Female,"ਇਸਤਰੀ, ਜਨਾਨੀ"
Fertile,"ਉਪਜਾਊ, ਜਰਖੇਜ਼"
Fictitious,ਕਲਪਿਤ
Fidelity,ਨਿਸ਼ਠਾ
Field,ਖੇਤਰ
Figure,"ਅੰਕ, ਅਕਾਰ"
File,"ਫਾਇਲ, ਮਿਸਲ, ਫਾਇਲ ਕਰਨਾ, ਦਾਖਿਲ ਕਰਨਾ"
Filing,"ਮਿਸਲ ਬੰਦੀ, ਫਾਇਲ ਕਰਨਾ"
Film,"ਫਿਲਮ, ਸਿਨੇਮਾ"
Final,ਅੰਤਿਮ
Finance,"ਵਿੱਤ, ਵਿੱਤ ਪੋਸ਼ਣ"
Financial,ਵਿੱਤਿਯ
Financier,ਵਿੱਤ ਪੋਸ਼ਕ
Findings,"ਲੱਭਤ, ਪ੍ਰਾਪਤੀ, ਨਿਸ਼ਕਰਸ"
Fine,ਜੁਰਮਾਨਾ
Fine arts,ਲਲਿਤ ਕਲਾਵਾ
Finger print,ਉਂਗਲੀ ਛਾਪ
Finished goods,ਤਿਆਰ ਮਾਲ
Fire,"ਅੱਗ, ਬੰਦੂਕ ਚਲਾਉਣਾ, ਨੌਕਰੀ ਤੋ ਕਡਣਾ"
Firing,"ਗੋਲੀ ਚਲਾਣਾ, ਗੋਲੀ ਕਾਂਡ, ਗੋਲੀ ਚਲਨਾ"
Firm,"ਫਰਮ, ਵਪਾਰ ਕਰਨ ਵਾਲੀ ਸੰਸਥਾ"
First aid,ਪਹਿਲਾ ਉਪਚਾਰ
First class,"ਪਹਿਲੀ ਸ਼੍ਰੇਣੀ, ਉੱਤਮ"
First division,ਪਹਿਲੀ ਸ਼੍ਰੇਣੀ
First information report,"ਪਹਿਲੀ ਸ਼ੁਚਨ, ਰਿਪੋਰਟ, ਪ੍ਰਾਥਮਿਕੀ"
Fiscal,ਰਾਜਕੋਸ਼ੀ
Fisheries,"ਮਛੀ, ਮਛੀਆਂ ਫੜਨ ਦਾ ਪੇਸ਼ਾ, ਮੱਛੀ ਪਾਲਣ, ਮੱਛੀਆਂ ਦਾ ਖੇਤਰ"
Fit,"ਯੋਗ, ਉਪਯੁਕਤ, ਤੰਦਰੁਸਤ"
Fitness,"ਉਪਯੁਕਤਤਾ, ਯੋਗਤਾ, ਤੰਦਰੁਸਤੀ"
Fix,"ਨਿਰਧਾਰਿਤ ਕਰਨਾ, ਨਿਯਤ ਕਰਨਾ, ਸਤਿਰ ਕਰਨਾ"
Fixation,"ਕਿਰਧਾਰਣ, ਨਿਯਤਨ"
Fixed,"ਸਥਿਰ, ਨਿਸ਼ਚਿਤ, ਨਿਯਤ"
Flag,"ਪਤਾਕਾ, ਝੰਡਾ"
Flap,"ਪੱਟੀ, ਫਲੈਪ"
Flat,"ਪੱਧਰਾ, ਇਕ ਸਾਮਨ, ਫਲੈਟ"
Fleet,ਬੇੜਾ
Flexibility,ਲਚੀਲਾਪਨ
Flight,ਫਲਾਇਟ
Flood relief,ਹੱੜ ਰਾਹਤ
Floor,"ਸਦਨ, ਮੰਚ, ਫਰਸ਼, ਹੇਠਲੀ ਮੰਜ਼ਿਲ"
Flow,ਪ੍ਰਵਾਹ
Fluctuation,"ਉਤਾਰ-ਚੜ੍ਹਾਅ, ਘੱਟ, ਵੱਧ"
Foeticide,"ਗਰਭਨਾਸ਼, ਗਰਬਨਾਸ਼ੀ, ਭਰੂਣ ਹੱਤਿਆ"
Folder,ਫੋਲਡਰ
Folio,"ਫੋਲੀਓ, ਪੰਨਾ"
Follow,"ਅਨੁਸਰਣ ਕਰਨਾ, ਪਿੱਛਾ ਕਰਨਾ, ਪਾਲਨ ਕਰਨਾ, ਸਮਝਦਾ"
Following,"ਨਿਮਨਲਿਖਿਤ, ਹੇਠਾਂ ਲਿਖਿਆ, ਹੇਠ ਦਿੱਤਾ"
Follower,ਅਨੁਗਾਮੀ
Foment,ਉਕਸਾਨਾ
Foot note,ਪਦ-ਟਿੱਪਣੀ
Forced labour,"ਬੇਗਾਰ, ਜ਼ਬਰੀ, ਮਜਦੂਰੀ"
Forecast,ਪੂਰਣ ਅਨੁਮਾਨ
Foregone conclusion,ਪੂਰਣ ਵਿਚਾਰੀ ਕੀਤਾ ਪਰਿਣਾਮ
Foreign,ਵਿਦੇਸ਼ੀ
Foreman,ਫੋਰਮੈਨ
Forenoon,ਦੁਪਹਿਰ ਤੋਂ ਪਹਿਲਾਂ
Foresight,ਦੂਰੰਨਦੇਸੀ
Foreword,"ਪ੍ਰਾਕਥਨ, ਮੁਡਲੇ ਸ਼ਬਦ"
Forfeit,"ਗੁਆ ਦੇਣਾ, ਜ਼ਬਤ ਕਰਨਾ"
Forged,ਜਾਲੀ
Forgery,ਜਾਲਸਾਜੀ
Form,"ਫਾਰਮ, ਪ੍ਰਪੱਤਰ, ਰੂਪ"
Formal,ਰਸਮੀ
Format,"ਰੂਪ, ਫਾਰਮੇਟ"
Former,"ਪਹਿਲਾ, ਪੂਰਣ, ਪੂਰਵਵਰਤੀ"
Formula,ਸੂਤਰ
Forthwith,ਤਤਕਾਲ
Forward,ਅਗਾਂਹ ਵਧਿਆ ਹੋਇਆ
Forwarding letter,ਅਗੇਤਰਾ ਪੱਤਰ
Foundation,"ਨੀਹ, ਅਧਾਰ(ਸੰਸਥਾ), ਪ੍ਰਤਿਸ਼ਠਾਨ"
Fraction,"ਭਾਹ, ਅੰਸ਼"
Franchise,"ਸਤਅਧਿਕਾਰ, ਨਾਮ-ਅਧਿਕਾਰ"
Fraud,ਕਪਟ
Free,"ਨਿਸ਼ੁਲਕ, ਮੁਕਤ, ਸੁਤੰਤਰ"
Freeze,ਕੀਲਤ ਕਰਨਾ
Freight,"ਭਾੜਾ, ਮਜ਼ਦੂਰੀ, ਮਾਲ"
Frequency,ਵਾਰਵਰਤਾ
Fuel,ਬਾਲਣ
Full-scale,"ਪੂਰਾ ਪੈਮਾਨਾ, ਪੂਰਨ"
Function,"ਪ੍ਰਕਾਰਜ, ਕ੍ਰਿਤ, ਸਮਾਰੋਹ"
Fund,"ਨਿਧੀ, ਖਜ਼ਾਨਾ, ਕੋਸ਼, ਫੰਡ"
Fundamentalism,ਕੱਟਰਵਾਦ
Furnish,"ਪੇਸ਼ ਕਰਨਾ, ਦੇਨਾ, ਸਜਾਉਣਾ"
Further action,ੳਗਲੀ ਕਾਰਵਾਈ
Gainful employment,ਲਾਭਕਾਰੀ ਰੁਜ਼ਗਾਰ
Gainful occupation,ਲਾਭਦਾਇਕ ਪੇਸ਼ਾ
Gate pass,"ਗੇਟ ਪਾਸ, ਪ੍ਰਵੇਸ਼ ਪੱਤਰ"
Gazetted,ਰਾਜਪੱਤਰਿਤ
Gazetted holiday,"ਰਾਜਪੱਤਰਿਤ, ਅਵਕਾਸ਼"
General,"ਸਾਧਾਰਨ, ਸਰਵਜਨਿਕ, ਆਮ, (ਸੈਨਾ ਵਿਚ) ਜਨਰਲ, ਪ੍ਰਧਾਨ(ਜਪਦ ਨਾਂ ਤੋਂ ਪਹਿਲਾ), ਮਹਾ(ਪਦ ਨਾਂ)"
General administration,ਆਮ ਪ੍ਰਸ਼ਾਸ਼ਨ
General body,"ਆਮ ਨਿਕਾਅ, ਆਮ ਸਭਾ, ਸਾਧਾਰਣ ਸਭਾ"
General election,"ਆਮ ਚੋਣ, ਆਮ ਵਿਰਵਾਚਨ"
General meeting,"ਆਮ ਸਭਾ, ਸਾਧਾਰਣ ਬੈਠਕ"
General practice,"ਆਮ ਚਲਨ, ਆਮ ਪ੍ਰਥਾ"
General procedure,ਸਾਮਾਨਯ ਪ੍ਰਕਿਰਿਆ
General rule,"ਸਾਮਾਨਯ ਨਿਯਮ, ਵਿਆਪਕ ਨੇਮ"
General ward,ਸਾਧਾਰਣ ਵਾਰਡ
Generation,"ਪੀੜ੍ਹੀ, ਨਸਲ"
Genius,"ਪ੍ਰਤਿਭਾ, ਪ੍ਰਤਿਭਾਸ਼ਾਲੀ, ਪ੍ਰਕਿਰਤੀ"
Genuine,"ਪ੍ਰਮਾਣਿਕ, ਯਥਾਰਥ, ਵਾਸਤਵਿਕ, ਸੱਚਾ, ਸਹੀ"
Gift,ਉਪਹਾਰ
Gist,ਸਾਰ
Global tender,ਵਿਸ਼ਵਵਿਘਾਪੀ ਟੇਂਡਰ
Glossary,"ਪਰਿਭਾਸ਼ਕ ਕੋਸ਼, ਸ਼ਬਦ-ਸੰਗ੍ਰਹਿ, ਸ਼ਬਦਾਵਲੀ"
Goal,ਨਿਸ਼ਾਨਾ
Godown,ਗੋਦਾਮ
Golden handshake(=golden parachute),ਸੁਨਹਿਰੀ ਵਿਦਾਈ
Good,"ਅੱਛਾ, ਚੰਗਾ"
Good conduct,ਚੰਗਾ ਆਚਰਨ
Good faith,ਸਦਭਾਵਨਾ
Good offices,ਵਿਚੋਲਗੀ
Goodwill,"ਸੁਨਾਮ, ਸਦਇੱਛਾ, ਸਦਭਾਵਨਾ"
Govern,"ਰਾਜਕਰਨਾ, ਸ਼ਾਸਨ ਕਰਨਾ"
Governance,ਸ਼ਾਸਨ
Government,"ਸਰਕਾਰ, ਸ਼ਾਸਨ"
Government of India,ਭਾਰਤ ਸਰਕਾਰ
Government of India Concern,ਭਾਰਤ ਸਰਕਾਰ ਉੱਦਮ
Government of India Undertaking,ਭਾਰਤ ਸਰਕਾਰ ਉਪਕ੍ਰਮ
Government press,ਸਰਕਾਰੀ ਪ੍ਰੈਸ
Government servants conduct rules,ਸਰਕਾਰੀ ਕਰਮਚਾਰੀ ਆਚਰਣ ਨੇਮਾਵਲੀ
Government service,ਸਰਕਾਰੀ ਸੇਵਾ
Gradation,"ਸ਼੍ਰੇਣੀਕਰਣ, ਦਰਜੇਬੰਦੀ"
Grade,"ਦਰਜਾ, ਜਮਾਤ, ਸ਼੍ਰੇਣੀ"
Grading,"ਸ਼੍ਰੇਣੀਕਰਨ, ਕੋਟੀਕਰਨ, ਕੋਟੀ-ਨਿਰਧਾਰਣ"
Graduate,ਸਨਾਤਕ
Graduated wages,ਤਰਤੀਬ ਨਾਲ ਵੱਧਣ ਵਾਲੀ ਮਜਦੂਰੀ
Graduate trainee,ਸਨਾਤਕ ਸਿਖਿਆਰਥੀ
Graft,"ਵੱਢੀ, ਰਿਸ਼ਵਤ"
Grand total,ਕੁਲ ਜੋੜ
Grant,"ਅਨੁਦਾਨ, ਮਨਜੂਰ ਕਰਨਾ, ਪ੍ਰਦਾਨ ਕਰਨਾ"
Grant-in-aid,"ਸਹਾਇਤਾ, ਅਨਦਾਨ"
Grapevine,"ਅਫਵਾਹ, ਅੱਧੱਪਕੀ ਖਬਰ"
Graph,"ਖਾਕਾ, ਗ੍ਰਾਫ"
Graphology,"ਹੱਥ ਲਿਖਤ, ਵਿਗਿਆਨ"
Grateful,"ਧੰਨਵਾਦੀ, ਅਭਾਰੀ, ਸ਼ੁਕਰਗੁਜਾਰ"
Gratuity,ਉਪਦਾਨ
Green hand,"ਸਿਖਾਂਦੜੂ, ਅਨਾੜੀ"
Greeting(s),"ਵਧਾਈ, ਸ਼ੁਭਕਾਮਨਾ, ਬੰਦਨਾ"
Grievance,"ਸ਼ਿਕਾਇਤ, ਕਸ਼ਟ, ਉਲਾਂਭਾ"
Grievous,"ਘੋਰ, ਗੰਭੀਰ"
Gross,"ਸਮੁੱਚੀ, ਅਤਿ ਅਧਿਕ, ਭਾਰੀ"
Gross amount,"ਸਮੁੱਚੀ ਰਾਸ਼ੀ, ਸਮੁੱਚੀ ਰਕਮ"
Gross misconduct,ਦਰ ਆਚਾਰ
Gross negligence,ਬਹੁਤ ਭਾਰੀ ਅਣਦੇਖੀ(ਲਾਪਰਵਾਹੀ)
Gross profit,ਕੁਲ ਲਾਭ
Gross revenue,ਕੁਲ ਮਾਲ ਗੁਜਾਰੀ
Gross total,ਕੁਲ ਯੋਗ
Groundless,ਨਿਰਾਧਾਰ
Ground rent,"ਜਮੀਨ ਦਾ ਕਿਰਾਇਆ, ਲਗਾਨ"
Grounds,"ਮੂਲ ਕਾਰਨ, ਆਧਾਰ"
Group,"ਸਮੂਹ, ਵਰਗ, ਦਲ ਟੋਲੀ"
Grouping and grading,ਵਰਗੀਕਰਨ ਅਤੇ ਕੋਟੀ ਕਰਨ
Guarantee,"ਸਮੂਹੀਕਰਨ, ਪਦ-ਕ੍ਰਮਣ"
Guarantor,"ਜਾਮਨ, ਗਾਰੰਟੀ ਦੇਣ ਵਾਲਾ"
Guard,"ਚੌਕੀਦਾਰ, ਰੱਖਿਅਨ"
Guard file,ਗਾਰਡ ਫਾਇਲ
Guardian,ਸਰਪ੍ਰਸਤ ਗਾਰਡੀਅਨ
Guest house,ਨਿਵਾਸ ਸਥਾਨ
Guide,"ਆਗੂ, ਪੱਥ ਪ੍ਰਦਰਸ਼ਕ, ਗਾਈਡ, ਰਾਹਬਰ, ਰਾਹਨੁਮਾਈ"
Guidelines,"ਮਾਰਗ ਦਰਸ਼ਨ, ਦਿਸ਼ਾ ਨਿਰਦੇਸ਼"
Guilt,"ਅਪਰਾਧ, ਦੋਸ਼"
Habit,"ਸੁਭਾਅ, ਆਦਤ, ਅਭਿਆਸ"
Habitual,"ਆਦੀ, ਅਭਿਆਸੀ, ਸੁਭਾਵਕ"
Half-holiday,ਅੱਧੀ ਛੁਟੀ
Half pay,"ਅੱਧੀ ਤਨਖਾਹ, ਅੱਧਾ ਵੇਤਨ"
Hall,"ਹਾਲ, ਵੱਡਾ ਕਮਰਾ"
Halt,"ਠਹਿਰਾਨਾ, ਅਰਾਮ ਕਰਨਾ, ਪੜਾਅ, ਅਸਥਾਈ ਵਿਸ਼੍ਰਾਮ"
Hand,"ਹੱਥਲਿੱਖਤ, ਲਿਖਾਵਟ, ਕਰਮਚਾਰੀ"
Handbill,"ਪਰਚਾ, ਇਸ਼ਤਿਹਾਰ"
Handbook,"ਕਿਤਾਬੜੀ, ਛੋਟੀ ਜਿਹੀ ਕਿਤਾਬ"
Handicap,"ਅੜਚਨ, ਰੁਕਾਵਟ"
Handle,"ਸੰਭਾਲਨਾ, ਹੱਥਾ, ਦਸਤਾ"
Handloom,ਹੱਥਕਰਬਾ(ਖੱਡੀ)
Handy,"ਛੋਟਾ ਜਿਹਾ, ਸੁਗਮ, ਸੁਵਿਧਾਜਨਕ"
Hand-over,ਸੌਂਪਣਾ
Handwriting,ਹੱਥਲਿਖਤ
Harassment,ਤਕਲੀਫ਼ ਪਰੇਸ਼ਾਨੀ
Harbour,ਬੰਦਰਗਾਹ
Hard labour,"ਕੜੀ ਮਿਹਨਤ, ਸਖਤ ਮਿਹਨਤ"
Hardware,"ਹਾਰਡ ਵੇਅਰ, ਯੰਤਰ, ਸਮੱਗਰੀ"
Hard working,ਮਿਹਨਤੀ
Haulage,ਢੁਆਈ
Hawker,ਫੇਰੀਵਾਲਾ
Hazard,"ਸੰਕਟ, ਖਤਰਾ, ਜੋਖ਼ਮ"
Head,"ਪ੍ਰਧਾਨ, ਪ੍ਰਮੁੱਖ, ਮੁਖੀ, ਸ਼ੀਸ਼, ਮਦ"
Head office,ਪ੍ਰਧਾਨ ਦਫਤਰ
Headquarter,ਮੁਖ ਦਫਤਰ
Health certificate,ਸਿਹਤ ਪ੍ਰਮਾਣ ਪੱਤਰ
Hearing,ਸੁਣਵਾਈ
Hearsay,ਸੁਣੀ-ਸੁਣਾਈ
Heavy vehicle,ਭਾਰੀ ਵਾਹਨ
Heir,ਵਾਰਿਸ
Held up,ਰੁਕਿਆ ਹੋਇਆ
Herewith,ੲਸਦੇ ਨਾਲ
Heritage,ਵਿਰਾਸਤ
Hierarchy,"ਮਹੰਤਸ਼ਾਹੀ, ਉੱਚ ਪ੍ਰਾਧਿਕਾਰੀ, ਪਦ-ਅਨੁਕ੍ਰਮ"
Higher authority,"ਉੱਚ ਮਾਲਕੀ, ਉੱਚ ਪ੍ਰਾਧਿਕਾਰੀ"
High grade,ਉੱਚ ਕੋਟੀ
High level,"ਉੱਚ ਸਤਰੀ, ਉਚ ਪੱਧਰੀ"
High level decision,"ਉਚ ਸਤਰੀ ਨਿਰਣਾ, ਉਚ ਪੱਧਰੀ ਨਿਰਣਾ"
Highlights,"ਮੁਖ-ਮੁਖ ਗੱਲਾਂ, ਪ੍ਰਮੁੱਖ ਆਕਰਸ਼ਨ, ਮੁੱਖ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ, ਮੁਖ ਸਮਾਚਾਰ"
High official,ਉੱਚ ਅਧਿਕਾਰੀ
High priorty,ਪ੍ਰਾਥਮਿਕਤਾ
High school,"ਹਾਈ ਸਕੂਲ, ਉਚ ਵਿਦਿਆਲਾ"
Hindi version,"ਹਿੰਦੀ ਰਪਾਂਤਰਣ, ਹਿੰਦੀ ਅਨਵਾਦ"
Hire,"ਭਾੜਾ, ਕਿਰਾਇਆ, ਹਿੰਦੀ ਅਨਵਾਦ"
Hiring,"ਕੰਮ ਤੇ ਰਖਣਾ, ਕਿਰਾਏ ਤੇ ਲੈਨਾ"
History sheet,ਤਾਰੀਖੀ ਪੱਤਰ
Hoarding,"ਜਮਾਖੋਰੀ, ਇਸ਼ਿਤਿਹਾਰ ਬੋਰਡ"
Holding,"ਧਾਰਣ, ਜੋਤ, ਸ਼ੇਅਟ ਪੂੰਜੀ, ਅਧਿਕ੍ਰਿਤ ਪੂੰਜੀ"
Holiday,"ਛੁੱਟੀ, ਅਵਕਾਸ਼"
Homage,ਸ਼ਰਧਾਜਲੀ
Home,ਘਰ
Homicide,ਮਾਨਵ ਹੱਤਿਆ
Honest,ਇਮਾਨਦਾਰ
Honorarium,"ਸੇਵਾ ਫਲ, ਮਾਨ-ਦਾਨ"
Honorary,ਸਨਮਾਨ ਸੂਚਕ ਪਦਵੀ
Honour,"ਸਨਮਾਨ, ਸਨਮਾਨ ਕਰਨਾ, ਮਾਣ, ਚੇਕ(ਸਵੀਕਾਰ ਕਰਨਾ)"
Hostel,"ਹੋਸਟਲ, ਆਵਾਸ"
Hostile,"ਵਿਰੋਧੀ, ਵੈਰ-ਪੂਰਨ"
House rent,ਮਕਾਨ ਕਿਰਾਇਆ
House rent allowance,ਕਰਾਇਆ ਭੱਤਾ
House tax,ਮਕਾਨ ਦਾ ਟੈਕਸ(ਕਰ)
Housing,"ਨਿਵਾਸ ਸਥਾਨ, ਆਵਾਸ"
Housing society,"ਨਿਵਾਸ-ਮੰਡਲ, ਹਾਊਸੰਗ ਸੁਸਾਇਟੀ"
Hue and cry,"ਹੱਲਾ, ਸ਼ੋਰ-ਸ਼ਰਾਬਾ"
Humane,"ਸੁਹਿਰਦ, ਦਿਆਲੂ, ਸੁਹਿਰਦਤਾ ਪੂਰਨ"
Human rights,ਮਾਨਵਾਧਿਕਾਰ
Humiliation,"ਅਪਮਾਨ, ਅਨਾਦਰ"
Hygiene,"ਸਿਹਤ ਵਿਗਿਆਨ, ਅਰੋਗਵਿਗਿਆਨ, ਸਰੀਰੀ ਰੱਖਿਆ ਨਿਯਮ"
Hypothecation,ਗਿਰਵੀ ਰੱਖਣ ਦੀ ਕ੍ਰਿਆ
Idea,ਵਿਚਾਰ
Ideal,ਆਦਰਸ਼
Identical,"ਇੱਕੋ ਜਿਹਾ, ਸਮਰੂਪ, ਸਮਾਜ"
Identification,ਪਚਾਣ ਸ਼ਨਾਖਤ
Identity,ਪਛਾਣ
Identity card,ਪਛਾਣ ਪੱਤਰ
Ignorance,ਅਗਿਆਨਤਾ
Ignore,"ਉਪੇਖਿਆ ਕਰਨੀ, ਨਜ਼ਰ ਅੰਦਾਜ ਕਰਨਾ"
Illegal,ਨਾ ਜਾਇਜ
Illegal strike,ਗੈਰ ਕਾਨੂੰਨੀ ਹੜਤਾਲ
Illigible,ਅਸਪਸ਼ਟ
Ill-feeling,ਦੁਰਭਾਵਨਾ
Illicit,"ਨਾਜ਼ਾਇਜ, ਗੈਰ ਕਨੂੰਨੀ"
Illiteracy,ਅਨਪੜ੍ਹਤਾ
Illogical,ਤਰਕਹੀਨ
Illustration,"ਤਸਵੀਰ, ਉਦਾਹਰਣ"
Image,"ਪਰਿਕਲਪਨਾ, ਪ੍ਰਤਿਬਿੰਬ, ਪਰਛਾਵਾਂ"
Imbalance,ਅਪ੍ਰਪੱਕ
Immature,"ਤਤਕਾਲ, ਉਸਵੇਲੇ"
Immediate,ਤਤਕਾਲ ਕਾਰਵਾਈ
Immediate action,ਤਤਕਾਲ ਕਾਰਵਾਈ
Immediate officer,ਤਤਕਾਲ ਅਧਿਕਾਰੀ
Immigrant,ਅਪ੍ਰਵਾਸੀ
Immoral,ਅਨੈਤਿਕ
Immovable,ਅਚਲ
Immune,"ਮੁਕਤ, ਸੁਰੱਖਿਅਤ"
Immunity,"ਛੁਟਕਾਰਾ, ਬਚਾਉ, ਸੁਰੱਖਿਆ"
Impact,ਪ੍ਰਭਾਵ
Impartial,ਨਿਰਪੱਖ
Impeachment,ਮਹਾ ਅਭਿਯੋਗ
Impediment,"ਅੱੜਿਕਾ, ਰੁਕਾਵਟ"
Imperative,"ਲਾਜ਼ਮੀ, ਜ਼ਰੂਰੀ"
Impersonation,ਪ੍ਰਤੀਰੂਪਣ
Implement,"ਨਿਭਾਉਣਾ, ਲਾਗੂ ਕਰਨਾ, ਅਸਲ ਵਿਚ ਲਿਆਉਣਾ, ਪਾਲਣਾ ਕਰਨੀ"
Implicate,ਫਸਾਨਾ
Implicite,ਨਿਹਿਤ
Import,ਅਯਾਤ
Important,ਮਹਤੱਵਪੂਰਨ
Importer,ਅਯਾਤ ਕਰਨ ਵਾਲਾ
Impost,"ਟੈਕਸ, ਮਹਿਸੂਲ"
Impound,"ਖੋਹ ਲੈਣਾ, ਪਾਬੰਦੀ ਲਾਣਾ"
Impression,"ਛਾਪ, ਪ੍ਰਭਾਵ"
Imprest,ਪੇਸ਼ਗੀ ਧਨ
Improper,ਅਨੁਚਿਤ
