Gujarati,Odiya
આશ્રિત ચલ,ନିର୍ଭରଶୀଳ ଭେରିଏବଲ୍ |
આશ્રિત ચલ,ନିର୍ଭରଶୀଳ ଭେରିଏବଲ୍ |
હતાશાનો કોણ,ଉଦାସୀନତାର କୋଣ
"વ્યુત્પન્ન, વ્યુત્પન્ન, તફાવત","derivation, derivative, ଭିନ୍ନତା |"
"વ્યુત્પન્ન, વ્યુત્પન્ન","derivative, derivative"
વ્યુત્પન્ન શ્રેણી,ପ୍ରାପ୍ତ ପରିସର
મેળવેલ સમૂહ,ନିର୍ମିତ ସେଟ୍ |
"ઉતરતા, ઉતરતા","ଅବତରଣ, ଅବତରଣ"
ઉતરતા ક્રમમાં,ଅବତରଣ କ୍ରମ |
ઉતરતી શ્રેણી,ଅବତରଣ ପରିସର
પ્રોજેક્ટિવ ભૂમિતિ,ପ୍ରୋଜେକ୍ଟିଭ୍ ଜ୍ୟାମିତି |
વર્ણનાત્મક મોડેલ,ବର୍ଣ୍ଣନାକାରୀ ମଡେଲ୍ |
વર્ણનાત્મક આંકડા,ବର୍ଣ୍ଣନାକାରୀ ପରିସଂଖ୍ୟାନ |
"ડિઝાઇન કરવી, ડિઝાઇન કરવી, ડિઝાઇન કરવી (ed.), ડિઝાઇન કરવી, ડિઝાઇન કરવી (n.)","ଡିଜାଇନ୍ କରିବାକୁ, ଡିଜାଇନ୍ କରିବାକୁ, ଡିଜାଇନ୍ କରିବାକୁ (ଏଡି।), ଡିଜାଇନ୍ କରିବାକୁ, ଡିଜାଇନ୍ କରିବାକୁ (n।)"
પ્રયોગની ડિઝાઇન,ପରୀକ୍ଷଣର ଡିଜାଇନ୍ |
ડેસ્ક કેલ્ક્યુલેટર,ଡେସ୍କ କାଲକୁଲେଟର
"ઓળખ, શોધ","ପରିଚୟ, ଚିହ୍ନଟ"
"નિર્ધારક, નિર્ધારક, નિર્ધારક","ନିର୍ଣ୍ଣୟକାରୀ, ନିର୍ଣ୍ଣୟକାରୀ, ନିର୍ଣ୍ଣୟକାରୀ;"
નિર્ણાયક ક્રમ,ନିର୍ଣ୍ଣୟ କ୍ରମ |
નક્કી કરવા માટે,ନିର୍ଣ୍ଣୟ କରିବାକୁ
નિર્ધારિત મોડેલ,ସ୍ଥିରିକୃତ ମଡେଲ୍ |
નિર્ણાયક સમસ્યા,ସ୍ଥିରିକୃତ ସମସ୍ୟା |
વિચલન,ବ୍ୟତିକ୍ରମ
વિચલન ગુણાંક,ବିଘ୍ନ କୋଏଫିସିଣ୍ଟେଣ୍ଟ |
દ્વિસંગી સિસ્ટમ,ବାଇନାରୀ ସିଷ୍ଟମ୍ |
વિકર્ણ કર્ણ,ଡାଇଗୋନାଲ୍ ହାଇପୋଟେନ୍ୟୁଜ୍
મેટ્રિક્સ કર્ણકરણ,ମ୍ୟାଟ୍ରିକ୍ସ ଡାଇଗୋନାଲାଇଜେସନ୍ |
"વિકર્ણ મેટ્રિક્સ, વિકર્ણ મેટ્રિક્સ","ଡାଇଗୋନାଲ୍ ମ୍ୟାଟ୍ରିକ୍ସ, ଡାଇଗୋନାଲ୍ ମ୍ୟାଟ୍ରିକ୍ସ |"
કર્ણ સમાનતા,ତ୍ରିକୋଣୀୟ ସମାନତା |
રેખાકૃતિ,ଚିତ୍ର
ચિત્રકામ પદ્ધતિ,ଚିତ୍ରାଙ୍କନ ପଦ୍ଧତି |
ગ્રાફિકલ રજૂઆત,ଆଲେଖୀକ ଉପସ୍ଥାପନା
વ્યાસ,ବ୍ୟାସ
વ્યાસ સેટ કરો,ବ୍ୟାସ ସେଟ୍ କରନ୍ତୁ |
ડાયમેટ્રિકલી વિરુદ્ધ,ହୀରା ବିପରୀତ |
"ક્રોસફાયર, ડાઇસ ફેંકો","କ୍ରସ୍ ଫାୟାର୍, ଫିସ୍ ପକାନ୍ତୁ |"
ઉભયજીવી વર્ગીકરણ,ଆମ୍ଫିବିଆସ୍ ବର୍ଗୀକରଣ |
"વિભાજન, અડધું","ବିଭାଜନ, ଅଧା |"
શબ્દકોશ,ଅଭିଧାନ
વિભેદક કલન,ଭିନ୍ନକ୍ଷମ ଗଣନା
વિભેદક સમીકરણ,ଭିନ୍ନକ୍ଷମ ସମୀକରଣ |
વિભેદક સૂત્ર,ଭିନ୍ନକ୍ଷମ ସୂତ୍ର |
વિભેદક પદ્ધતિ,ଭିନ୍ନକ୍ଷମ ପଦ୍ଧତି |
સેટનો તફાવત,ସେଟ୍ ର ପାର୍ଥକ୍ୟ |
વિભેદક,ଭିନ୍ନକ୍ଷମ |
વિભેદક વળાંક,ଭିନ୍ନକ୍ଷମ ବକ୍ର
વિભેદક કાર્ય,ଭିନ୍ନକ୍ଷମ କାର୍ଯ୍ୟ
"વિભેદક, વિભેદક, વિભેદક, આંતરપ્રાપ્તિ, આંતરવ્યક્તિ, વિભેદક","ଭିନ୍ନକ୍ଷମ, ଭିନ୍ନକ୍ଷମ, ଭିନ୍ନକ୍ଷମ, ପାରସ୍ପରିକ, ଆନ୍ତରିକତା, ଭିନ୍ନକ୍ଷମ |"
વિભેદક ગણિત,ଭିନ୍ନ ଭିନ୍ନ ଗଣିତ |
વિભેદક ગુણાંક,ଭିନ୍ନକ୍ଷମ ଗୁଣବତ୍ତା |
વિભેદક સમીકરણ,ଭିନ୍ନକ୍ଷମ ସମୀକରଣ |
વિભેદક અથડામણ,ଭିନ୍ନ ଭିନ୍ନ ଧକ୍କା |
વિભેદક સૂત્ર,ଭିନ୍ନକ୍ଷମ ସୂତ୍ର |
વિભેદક કાર્ય,ଭିନ୍ନକ୍ଷମ କାର୍ଯ୍ୟ
વિભેદક ભૂમિતિ,ଭିନ୍ନକ୍ଷମ ଜ୍ୟାମିତି |
ઉચ્ચ ઓર્ડર તફાવત,ଉଚ୍ଚ କ୍ରମ ଭିନ୍ନକ୍ଷମ |
વિભેદક સેગમેન્ટ,ଭିନ୍ନକ୍ଷମ ବିଭାଗ
તફાવત કરવો,ଭିନ୍ନ କର |
"ભેદભાવ, ભેદભાવ","ଭିନ୍ନତା, ଭିନ୍ନତା |"
વિભેદક સૂત્ર,ଭିନ୍ନକ୍ଷମ ସୂତ୍ର |
વેક્ટરનો તફાવત,ଭେକ୍ଟରର ଭିନ୍ନତା |
"પ્રસરણ, પ્રસરણ","ବିସ୍ତାର, ବିସ୍ତାର"
"અંક, મુદ્રા, આંગળી","ସଂଖ୍ୟା, ଡାଏଡମ୍, ଆଙ୍ଗୁଠି |"
ડિજિટલ કમ્પ્યુટર,ଡିଜିଟାଲ୍ କମ୍ପ୍ୟୁଟର |
અંકી દત્ત,ଅଙ୍କି ଦତ୍ତ |
"હદ, પહોળાઈ, પરિમાણ, શક્તિ","ପରିମାଣ, ମୋଟେଇ, ପରିମାପ, ଶକ୍ତି |"
પરિમાણ,ପରିମାପ
પરિમાણહીન,ପରିମାପହୀନ |
સમીકરણ પરિમાણ,ସମୀକରଣ ପରିମାଣ
ડાયોફન્ટસનું સમીકરણ,ଡାୟୋଫାଣ୍ଟସ୍ ସମୀକରଣ |
પતનનો કોણ,ପତନର କୋଣ
દ્વિધ્રુવ કોઓર્ડિનેટ્સ,ଡିପୋଲ୍ କୋର୍ଡିନେଟ୍ |
દ્વિધ્રુવ,ଡିପୋଲ୍
બાયપીરામિડ,ବିପିରାମିଡ୍ |
ડીરાક ડેલ્ટા કાર્ય,dirac delta function
સામાન્ય સ્પર્શક,ସାଧାରଣ ଟାଙ୍ଗେଣ୍ଟ୍ |
જમણો ખૂણો,ଡାହାଣ କୋଣ
સીધી રેખા,ସିଧାସଳଖ ରେଖା |
જગ્યા વ્યુત્પન્ન,ସ୍ପେସ୍ ଡେରିଭେଟିଭ୍ |
"ડીકોસિન, ડીકો-કોસાઇન","ଡିକୋସିନ୍, ଡିକୋ-କୋସାଇନ୍ |"
મહત્તમ દિશા,ସର୍ବାଧିକ ଦିଗ
પ્રક્ષેપણ દિશા,ପ୍ରୋଜେକସନ ଦିଗ
દિશા ગુણોત્તર,ଦିଗ ଅନୁପାତ |
નિયમનકારી વર્તુળ,ନିୟାମକ ସର୍କଲ୍ |
નિયમનકાર વર્તુળ,ନିୟାମକ ସର୍କଲ୍ |
અનુલોમા ઉત્પાદન,ଅନୁଲୋମା ଉତ୍ପାଦ |
"સીધો પુરાવો, સીધો પુરાવો","ପ୍ରତ୍ୟକ୍ଷ ପ୍ରମାଣ, ପ୍ରତ୍ୟକ୍ଷ ପ୍ରମାଣ |"
અનુક્રમિક ગુણોત્તર,କ୍ରମିକ ଅନୁପାତ |
નિયતિ,ଭାଗ୍ୟ
અનુલોમા સરવાળો,ଅନୁଲୋମା ରାଶି |
અસંબંધિત સમૂહ,ଅସନ୍ତୁଷ୍ଟ ସେଟ୍ |
"નિરંતરતા, નિરંતરતા, વિરામ","ବିଚ୍ଛିନ୍ନତା, ବନ୍ଦ, ବିରତି |"
વ્યુત્પન્નતાની વિરામ,ଡେରିଭେଟିଭ୍ ର ବିଚ୍ଛିନ୍ନତା |
પ્રથમ પ્રકારનું વિરામ,ପ୍ରଥମ ପ୍ରକାର ବିଚ୍ଛିନ୍ନତା |
બીજા પ્રકારનું વિરામ,ଦ୍ୱିତୀୟ ପ୍ରକାର ବିଚ୍ଛିନ୍ନତା |
અવ્યવસ્થિત વિતરણ,ନିରନ୍ତର ବଣ୍ଟନ |
અવ્યવસ્થિત કાર્ય,ବିଚ୍ଛିନ୍ନ କାର୍ଯ୍ୟ
અવ્યવસ્થિત તફાવત,ବିଚ୍ଛିନ୍ନ ଭିନ୍ନତା |
રજકણ,କଣିକା
અવ્યવસ્થિત વિતરણ,ନିରନ୍ତର ବଣ୍ଟନ |
અસંતુલિત સંભાવના વિતરણ,ନିରନ୍ତର ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ |
અવ્યવસ્થિત રેન્ડમ ચલ,ବିଚ୍ଛିନ୍ନ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |
અવિરત નમૂના જગ્યા,ବିଚ୍ଛିନ୍ନ ନମୁନା ସ୍ଥାନ |
અલગ એકંદર,ପୃଥକ ଏଗ୍ରିଗେଟ୍ |
અલગ વસ્તી,ବିଚ୍ଛିନ୍ନ ଜନସଂଖ୍ୟା |
અલગ રાજ્ય,ବିଚ୍ଛିନ୍ନ ଅବସ୍ଥା |
અવ્યવસ્થિત તફાવત,ବିଚ୍ଛିନ୍ନ ଭିନ୍ନତା |
વિતરણ કર,ବଣ୍ଟନ କର
ભેદભાવપૂર્ણ વિશ્લેષણ,ଭେଦଭାବ ବିଶ୍ଳେଷଣ |
અસંબંધિત,ଅସନ୍ତୁଷ୍ଟ
અસંબદ્ધ ઘટના,ଅସନ୍ତୁଷ୍ଟ ଘଟଣା |
અસંબંધિત સમૂહ,ଅସନ୍ତୁଷ୍ଟ ସେଟ୍ |
અસંબંધિત નિવેશ,ଭର୍ତ୍ତି ସନ୍ନିବେଶ |
"વિભાજન, તર્કસંગત સરવાળો","ବିଚ୍ଛିନ୍ନତା, ଯୁକ୍ତିଯୁକ୍ତ ରାଶି |"
"વિખેરવું, વિખેરવું","ବିଚ୍ଛେଦ, ବିଛାଇବା |"
વિક્ષેપ ચાર્ટ,ବିଚ୍ଛେଦ ଚାର୍ଟ |
વિક્ષેપ સૂચકાંક,ବିଚ୍ଛେଦ ସୂଚକାଙ୍କ |
વિક્ષેપ રેખાકૃતિ,ବିଚ୍ଛେଦ ଚିତ୍ର |
વિક્ષેપ મેટ્રિક્સ,ବିଚ୍ଛେଦ ମାଟ୍ରିକ୍ସ |
વિસ્થાપન,ବିସ୍ଥାପନ
પ્રદર્શન,ପ୍ରଦର୍ଶନ
કન્સોલ,କୋନସୋଲ
"અસમાન, અસમાન","ଅସମାନ, ଅସମାନ"
વિસર્જન બળ,ବିଚ୍ଛିନ୍ନ ଶକ୍ତି
અંતર કાર્ય,ଦୂରତା କାର୍ଯ୍ୟ
અંતર મોડ્યુલસ,ଦୂରତା ମଡ୍ୟୁଲସ୍
બિન-વિતરણકારક,ଅଣ-ବଣ୍ଟନକାରୀ |
"વિતરણ નિયમ, વિતરણ નિયમ","ବଣ୍ଟନ ନିୟମ, ବଣ୍ଟନ ନିୟମ |"
"વિખેરી નાખવું, વિખેરી નાખવું","ବିସର୍ଜନ କରିବାକୁ, ବିସର୍ଜନ କରିବାକୁ |"
"ભિન્નતા, ભિન્નતા, ભિન્નતા","ବିଭେଦ, ବିଭେଦ, ବିଭେଦ |"
વિચલન પ્રમેય,ଭିନ୍ନତା ଥିଓରେମ୍ |
જુદીજુદી,ବିଭେଦ
અલગ શ્રેણી,ଭିନ୍ନ ପରିସର |
વિભાજિત તફાવત,ବିଭାଜନ ପାର୍ଥକ୍ୟ |
"વિભાજ્યતા, વિભાજ્યતા","ବିଭାଜନତା, ବିଭାଜନତା |"
"વિભાજ્ય, વિભાજ્ય","ବିଭାଜନ, ବିଭାଜନ"
"વિભાજન, વિભાજન, વિભાજન","ବିଭାଜନ, ବିଭାଜନ, ବିଭାଜନ |"
વિભાજન અલ્ગોરિધમ,ବିଭାଜନ ଆଲଗୋରିଦମ |
વિભાજિત રિંગ,ବିଭାଜିତ ରିଙ୍ଗ |
ચતુર્ભુજ,ଚତୁର୍ଭୁଜ
દશકોણ,ଡିକାଗନ୍ |
"ડોમેન, ડોમેન, પ્રાંત, પ્રદેશ","ଡୋମେନ୍, ଡୋମେନ୍, ପ୍ରଦେଶ, ଅଞ୍ଚଳ |"
કાર્યનું ડોમેન,କାର୍ଯ୍ୟର ଡୋମେନ୍ |
વ્યાખ્યા-પ્રાંત,ସଂଜ୍ଞା-ପ୍ରଦେଶ |
અસ્તિત્વની સ્થિતિ,ଅସ୍ତିତ୍ୱର ଅବସ୍ଥା |
ઓવરરાઇડિંગ ઉપકરણ,ଓଭରବ୍ରିଡ୍ ଡିଭାଇସ୍ |
ડોપ્લર અસર,ଡୋପଲର ପ୍ରଭାବ
"બિંદુ ઉત્પાદન, સ્કેલર ઉત્પાદન","ବିନ୍ଦୁ ଉତ୍ପାଦ, ସ୍କାଲାର୍ ଉତ୍ପାଦ |"
ડોટેડ વળાંક,ବିନ୍ଦୁ ବକ୍ର
બેવડા તફાવત,ଡୁଆଲ୍ ଭିନ୍ନକ୍ଷମ |
ડબલ ઘાતાંકીય વિતરણ,ଦୁଇଗୁଣ ବଣ୍ଟନ
ડબલ કોઇલ,ଡବଲ୍ କୋଇଲ୍ |
દ્વિસંગી અભિન્ન,ବାଇନାରୀ ଇଣ୍ଟିଗ୍ରାଲ୍ |
દ્વિસંગી એકીકરણ,ବାଇନାରୀ ଏକୀକରଣ |
ડબલ મર્યાદા,ଦୁଇଥର ସୀମା |
ડબલ સેમ્પલિંગ ઇવેન્ટ,ଡବଲ୍ ନମୁନା ଇଭେଣ୍ଟ |
ડબલ ક્રમ,ଡବଲ୍ କ୍ରମ |
ડબલ શ્રેણી,ଡବଲ୍ ସିରିଜ୍ |
ડબલ-જોડાયેલ નોટેશન,ଡବଲ୍-ସଂଲଗ୍ନ ନୋଟେସନ୍ |
ડબલ સંકલન,ଦୁଇଥର ସଂକଳନ |
નીચે તરફ પ્રવેગક,ତଳ ତ୍ୱରଣ
નીચે તરફનું વિસ્થાપન,ନିମ୍ନ ବିସ୍ଥାପନ |
નીચેની ગતિ,ନିମ୍ନ ଗତି
નીચે તરફનો વેગ,ତଳ ବେଗ
ટ્રેક્શન,ଟ୍ରାକ୍ସନ୍
ટ્રેક્શન બળ,ଟ୍ରାକ୍ସନ୍ ଫୋର୍ସ |
"બેવડી દ્વૈતતા,",ଦ୍ୱ ual ତ ଦ୍ୱ ual ତ୍ୟ
ડ્યુઅલ બેઝ,ଡୁଆଲ୍ ବେସ୍ |
દ્વિ આંતરિક ઉત્પાદન,ଦ୍ୱ ual ତ ଆଭ୍ୟନ୍ତରୀଣ ଉତ୍ପାଦ |
ડ્યુઅલ રેખીય પ્રોગ્રામિંગ સમસ્યા,ଡୁଆଲ୍ ଲାଇନ୍ ପ୍ରୋଗ୍ରାମିଂ ସମସ୍ୟା |
"ડબલ ઓપરેશન, ડ્યુઅલ ઓપરેશન","ଡବଲ୍ ଅପରେସନ୍, ଡୁଆଲ୍ ଅପରେସନ୍ |"
બેવડી સમસ્યા,ଦ୍ୱ ual ତ ସମସ୍ୟା |
ડ્યુઅલ સિંગલ અલ્ગોરિધમ,ଡୁଆଲ୍ ସିଙ୍ଗଲ୍ ଆଲଗୋରିଦମ୍ |
ડ્યુઅલ સિંગલ પદ્ધતિ,ଡୁଆଲ୍ ସିଙ୍ଗଲ୍ ପଦ୍ଧତି |
બેવડી જગ્યા,ଡୁଆଲ୍ ସ୍ପେସ୍ |
દ્વિ ચલ,ଡୁଆଲ୍ ଭେରିଏବଲ୍ |
ડ્યુઅલ વેક્ટર જગ્યા,ଡୁଆଲ୍ ଭେକ୍ଟର ସ୍ପେସ୍ |
મૌન અનુક્રમણિકા,ନୀରବ ସୂଚକାଙ୍କ |
મૌન ફૂટર,ନୀରବ ଫୁଟର୍ |
મૌન કરાર,ନୀରବ ଚୁକ୍ତି |
શાંત ચલ,ନୀରବ ଭେରିଏବଲ୍ |
ડુપ્લિકેશન,ନକଲ
ગતિશીલ,ଗତିଶୀଳ |
ગતિશીલ સિસ્ટમ,ଗତିଶୀଳ ସିଷ୍ଟମ୍ |
ગતિશીલ માંગ કાર્ય,ଗତିଶୀଳ ଚାହିଦା କାର୍ଯ୍ୟ |
ગતિશીલ મોડેલ,ଗତିଶୀଳ ମଡେଲ୍ |
ગતિશીલ પ્રોગ્રામિંગ,ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ |
ગતિશીલ પ્રોગ્રામિંગ અભિગમ,ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ ପଦ୍ଧତି |
ગતિશીલ પ્રોગ્રામિંગ તકનીકો,ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ କ ques ଶଳ |
"ગતિશીલતા, ગતિશીલતા","ଗତିଶୀଳତା, ଗତିଶୀଳତା |"
કણ ગતિશીલતા,କଣିକା ଗତିଶୀଳତା |
સખત શરીરની ગતિશીલતા,କଠିନ ଶରୀର ଗତିଶୀଳତା |
"પૃથ્વી, પૃથ્વી, પૃથ્વી, પૃથ્વી, પૃથ્વી, પૃથ્વી, પૃથ્વી, પૃથ્વી સંપર્ક (ver.)","ପୃଥିବୀ, ପୃଥିବୀ, ପୃଥିବୀ, ପୃଥିବୀ, ପୃଥିବୀ, ପୃଥିବୀ, ପୃଥିବୀ ସମ୍ପର୍କ (ver।)"
ભૂકંપની તીવ્રતા,ଭୂକମ୍ପ ତୀବ୍ରତା |
તરંગીતા,ବିଚିତ୍ରତା
ધારણા,ଅନୁମାନ
ઇકોનોમેટ્રિક આગાહી,ଅର୍ଥନ ric ତିକ ପୂର୍ବାନୁମାନ |
અર્થશાસ્ત્રી,ଅର୍ଥନୀତିଜ୍ଞ
અર્થશાસ્ત્ર,ଅର୍ଥନୀତି
અર્થશાસ્ત્ર,ଅର୍ଥନୀତି
