abatement,অবসান
exhaust,"নিঃশেষকরা, নিকাশী"
exhaustive,সর্বাঙ্গীণ
exhibit,"প্রদর্শ, প্রদর্শনকরা"
exigency,জরুরিঅবস্থায়
exim policy,আমদানি-রপ্তানিনীতি
exit,"নির্গমন, নিকাশদ্বার, বহির্গমন, প্রস্থান"
exit interview,বহির্গমনসাক্ষাৎকার
exit policy,বহির্গমননীতি
exit poll,নির্গমনমতানুমান
exonerate,"অভিযোগমোচন, রেহাইদেওয়া"
expansion,"প্রসারণ, সম্প্রসার"
expatriation,দেশান্তরণ
expedient,"সমীচীন, সঙ্গত, সুবিধাজনক"
expedite,ত্বরাণ্বিতকরা
expel,"নিষ্কাশনকরা, বিতাড়িত/নির্বাসিতকরা"
expenditure,"ব্যয়, খরচ"
experience,"অভিজ্ঞতা, অনুভব"
experiment,"প্রয়োগ, পরীক্ষা"
expert,"দক্ষ, বিশেষজ্ঞ, বিশারদ"
expiry,"অবসান, সমাপ্তি"
expiry date,"অবসানতিথি, সমাপ্তিতারিখ, শেষতারিখ"
explanation,"ব্যাখ্যা, কৈফিয়ত"
explicit,বিশদ
exploitation,শোষণ
explore,"অণ্বেষণকরা, খোঁজকরা"
explosion,বিস্ফোরণ
export,"রপ্তানি, নির্গম"
express,"দ্রুত, প্রকাশকরা"
expression,"অভিব্যক্তি, মত, বাক্যাংশ"
expulsion,"নিষ্কাশন, বহিষ্কার"
expunge,"খারিজ, অনান্তর্ভুক্তি"
extend,প্রসারিতহওয়া/করা
extent,"প্রসার, বিস্তার, ব্যাপ্তি"
external,"বাহ্য, বৈদেশিক"
extortion,(টাকা)আদায়করা
extra,"অতিরিক্ত, বাড়তি"
extract,"উদ্ধৃতি, সার, চুম্বক"
extraordinary,"অনন্যসাধারণ, অসাধারণ"
extravagant,"অপব্যয়ী, অপচয়কর"
extremist,চরমপন্থী
extrovert,কৌতুহলী/বহির্মুখীব্যক্তি
eye witness,প্রত্যক্ষদর্শী
fabricate,"বানানো, মিথ্যাউদ্ভাবনকরা"
face value,"মুদ্রিতমূল্য, অভিহিতমূল্য, আপাতমূল্য"
facilitate,সহজবাসহজতরকরা
facility,সুযোগ-সুবিধা
facsimile,অবিকলপ্রতিরূপ
fact,"তথ্য, ঘটনা"
factionalism,"দলাদলিবাদ, দলাদলিপ্রবণ"
factor,"গোমশতা, উৎপাদক, গুণনীয়ক"
factory,কারখানা
factual,"তথ্যগত, তথ্যসংক্রান্ত"
faculty,অনুষদ
fail,"অনুত্তীর্ণহওয়া, ব্যর্থহওয়া"
fair,"স্পষ্ট, ন্যায্য, শুদ্ধ"
faith,ধর্মমত
fake,"মিথ্যাবিবরণতৈরীকরা, জালকরা"
family,"সংসার, পরিবার"
famine,দুর্ভিক্ষ
fare,যাত্রীভাড়া
farewell,বিদায়
farming,কৃষিকাজ
fatigue,"মানসিকবাশারীরিকশ্রান্তি, পরিশ্রম"
fault,"অক্ষমতা, ভ্রম, ভুল"
favour,অনুগ্রহ
feasibility,সম্ভাব্যতা
federation,"আমেল, ফেডারেশন"
fee,"মাশুল, ফি"
feed back,"প্রতিক্রিয়া, প্রতিবার্তা"
feeling,"স্পর্শানুভূতি, আবেগপ্রবণতা, সংবেদন"
felicitate,"আনন্দবাসুখজ্ঞাপনকরা, সংবর্ধনাকরা"
fellow,"সহকর্মী, সমকক্ষসঙ্গী, সাথী"
fellowship,"সহকারিতা, সাহচর্য"
female,স্ত্রীলোকবাবালিকা
fertile,"উর্বর, ফলপ্রসূ, উদ্ভাবনশক্তিসম্পন্ন"
fictitious,"অলীক, কল্পিত, অসত্য"
fidelity,"সততা, আনুগত্য"
field,"ক্ষেত্র, মাঠ, ময়দান"
figure,"চেহারা, আকার, গঠন"
file,"নথি, নথিভুক্তকরা, দাখিলকরা"
filing,"নথিভুক্তি, নথিভুক্তিকরণ, নথিবদ্ধকরণ, দায়েরকরা"
film,চলচ্চিত্র
final,"অন্তিম, চূড়ান্ত"
finance,"অর্থ, বিত্ত, অর্থসংস্থান"
financial,"আর্থিক, অর্থনৈতিক"
financier,অর্থসংস্থানকারী
findings,"সিদ্ধান্ত, রায়"
fine,"অর্থদণ্ড, জরিমানা"
fine arts,"ললিতকলা, চারুকলা"
finger print,"আঙুলাঙ্ক, আঙুলছাপ"
finished goods,"তৈরীপণ্য, তৈরীমাল"
fire,"অগ্নি, আগুন"
firing,বন্দুকদাগা
firm,বাণিজ্যপ্রতিষ্ঠান
first aid,প্রাথমিকচিকিৎসা
first class,"প্রথমশ্রেণীর, শ্রেষ্ঠ, সর্বোৎকৃষ্ট"
first division,প্রথমবিভাগ
first information report,প্রথমএত্তেলা
fiscal,রাজস্ব-সম্পর্কিত
fisheries,মৎস
fit,যোগ্য
fitness,যোগ্যতা
fix,"স্থিরকরা, বাঁধাবাসংলগ্নকরা"
fixation,"ঘনীভবন, নিশ্চলতা, নির্ধারণ"
fixed,"অটল, নিশ্চল, স্থায়ী"
flag,"পতাকা, নিশান"
flap,"পেটি, বেষ্টনী"
flat,"মসৃণ, সমতল"
fleet,"দ্রুত, ক্ষণস্থায়ী, অগভীরখাঁড়ি"
flexibility,"নমনীয়তা, নম্যতা, নমনশীলতা"
flight,"উড্ডয়ন, উড়ান, সারি"
flood relief,বন্যাত্রাণ
floor,"গৃহতল, মঞ্চ"
flow,"প্রবাহ, স্রোত, ধারা, প্রবহণ"
fluctuation,"হ্রাসবৃদ্ধি, বিচলন, ওঠানামা"
foeticide,ভ্রূণহত্যা
folder,ফোল্ডার
folio,"পত্র, পাতা, ফোলিও"
follow,"অনুকরণবাঅনুসরণকরা, মেনেচলা"
follower,"অনুচর, অনুগামী"
following,"পরবর্তী, নিম্নবর্তী"
foment,"লালনকরা, বলীয়ানকরা, প্ররোচিতকরা"
foot note,পাদটীকা
forced labour,বেগার
forecast,"পূর্বাভাস, পূর্বানুমান"
foregone conclusion,"বিচারেরআগেইগৃহীতসিদ্ধান্ত, অবশ্যম্ভাবীফলাফল"
foreign,"বিদেশী, পরদেশী"
foreman,"অধিকর্মিক, কর্মনায়ক, সর্দার"
forenoon,পূর্বাহ্ন
foresight,দুরদর্শিতা
foreword,"পূর্বকথা, প্রস্তাবনা, ভূমিকা"
forfeit,বাজেয়াপ্ত
forged,জাল
forgery,জালিয়াতি
form,"ফর্ম, নিদর্শ, আকার, ধাঁচ"
formal,"যথাবিধি, বিধিবৎ, আনুষ্ঠানিক"
format,আদল
former,"পূর্ববর্তী, পূর্বোক্ত, আগেকার"
formula,সূত্র
forthwith,অবিলম্বে
forward,"অগ্রিম, প্রেরণকরা"
forwarding letter,প্রেরণ-পত্র
foundation,"ভিত্তি, ভিত, বুনিয়াদ, প্রতিষ্ঠান"
fraction,ভগ্নাংশ
franchise,"ভোটদানেরঅধিকারবাযোগ্যতা, নাগরিকাধিকার"
fraud,প্রতারণা
free,"বন্ধনহীন, মুক্ত, স্বাধীন"
freeze,"বরফেপরিণতহওয়াবাকরা, হিমায়িতহওয়াবাকরা"
freight,"মালেরভাড়া, মাশুল"
frequency,"বারংবারতা, পুনঃপৌনিকতা"
fuel,"জ্বালানিদ্রব্য, ইন্ধন"
full-scale,অঙ্কনীয়ব্যক্তিপ্রাণীবাবস্তুরসমানমাপেঅঙ্কিত
