ab initio,"ಹೊಸತಾಗಿ, ಮೊದಲಿನಿಂದ"
emergency,"ತುರ್ತು, ತುರ್ತು ಪರಿಸ್ಥಿತಿ"
emergency relief,ತುರ್ತು ಪರಿಸ್ಥಿತಿಯ ಪರಿಹಾರ
emergent,"ಹೊರಬರುವ, ಜರೂರಾದ, ಅವಸರದ"
emigration,ವಲಸೆ
emoluments,"ಉಪಲಬ್ಧಿಗಳು, ವರಮಾನಗಳು, ಪಗಾರ"
empanelment,ಪಟ್ಟಿಯಲ್ಲಿ ಸೇರಿಸುವುದು
empathy,"ಪರಾನುಭೂತಿ, ಅನುಭೂತಿ ಶಕ್ತಿ"
employ,"ನಿಯೋಜಿಸು, ಸೇವಿಸು, ಬಳಸು"
employee,ಉದ್ಯೋಗಿ
employee participation,ಉದ್ಯೋಗಿಯ ಪಾಲ್ಗೊಳ್ಳುವಿಕೆ
employee’s contribution,ಉದ್ಯೋಗಿಯ ವಂತಿಕೆ
employees provident fund,ಉದ್ಯೋಗಿಗಳ ಭವಿಷ್ಯನಿಧಿ
employer,"ನಿಯೋಜಕ, ಯಜಮಾನ"
employment,"ಉದ್ಯೋಗ, ನೌಕರಿ, ಕೆಲಸ"
employment exchange,ಉದ್ಯೋಗ ವಿನಿಮಯ ಕೇಂದ್ರ
employment notice,ಉದ್ಯೋಗದ ಸೂಚನೆ
employment office,ಉದ್ಯೋಗದ ಕಛೇರಿ
empower,ಅಧಿಕಾರ ಕೊಡು
empowerment,"ಸಬಲೀಕರಣ, ಸಶಕ್ತೀಕರಣ, ಹೆಚ್ಚಿನ ಅಧಿಕಾರ ನೀಡುವುದು, ಅಧಿಕೃತ ಗೊಳಿಸುವುದು"
en bloc,"ಸಾಮೂಹಿಕವಾಗಿ, ಒಟ್ಟಿಗೆ, ಒಟ್ಟಾಗಿ"
en masse,"ಒಟ್ಟಾಗಿ, ಸಾಮುದಾಯಿಕವಾಗಿ"
en route,"ದಾರಿಯಲ್ಲಿ, ಮಾರ್ಗದಲ್ಲಿ, ಮೂಲಕ"
enact,"ಕಾನೂನು ಮಾಡು, ಅಧಿನಿಯಮ ಮಾಡು"
enactment,"ಅಧಿನಿಯಮನ, ಕಾನೂನು ಮಾಡುವುದು, ಕಾನೂನು, ಶಾಸನ"
encash,"ನಗದು ಹಣಪಡೆ, ನಗದೀಕರಿಸು, ನಗದುಪಡೆ"
enclose,"ಲಗತ್ತು, ಲಗತ್ತಿಸು"
encouragement,"ಪ್ರೋತ್ಸಾಹ, ಉತ್ತೇಜನೆ, ಪ್ರೇರಣೆ, ಹುರಿದುಂಬು"
encroachment,"ಆಕ್ರಮಣ, ಅತಿ ಕ್ರಮಣ"
encumbrance,"ಪೂರ್ವಾಧಿ, ಭಾರದಹೊಣೆ, ಋಣಭಾರ"
end product,ಉತ್ಪತ್ತಿಯಾದ ವಸ್ತು
endorse,"ಸಮರ್ಥಿಸು, ಹಿಂಬರೆ"
endowment,"ದತ್ತಿ, ಉಂಬಳಿ, ಕೊಡುಗೆ, ಧರ್ಮದತ್ತಿ, ದೈವದತ್ತ"
energy,"ಶಕ್ತಿ, ಸಾಮರ್ಥ್ಯ"
enforce,"ಜಾರಿ ಮಾಡು, ಜಾರಿಗೊಳಿಸು"
engage,"ವಾಗ್ದಾನ ಮಾಡು, ತೊಡಗು, ಪ್ರವೃತ್ತನಾಗು, ನಿರತನಾಗು"
enhancement,"ಹೆಚ್ಚಳ, ವರ್ಧನೆ"
enjoin,"ಆಜ್ಞೆ, ಆದೇಶ, ಕಟ್ಟಳೆ, ಆಜ್ಞೆಮಾಡು, ಆದೇಶಿಸು"
enquiry,ವಿಚಾರಣೆ
enrol,"ಪಟ್ಟಿಯಲ್ಲಿ ಸೇರಿಸು, ಪಟ್ಟಿಯಲ್ಲಿ ದಾಖಲು ಮಾಡು"
enrolment (=enrollment),"ಪಟ್ಟಿಯಲ್ಲಿ ಸೇರಿಸುವದು, ಪಟ್ಟಿಯಲ್ಲಿ ದಾಖಲು ಮಾಡುವದು"
enrolment number,"ದಾಖಲಾತಿ ಸಂಖ್ಯೆ, ಪ್ರವೇಶ ಸಂಖ್ಯೆ"
ensuing,"ಮುಂಬರುವ, ಆಮೇಲೆ ಬರುವ"
ensure,ಖಾತ್ರಿ ಪಡಿಸು
enter,"ಪ್ರವೇಶಿಸು, ಸೇರಿಸು, ದಾಖಲು ಮಾಡು"
enterprise,"ಉದ್ಯಮ, ಪ್ರಯತ್ನ, ಸಾಹಸಕಾರ್ಯ"
entertain,"ಮನೋರಂಜನೆ ಮಾಡು, ವಿನೋದ ಪಡಿಸು, ಆದರಿಸು, ಸಂಸ್ಕರಿಸು"
entertainment,"ಮನೋರಂಜನೆ, ವಿನೋದ, ಸತ್ಕಾರ, ಔತಣ, ವಿನೋದ ಪ್ರವರ್ತನ"
entitle,"ಅರ್ಹತೆ ನೀಡು, ಹಕ್ಕುಕೊಡು, ಹಕ್ಕುನೀಡು"
entitled,"ಅರ್ಹತೆ ಪಡೆದ, ಹಕ್ಕುದಾರ"
entitlement,"ಹಕ್ಕು ನೀಡಿಕೆ, ಸ್ವಾಧೀನಕ್ಕೆ ಬಂದ"
entrance,"ಪ್ರವೇಶ, ಆಗಮನ, ದ್ವಾರ"
entrant,"ಪ್ರವೇಶಿಸಿದ, ಆಗಮಸಿದ"
entry,"ಪ್ರವೇಶ, ನಮೂದು, ದಾಖಲೆ"
entry level job,ಪ್ರವೇಶ ಹಂತದ ಕೆಲಸ
enumeration,"ಎಣಿಕೆ, ಲೆಕ್ಕ"
environment,"ಪರಿಸರ, ಪರ್ಯಾವರಣ"
envoy,"ದೂತ, ರಾಯಭಾರಿ, ಪ್ರತಿನಿಧಿ"
epidemic (disease),"ಅಂಟುಜಾಡ್ಯ, ಸಾಂಕ್ರಾಮಿಕರೋಗ"
epitome,"ಸಂಗ್ರಹ, ಅಡಕಪತ್ರ, ಅಡಕ, ಸಾರ, ಸಂಕ್ಷಿಪ್ತ, ನಿರೂಪಣೆ ಸಂಕ್ಷೇಪ"
equality,"ಸಮಾನತೆ, ಸಮತೆ"
equilibrium,"ಸಮತೋಲನ, ಸಮ್ಮತಿ"
equipment,"ಸಜ್ಜು, ಸಿದ್ಧತೆ, ಸಾಧನ ಸಾಮಗ್ರಿ, ಸಾಮಾನು ಸರಂಜಾಮು"
equity,"ನ್ಯಾಯ ನೀತಿ, ಸಾಮ್ಯ"
equivalent,ಸಮನಾದ
equivocal,"ಎರಡರ್ಥದ, ಸಂಶಯಾರ್ಥದ, ಸಂಶಯಾಸ್ಪದವಾದ, ಸಂದಿಗ್ಧವಾದ"
eradicate,ನಿರ್ಮೂಲ ಮಾಡು
errata,ಒಪ್ಪೋಲೆ
error,"ತಪ್ಪು, ದೋಷ, ಸ್ಖಾಲಿತ್ಯ"
escalation,"ವೃದ್ಧಿ, ಏರಿಕೆ"
escort,"ಮೈಗಾವಲು, ಬೆಂಗಾವಲು"
essential,"ಆವಶ್ಯಕ, ಅಗತ್ಯ"
establishment,"ಸ್ಥಾಪನೆ, ಸಿಬ್ಬಂದಿ"
estimate,ಅಂದಾಜು
estimated cost,ಅಂದಾಜು ಬೆಲೆ
ethics,"ನೀತಿಶಾಸ್ತ್ರ, ನೀತಿ, ಆಚಾರ ನೀತಿ"
etiquette,"ಶಿಷ್ಟಾಚಾರ, ರೀತಿ-ನೀತಿ, ನೀತಿ ನಿಯಮ"
evacuation,"ಖಾಲಿಮಾಡುವುದು, ನಿರ್ವಾಗಿತಗೊಳಿಸು"
evade,"ನುಣುಚಿಕೊ, ಹಾರಿಕೊ, ತಪ್ಪಿಸಿಕೊ"
evaluation,"ಬೆಲೆಕಟ್ಟು, ಮೌಲ್ಯ ನಿರ್ಣಯ ಮಾಡು"
even number,ಸಮ ಸಂಖ್ಯೆ
eventual,"ಕಟ್ಟಕಡೆ, ಕೊನೆ"
eviction,"ಹೊರಹಾಕುವ, ಒಕ್ಕಲೆಬ್ಬಿಸುವ, ಹೊರದೂಡುವ"
evidence,ಸಾಕ್ಷಿ
evolve,"ರೂಪಿಸು, ವಿಕಸಿಸು"
ex gratia,"ಅನುಗ್ರಹ ಪೂರ್ವಕ, ಕೃಪಾ ವೂರ್ವಕ"
ex gratia payment,"ಅನುಗ್ರಹ ಪೂರ್ವಕ ಪಾವತಿ, ಕೊಡುಗೆ"
ex-officio,ಪದನಿಮಿತ್ತ
ex-parte,ಏಕ ಪಕ್ಷೀಯ
ex-post facto,"ಘಟನಾನಂತರ, ಘಟನೋತ್ತರ"
exact,"ಯಥಾರ್ಥ, ಖಚಿತ, ನಿಖರ, ಒತ್ತಾಯದಿಂದ ಪಡೆ"
examination,"ಪರೀಕ್ಷೆ, ಪರಿಶೀಲನೆ, ವಿಚಾರಣೆ"
examinee,ಪರೀಕ್ಷಾರ್ಥಿ
examiner,ಪರೀಕ್ಷಕ
example,"ಉದಾಹರಣೆ, ದೃಷ್ಟಾಂತ"
excavation,"ಅಗೆತ, ಉತ್ಖನನ"
excellent,"ಶ್ರೇಷ್ಠವಾದ, ಘನವಾದ, ಅತ್ಯುತ್ತಮವಾದ"
exception,"ಅಪವಾದ, ಆಕ್ಷೇಪಣೆ, ವಿನಾಯಿತಿ"
exceptional,ಅಸಾಧಾರಣ
excess,"ಅಧಿಕ, ಅತಿರಿಕ್ತ, ಹೆಚ್ಚಾದ"
exchange,"ಅದಲು-ಬದಲು, ಪರಿವರ್ತನ, ವಿನಿಮಯ, ವಿನಿಮಯ ಕೇಂದ್ರ"
exchequer,"ರಾಜ್ಯಕೋಶ, ಬೊಕ್ಕಸ"
excise (=excise duty),"ಅಬಕಾರಿ, ಉತ್ಪಾದನ"
exclude,"ಬಿಟ್ಟುಬಿಡು, ಹೊರತು ಪಡಿಸು, ಸೇರಿಸದಿರು"
excuse,"ನೆಪ ಕಾರಣ, ಕ್ಷಮೆ, ಕ್ಷಮಿಸು"
execute,"ಜಾರಿ ಮಾಡು, ಅಮಲ್ದಾರಿಮಾಡು, ಕಾರ್ಯರೂಪಕ್ಕೆತರು"
executive,"ಕಾರ್ಯಕಾರಿ, ಕಾರ್ಯನಿರ್ವಾಹಕ, ಜಾರಿ ಮಾಡುವ, ಆಡಳಿತಾತ್ಮಕ"
executive committee,"ಕಾರ್ಯಣಾರಿ ಸಮಿತಿ, ಕಾರ್ಯ ನಿರ್ವಾಹಕಸಮಿತಿ"
executive power,"ಕಾರ್ಯ ನಿವರ್ಹಣೆಯ ಅಧಿಕಾರ, ಆಡಳಿತಾತ್ಮಕ ಅಧಿಕಾರ"
executive staff,ಆಡಳಿತಾತ್ಮಕ ಅಧಿಕಾರಿಗಳು
executives,"ಅಧಿಕಾರಿ ವರ್ಗ, ಕಾರ್ಯಪಾಲಕವರ್ಗ"
exempt,ವಿನಾಯಿತಿ ಕೊಡು
exemption,"ವಿನಾಯಿತಿ, ವಿಮೋಚನೆ, ಬಿಡುಗಡೆ"
exercise,"ವ್ಯಾಯಾಮ, ಅಂಗಸಾಧನೆ, ಕಸರತ್ತು, ಅಭ್ಯಾಸ, ಪ್ರಯೋಗ, ಚಲಾವಣೆ, ಚಲಾಯಿಸು, ಅಭ್ಯಾಸ ಮಾಡಿಸು, ಬಿಡಿಸು ಪ್ರಯೋಗಿಸು"
exhaust,"ಬಹಿರ್ಗಮನ, ಬರಿದು ಮಾಡು, ಉಪಯೋಗಿಸು, ಮುರಿಸು"
exhaustive,"ವ್ಯಾಪಕ, ಸಮಗ್ರ"
exhibit,"ಹಾಜರುಪಡಿಸು, ಪ್ರದರ್ಶಿಸು, ಪ್ರದರ್ಶನ, ದಾಖಲೆ"
exigency,"ಆವಶ್ಯಕತೆ, ಜರೂರು, ಅಗತ್ಯತೆ, ತುರ್ತು"
exim policy,ಆಮದು-ರಪ್ತು ನೀತಿ
exit,ನಿಷ್ಕ್ರಮಣ
exit interview,ನಿರ್ಗಮನ ಸಂದರ್ಶನ
exit policy,ನಿರ್ಗಮನ ತತ್ವ
exit poll,ನಿರ್ಗಮನ ಮತದಾನ
exonerate,"ದೋಷಮುಕ್ತಮಾಡು, ಆರೋಪಮುಕ್ತಮಾಡು, ವಿಮೋಚನೆಮಾಡು ಮುಕ್ತಗೊಳಿಸು"
expansion,"ವಿಸ್ತರಣೆ, ಹರಡುವಿಕೆ, ಹಿಗ್ಗಿಸು, ವಿಕಸಿಸು"
expatriation,"ಸ್ವದೇಶ ಬಹಿಷ್ಕಾರ, ಸ್ವದೇಶ ಬಹಿಷ್ಕರಣ"
expedient,"ಮುಕ್ತ, ತಕ್ಕ, ಅನುಕೂಲವಾದ, ಯಥೋಚಿತ, ಸಮಯೋಚಿತ"
expedite,"ತ್ವರಿತ ಗೊಳಿಸು, ತ್ವರೆ ಮಾಡು"
expel,"ಹೊರದೂಡು, ಹೊರಗಟ್ಟು, ಹೊರಡಿಸು"
expenditure,"ಖರ್ಚು, ವೆಚ್ಚ, ವ್ಯಯ"
experience,"ಅನುಭವ, ವ್ಯವಹಾರಜ್ಞಾನ"
experiment,"ಪ್ರಯೋಗ, ಪರೀಕ್ಷೆ"
expert,"ತಜ್ಞ, ಚತುರ, ನಿಪುಣ, ಪ್ರವೀಣ"
expiry,"ಅವಧಿ ತೀರಿದ, ಮುಗಿದ"
expiry date,ಅವಧಿ ಮುಗಿದ ದಿನಾಂಕ
explanation,ವಿವರಣೆ
explicit,"ಸ್ಪಷ್ಟ, ವ್ಯಕ್ತ, ಪ್ರಕಟ"
exploitation,"ಶೋಷಣೆ, ಉಪಯೋಗ, ಪ್ರಯೋಜನಪಡೆ"
explore,"ಅನ್ವೇಷಿಸು, ಹುಡುಕು"
explosion,ಆಸ್ಫೋಟ
export,ರಫ್ತು
express,"ವ್ಯಕ್ತ ಪಡಿಸು, ಪ್ರಕಟಪಡಿಸು, ಶೀಘ್ರ, ವೇಗವಾದ"
expression,"ಅಭಿವ್ಯಕ್ತಿ, ಭಾವ"
expulsion,ಹೊರದೂಡುವುದು
expunge,"ತೊಡೆದು ಹಾಕು, ತೆಗೆದು ಹಾಕು, ಅಳಿಸು"
extend,"ವಿಸ್ತರಿಸು, ವ್ಯಾಪಿಸು"
extent,ವ್ಯಾಪ್ತಿ
external,"ಹೊರಗಿನ, ಬಾಹ್ಯ, ವಿದೇಶದ"
extortion,"ಸುಲಿಗೆ, ಕಿತ್ತುಕೊಳ್ಳುವಿಕೆ, ಬಲಾತ್ಕಾರವಾಗಿ ಪಡೆಯುವುದು"
extra,"ಹೆಚ್ಚಿನ, ಅಧಿಕ"
extract,"ಉದ್ಧರಣ, ಉದ್ಧೃತ ಭಾಗ/ಸಾರ, ಸತ್ವ"
extraordinary,"ಅಸಾಧಾರಣ, ಅಸಾಮಾನ್ಯ"
extravagant,"ದುಂದು ವೆಚ್ಚದ, ಮಿತಿಮೀರಿದ"
extremist,ಉಗ್ರಗಾಮಿ
extrovert,"ಪ್ರವೃತ್ತಿಪರ, ಬಹಿರ್ಮುಖಿ"
eye witness,ಪ್ರತ್ಯಕ್ಷಸಾಕ್ಷಿ
fabricate,"ನಿರ್ಮಿಸು, ಕಲ್ಪಿಸು, ರಚಿಸು"
face value,"ಮುಖಬೆಲೆ, ನಮೂದು ಬೆಲೆ"
facilitate,"ಅನುಕೂಲಗೊಳಿಸು, ಸುಲಭಗೊಳಿಸು"
facility,"ಅನುಕೂಲ, ಸೌಲಭ್ಯ"
facsimile,"ಪಡಿಯಚ್ಚು, ಮುದ್ರೆ"
fact,"ವಾಸ್ತವಾಂಶ, ವಿಷಯ, ಸಂಗತ"
factionalism,"ಪಂಗಡ, ಪಕ್ಷ"
factor,"ಅಂಶ, ವಿಷಯ"
factory,ಕಾರ್ಖಾನೆ
factual,"ವಾಸ್ತವಿಕ, ನಡೆದ ಸಂಗತಿಯ, ತಥ್ಯಪೂರ್ಣ"
faculty,"ವ್ಯಾಸಂಗ ವಿಭಾಗ, ಬೋಧನಾಂಗ, ವ್ಯಾಸಂಗ ಶಾಖೆ ಸಹಜಶಕ್ತಿ"
fail,"ನಪಾಸಾಗು, ವಿಫಲವಾಗು"
fair,"ನ್ಯಾಯವಾದ, ನಿಷ್ಪಕ್ಷಪಾತ, ಉಚಿತ, ಸುಂದರ, ಸಂತೆ/ಪರೀಕ್ಷೆ"
faith,"ವಿಶ್ವಾಸ, ನಂಬಿಕೆ, ಶ್ರದ್ಧೆ"
fake,"ಖೋಟಾ, ನಕಲಿ"
family,"ಕುಟುಂಬ, ಸಂಸಾರ, ಮನೆತನ, ವಂಶ"
famine,"ಕ್ಷಾಮ, ಬರಗಾಲ, ದುರ್ಭಿಕ್ಷ"
fare,"ಪ್ರಯಾಣದರ, ಹಾಸಲು"
farewell,"ಬೀಳ್ಕೊಡುಗೆ, ವಿದಾಯ"
farming,"ವ್ಯವಸಾಯ, ಬೇಸಾಯಮಾಡು"
fatigue,"ಆಯಾಸ, ಬಳಲಿಕೆ, ದಣಿವು"
fault,"ದೋಷ, ತಪ್ಪು"
favour,"ಅನುಗ್ರಹ, ಒಲವು, ಕೃಪೆ"
feasibility,ಕಾರ್ಯ ಸಾಧ್ಯತೆ
federation,"ಒಕ್ಕೂಟ, ಸಂಯುಕ್ತ ಸಂಸ್ಥೆ"
fee,"ಶುಲ್ಕ, ಫೀಜು"
feed back,ಪ್ರತಿ ಪುಷ್ಟಿ
feeling,"ಭಾವನೆ, ಸಂವೇದನೆ"
felicitate,"ಅಭಿನಂದಿಸು, ಸನ್ಮಾನಿಸು"
fellow,"ಸದಸ್ಯ, ಛಾತ್ರವೇತನ ಪಡೆಯುವವನು"
fellowship,"ಸದಸ್ಯತ್ವ, ಛಾತ್ರವೇತನ, ಶಿಷ್ಯವೃತ್ತಿ"
female,"ಸ್ತ್ರೀ, ಹೆಣ್ಣು"
fertile,ಫಲವತ್ತಾದ
fictitious,"ಕಲ್ಪಿತ, ಕಾಲ್ಪನಿಕ, ಸುಳ್ಳಿನ"
fidelity,"ಸ್ವಾಮಿನಿಷ್ಠೆ, ವಿಶ್ವಾಸ, ಪಾತಿವ್ರತ್ಯ"
field,ಕ್ಷೇತ್ರ
figure,"ಚಿತ್ರ, ಆಕಾರ, ಆಕೃತಿ, ಅಂಕಿ, ಸಂಖ್ಯೆ"
file,ಕಡತ
filing,ಕಡತಗೊಳಿಸು
film,"ಚಲನ ಚಿತ್ರ, ಸಿನಿಮಾ, ಲೇಪ, ಪೊರೆ"
final,"ಅಂತಿಮ, ಕೊನೆಯ"
finance,"ಹಣಕಾಸು, ಹಣ ಒದಗಿಸು, ವಿತ್ತ"
financier,"ಬಂಡವಾಳಗಾರ, ಹಣಕಾಸು ಒದಗಿಸುವವ"
findings,"ವಿಚಾರಣೆಯ ಫಲಿತಗಳು, ತೀರ್ಮಾನಗಳು"
fine,"ಜುಲ್ಮಾನೆ, ದಂಡ, ಉತ್ತಮ, ಚೊಕ್ಕ"
fine arts,ಲಲಿತಕಲೆಗಳು
finger print,ಬೆರಳ ಗುರುತು
finished goods,"ಸ್ಥಿದ್ಧ ವಸ್ತುಗಳು, ಸಾಮಗ್ರಿಗಳು"
fire,"ಅಗ್ನಿ, ಬೆಂಕಿ"
firing,"ಗೋಲಿಬಾರ್, ಗುಂಡು ಹಾರಿಸುವುದು"
firm,ವ್ಯಾಪಾರ ಸಂಸ್ಥೆ
first aid,ಪ್ರಥಮ ಚಿಕಿತ್ಸೆ
first class,"ಪ್ರಥಮ ಶ್ರೇಣಿ, ಪ್ರಥಮವರ್ಗ, ಮೊದಲ ಶ್ರೇಣಿ"
first division,ಮೊದಲದರ್ಜೆ
first information report,ಪ್ರಥಮ ಮಾಹಿತಿ ವರದಿ
fiscal,ಹಣಕಾಸಿನ
fisheries,ಮೀನುಗಾರಿಕೆ
fit,"ಯೋಗ್ಯ, ಅರ್ಹ, ಉಚಿತ"
fitness,"ಅರ್ಹತೆ, ಯೋಗ್ಯತೆ, ದಾರ್ಢ್ಯತೆ"
fix,"ನಿಲ್ಲಿಸು, ಸ್ಥಿರಗೊಳಿಸು, ಗೊತ್ತುಮಾಡು, ಉಭಯ ಸಂಕಟ, ಇಕ್ಕಟ್ಟು, ಜೋಡಿಸು"
fixation,ನಿಗದಿ ಪಡಿಸುವುದು
fixed,"ಸ್ಥಿರಗೊಂಡ, ನೆಲೆ ಗೊಂಡ, ನಿಶ್ಚಿತ"
flag,"ಬಾವುಟ, ಪತಾಕೆ, ಧ್ವಜ, ತಲೆಚೀಟಿ"
flap,ಪಟ್ಟಿ
flat,"ವಸತಿ ಭಾಗ, ಮಹಡಿ, ಚಪ್ಪಟೆ, ಮಟ್ಟಸವಾಗಿರುವ"
fleet,"ನೌಕಾಬಲ, ಹಡಗುಪಡೆ"
flexibility,"ನಮ್ಯತೆ, ಹೊಂದಿಕೊಳ್ಳುವುದು"
flight,"ವಿಮಾನಯಾನ, ಹಾರಾಟ"
flood relief,ಪ್ರವಾಹಪರಿಹಾರ
floor,"ಅಂತಸ್ತು, ನೆಲ, ಮಹಡಿ, ಸಭಾಂಗಣ"
flow,"ಹರಿ, ಪ್ರವಹಿಸು, ಪ್ರವಾಹ"
fluctuation,ಏರಿಳಿತ/ಅಸ್ಥಿರತೆ
foeticide,ಭ್ರೂಣ ಹತ್ಯೆ
folder,"ಮಡಿಸಿದಕರಪತ್ರ, ಮಡಿಚಿದ ಹೊದಿಕೆ, ಫೋಲ್ಡರ್"
folio,"ಪುಟ, ಹಾಳೆ"
follow,"ಅನುಸರಿಸು, ಹಿಂಬಾಲಿಸು"
follower,"ಅನುಯಾಯಿ, ಅನುಚರ"
following,"ಅನುಸರಣೆ, ಅನುಸರಿಸು"
foment,"ಶಾಖಕೊಡು, ಕಾವುಕೊಡು, ಉತ್ತೇಜಿಸು"
foot note,ಅಡಿಟಪ್ಪಣಿ
forced labour,"ಜೀತ, ಜೀತ ಪದ್ಧತಿ"
forecast,ಮುನ್ಸೂಚನೆ
foregone conclusion,"ಮುಂದಾಗಿ ಮಾಡಿದ ತೀರ್ಮಾನ, ಮುನ್ನಿರ್ಧಾರ"
foreign,ವಿದೇಶೀಯ
foreman,"ಪೋರ್ ಮನ್, ಅಗ್ರಕಾರ್ಮಿಕ"
forenoon,"ಬೆಳಿಗ್ಗೆ, ಪೂರ್ವಾಹ್ನ"
foresight,"ದೂರದೃಷ್ಟಿ, ಮುಂದಾಲೋಚನೆ"
foreword,ಮುನ್ನುಡಿ
forfeit,"ಮುಟ್ಟುಗೋಲು ಹಾಕಿಕೋ, ಹಕ್ಕುಕಳೆದುಕೋ"
forged,"ಸೃಷ್ಟನೆ ಮಾಡಿದ, ನಕಲಿಯಾಗಿಮಾಡಿದ"
forgery,"ನಕಲಿ ರುಜು, ಸುಳ್ಳು ಸೃಷ್ಟನೆ, ಖೋಟಾ ತಯಾರಿಕೆ"
form,"ನಮೂನೆ, ಮಾದರಿ, ಆಕೃತಿ, ರೂಪ, ರೀತಿ"
formal,ಔಪಚಾರಿಕ
format,"ಪ್ರಸ್ತಕದರೂಪ ಮತ್ತು ಆಕಾರ, ವಿಧಾನ, ಶೈಲಿ"
former,"ಹಿಂದಿನ, ಪೂರ್ವದ, ಪ್ರಾಚೀನ"
formula,ಸೂತ್ರ
forthwith,"ತಕ್ಷಣ, ಈಕೂಡಲೇ"
forward,ಮುಂದಕ್ಕೆ ಕಳುಹಿಸಿ ಕೊಡು
forwarding letter,"ಪ್ರೇಕರ ಪತ್ರ, ಮುಂದಕ್ಕೆ ಕಳಿಸುವ ಪತ್ರ"
foundation,"ತಳಹದಿ, ಅಸ್ತಿಭಾರ, ಅಡಿಪಾಯ, ಪ್ರತಿಷ್ಠಾನ"
fraction,"ಭಿನ್ನಾಂಶ, ಅಂಶ, ಅಪೂರ್ಣಾಂಕ, ಕೊಂಚ ಭಾಗ"
franchise,"ಮತ ಕೊಡುವ ಹಕ್ಕು, ಮತ ದಾನಾಧಿಕಾರ"
fraud,"ಮೋಸ, ವಂಚನೆ, ಕುಯುಕ್ತಿ"
free,"ಮುಕ್ತ, ಸ್ವತಂತ್ರ, ಮುಕ್ತಗೊಳಿಸು, ಉಚಿತ, ನಿರಂತರ"
freeze,"ಹೆಪ್ಪು ಗಟ್ಟು, ಗಡ್ಡೆ ಕಟ್ಟು, ಸ್ಥಗಿತಗೊಳಿಸು"
freight,ರವಾನೆಶಿಲ್ಕು
frequency,"ಪದೇ ಪದೇ ಬರುವುದು, ಮೇಲಿಂದಮೇಲೆ ಬರುವುದು"
fuel,"ಇಂಧನ, ಸೌದೆ, ಉರುವಲು"
full-scale,"ಪೂರ್ಣ ಪ್ರಮಾಣ, ಪೂರ್ಣ"
function,"ಸಮಾರಂಭ, ಕೃತ್ಯ, ವೃತ್ತಿ, ಉದ್ಯೋಗ, ಉತ್ಸವ"
fund,"ನಿಧಿ, ಪುದುವಟ್ಟು"
fundamentalism,ಮೂಲಭೂತವಾದ
furnish,"ಸಜ್ಜು ಗೊಳಿಸು, ಒದಗಿಸು"
further action,ಮುಂದಿನ ಕ್ರಮ
gainful employment,ಲಾಭದಾಯಕ ಉದ್ಯೋಗ
gainful occupation,ಲಾಭದಾಯಕ ವೃತ್ತಿ
gate pass,"ಗೇಟ್ ಪಾಸು, ಪ್ರವೇಶ ಪತ್ರ"
gazetted,"ರಾಜ ಪತ್ರಾಂಕಿತ, ಗೆಜೆಟೆಡ್"
gazetted holiday,"ಗೆಜೆಟೆಡ್ ರಜೆ, ಪತ್ರಾಂಕಿತ ರಜೆ"
general,"ಸಾರ್ವತ್ರಿಕ, ಸಾಮಾನ್ಯ, ಮುಖ್ಯಸೇನಾಧಿಪತಿ, ಸೇನಾನಿ"
general administration,ಸಾಮಾನ್ಯ ಆಡಳಿತ
general body,"ಸಾಮಾನ್ಯ ಸಭೆ, ಸಾಧಾರಣ ವಿಭಾಗ"
general election,ಸಾರ್ವತ್ರಿಕ ಚುನಾನಣೆ
general meeting,ಸಾಮಾನ್ಯ ಸಭೆ
general practice,"ಸಾಮಾನ್ಯ ಆಚರಣೆ, ಸಾಮಾನ್ಯರೂಢಿ"
general procedure,ಸಾಮಾನ್ಯ ಕಾರ್ಯ ವಿಧಾನ
general rule,ಸಾರ್ವತ್ರಿಕ ನಿಯಮ
general ward,ಸಾಮಾನ್ಯ ವಾರ್ಡು
generation,"ತಲೆಮಾರು, ಪೀಳಿಗೆ, ಉತ್ಪತ್ತಿ, ಉತ್ಪಾದನೆ"
genius,"ಅಸಾಧಾರಣ ಪ್ರತಿಭೆ, ಜಾಯಮಾನ"
genuine,"ಪ್ರಾಮಾಣಿಕ, ಸಾಚಾ, ಯಥಾರ್ಥ"
gift,"ಕೊಡುಗೆ, ಕಾಣಿಕೆ, ದಾನ"
gist,"ಸಾರಾಂಶ, ತಿರುಳು"
global tender,ಜಾಗತಿಕ ಟೆಂಡರು
glossary,"ಶಬ್ದಕೋಶ, ಪದಕೋಶ"
goal,"ಗುರಿ, ಉದ್ದೇಶ"
godown,ಉಗ್ರಾಣ
golden handshake(=golden parachute),ಸುವರ್ಣ ವಿದಾಯ
good,"ಒಳ್ಳೆಯ, ಹಿತವಾದ, ತಕ್ಕ"
good conduct,"ಸನ್ನಡತೆ, ಸದ್ವರ್ತನೆ"
good faith,"ಸದ್ಭಾವ, ಸದುದ್ದೇಶ"
good offices,ಸತ್ ಪ್ರಭಾವ
goodwill,"ಸದ್ಭಾವನೆ, ಸುನಾಮ, ಸದಿಚ್ಛೆ"
govern,"ಆಳು, ಅಧಿಕಾರ ನಡೆಸು"
governance,"ಆಳ್ವಿಕೆ, ಆಡಳಿತ, ಅಧಿಕಾರ, ಪ್ರಭುತ್ವ"
government,"ಸರ್ಕಾರ, ಪ್ರಭುತ್ವ"
