ab initio,"ആദ്യം മുതല്‍ക്ക്, ആരംഭത്തിലെ"
fair,ഉചിതമായ
faith,"വിശ്വാസം, നിഷ്ഠ"
fake,വ്യാജമായ
family,കുടുംബം
famine,"ക്ഷാമം, ദുര്‍ഭിക്ഷം"
fare,"കൂലി, വാടക"
farewell,വിടവാങ്ങൽ
farming,കൃഷി
fatigue,ക്ഷീണം
fault,"കുറ്റം, ദോഷം"
favour,"ആനുകൂല്യം, പക്ഷപാതം"
feasibility,പ്രായോഗികത്യം
federation,ഫെഡറേഷന്‍
fee,ഫീസ്
feed back,"ഫീഡ് ബാക്ക്, പ്രതിപുഷ്ടി"
feeling,"സംവേദന, അനുഭൂതി"
felicitate,"അഭിനന്ദിക്കുക, അനുമോദിക്കുക"
fellow,"ഫെല്ലോ, അംഗം"
fellowship,ഫേല്ലോഷിപ്പ്
female,സ്ത്രീ
fertile,"ഫലഭൂയിഷ്ഠമയം, ഉര്‍വരമായ"
fictitious,"അവാസ്തവികമായ കല്‍പ്പിത പേര്‍, കെട്ടുകഥയായ"
fidelity,വിശ്വസ്ഥത
field,"പാടം, വയൽ, നിലം"
figure,"അക്കം, ആകൃതി"
file,"ഫയൽ, ഫയൽ ചെയ്യുക"
filing,"ഫയലിങ്, ഫയല്‍ചെയ്യൽ"
film,ഫിലിം
final,അന്തിമം
finance,"ധനകാര്യം, വിത്തം, വിതവ്യവസ്ഥ, ചെലവുചെയ്യുക, പണംമുക്കുക"
financial,"ധനസഹായം, ധനപരമായ"
financier,"ഫൈനാന്‍സിയര്‍, വിത്തപോഷകന്‍"
findings,"തീരുമാനം, വിധി"
fine,"ഫൈന്‍, പിഴ"
fine arts,ലളിതകലകൾ
finger print,വിരലടയാളം
finished goods,തയ്യാറായ സാധനങ്ങൾ
fire,"തീയ്, വെടി വയ്ക്കുക"
firing,"ഫയറിങ്, വെടിവയ്പ്പ്"
firm,"ഫേം, വ്യവസായ സ്ഥാപനം"
first aid,പ്രഥമശ്രുശ്രൂഷ
first class,ഒന്നാം ക്ലാസ്
first division,"പ്രഥമഗ്രേണി, ഒന്നാം ക്ലാസ്സ്"
first information report,"പ്രഥമ വിവരറിപ്പോര്‍ട്ട് (എഫ്, എ.ആര്‍)"
fiscal,"ധനസംബന്ധമായ, ഭണ്ഡാരസംഭന്ധമായ, നികുതി സംബന്ധിച്ച"
fisheries,ഫിഷറീസ്
fit,ഫിറ്റ്
fitness,യോഗ്യതാസര്‍ട്ടിഫിക്കറ്റ്
fix,ഫിക്സ്
fixation,നിര്‍ണയം
fixed,ഫിക്സഡ്
flag,"കൊടി, പതാക, അടയാളം, വയ്ക്കുക"
flap,"ഫ്ളാപ്, മൂടി"
flat,ഫ്ലാറ്റ്
fleet,"പട, കൂട്ടം"
flexibility,"നമ്യത, വളയ്ക്കാവുന്ന സ്ഥിതി, അയവ്"
flight,വ്യോമയാത്ര
flood relief,വെള്ളപ്പൊക്ക ദുരിതാശ്വാസം
floor,"തറ, തലം, നിലം"
flow,"പ്രവാഹം, ഒഴുക്ക്, ചോര്‍ച്ച, പ്രവഹിക്കുക, ഒലിക്കുക"
fluctuation,"ഏറ്റക്കുറച്ചിൽ ചാഞ്ചല്യം, അസ്ഥിരത"
foeticide,ഭ്രൂണഹത്യ
folder,ഫോള്‍ഡര്‍
folio,ഫോളിയോ
follow,താഴെപ്പറയുന്ന
follower,അനുയായി
following,"താഴെപ്പറയുന്ന, അനുസരിക്കുന്ന ആള്‍ക്കാര്‍"
foment,ഉത്തേജിപ്പിക്കുക
foot note,അടിക്കുറിപ്പ്
forced labour,നിര്‍ബന്ധത്തൊഴിൽ
forecast,"മുന്‍കൂട്ടിക്കാണുക, പ്രവചനം, ചൂര്‍വകല്‍പ്പനം"
foregone conclusion,മുന്‍കൂട്ടി അറിഞ്ഞ നിഗമനം
foreign,"വിദേശീയ, വിദേശ"
foreman,ഫോര്‍മാന്‍
forenoon,"പൂര്‍വാഹ്നം, ഉച്ചയ്ക്കുമുമ്പ്"
foresight,"ദീര്‍ഘദൃഷ്ടി, ദൂരദൃഷ്ടി"
foreword,അവതാരിക
forfeit,"നഷ്ടപ്പെടുക, ജപ്തി ചെയ്യുക"
forged,"കൃത്രിമനിര്‍മിതം, വ്യാജനിര്‍മിതമായ"
forgery,"കള്ളപ്രമാണം ചമയ്ക്കൽ, കള്ളയൊപ്പ്"
form,"പ്രപത്രം, ഫോറം"
formal,ഔപചാരികമായ
format,"ചടങ്ങ്, ഉപചാരം, ഔപചാരികത"
former,"ആദ്യത്തെ, മുന്‍പറഞ്ഞ"
formula,"ഫോര്‍മുല, സൂത്രം"
forthwith,"തല്‍ക്ഷണം, ഉടനെ, ഉടനടി"
forward,"അയയ്ക്കുക, അയച്ചുകൊടുക്കുക, അഗ്രേഷണംചെയ്യുക"
forwarding letter,"ഉന്നയപത്രം, ഫോര്‍വേഡിങ് ലെറ്റര്‍"
foundation,"ആധാരം, അസ്തിവാരം, അടിസ്ഥാനം"
fraction,"ഭിന്നം, ഭാഗം"
franchise,വോട്ടവകാശം
fraud,കപടം
free,"സൌജന്യമായ, മോചിപ്പിക്കുക"
freeze,മരവിപ്പിക്കുക
freight,"കേവുകൂലി, വസ്തുവാടക, ചരക്കുകൂലി"
frequency,"ആവൃത്തി, ആവര്‍ത്തിക്കൽ"
fuel,ജന്ധനം
full-scale,"പൂര്‍ണമായി, വ്യാപകമായി"
function,"പ്രവൃത്തി, ജോലി, കര്‍ത്തവ്യം"
fund,"ഫണ്ട‍്, നിധി"
fundamentalism,മതമൌലികവാദം
furnish,"നല്‍കുക, സജ്ജീകരിക്കുക, കെട്ടുക"
further action,"അനന്തരനടപടി, കൂടുതൽ നടപടി"
gainful employment,ലാഭപ്രദമായ ഉദ്യോഗം/ ജോലി
gainful occupation,ലാഭപ്രദമായ തൊഴിൽ/ജീവനം
gate pass,ഗേറ്റ് പാസ്
gazetted,ഗസറ്റഡ്
gazetted holiday,ഗസറ്റഡ് അവധി ദിവസം
general,"സാമാന്യം, പൊതുവായ, സേനാനി"
general administration,പൊതുഭരണം
general body,"ജനറല്‍ബോഡി, പൊതുയോഗം"
general election,പൊതുതിരഞ്ഞെടുപ്പ്
general meeting,പോതുയോഗം
general practice,സാമാന്യമായ പതിവ്
general procedure,പൊതുനിര്‍ദ്ദേശം
general rule,പൊതുറൂളിങ്
general ward,"പൊതുവാര്ഡ്, ജനറൽ വാര്‍ഡ്"
generation,തലമുറ
genius,"പ്രതിഭാസമ്പന്നന്‍, ജീനിയസ്"
genuine,"പ്രാമാണികമായ, വിശുദ്ധമായ"
gift,ഇഷ്ടദാനം
gist,സാരം
global tender,ആഗോള ദര്‍ഘാസ്
glossary,"ശബ്ദാവലി, ശബ്ദകോശം"
goal,ലക്ഷ്യം
godown,ഗുദാം
golden handshake(=golden parachute),ധാരാളം അനുകൂല്യങ്ങളോടുകൂടി പണിയില്‍നിന്ന് പിരിച്ചുവിടുക
good,നല്ലനടപ്പ്
good conduct,"നല്ലനടത്ത, നല്ല പെരുമാറ്റം"
good faith,ഉത്തമവിശ്വാസം
good offices,മദ്യസ്ഥത
goodwill,"ഖ്യാത, സല്‍പ്പേര്, വ്യാപാര സല്‍പ്പേര്"
govern,ഭരിക്കുക
governance,ഭരണം
government,"ഗവണ്‍മെന്‍റ്, സര്‍ക്കാര്‍"
Government of India,"ഇന്‍ഡ്യാ ഗവണ്മെന്‍റ്, ഭാരത സര്‍‌ക്കാര്‍"
Government of India Concern,ഭാരത സര്‍ക്കാര്‍ സ്ഥാപനം
Government of India Undertaking,"ഭാരത സര്‍ക്കാര്‍ ഉപക്രം, ഗവണ്മെന്‍റ് ഓഫ് ഇന്‍ഡ്യാ അണ്ടര്‍ ടേക്കിങ്"
government press,സര്‍ക്കാര്‍ പ്രസ്
government servants conduct rules,സര്‍ക്കാര്‍ ജീവനക്കാരുടെ ആചരണ സംഹിത
government service,"സര്‍ക്കാര്‍ സേവനം, ഗവണ്മന്‍റ് സര്‍വീസ്"
gradation,"ഗ്രഡേഷന്‍, ഗ്രേഡ് തിരിക്കൽ, അനുക്രമീകരണം"
grade,"ഗ്രേഡ്, തരം, ശ്രേണി, പദക്രമം, സ്ഥാനം"
grading,"ഗ്രേഡിങ്, തരം തിരിക്കൽ"
graduate,ഗ്രാഡുവേറ്റ്
graduate trainee,ഗ്രാഡുവേറ്റ് ട്രെയിനി
graduated wages,ഗ്രാഡുവേറ്റഡ് വേജസ്
graft,"കോഴ, അനുചിത ലാഭം"
grand total,ആകെ മൊത്തം
grant,"ഗ്രാന്‍റ്, സഹായധനം, അനുദാനം"
grant-in-aid,"സഹായ ഗ്രാന്‍റ്, നിശ്ചിതസഹായധനം"
grapevine,പുഷ്ടാമാകാത്ത വാര്‍ത്ത
graph,"ഗ്രാഫ്, ആലേഖം"
graphology,ഗ്രാഫോളജി
grateful,കൃതജ്ഞനായ
gratuity,"ഗ്രാറ്റ്യൂയിറ്റി, ഉപദാനം"
green hand,ജോലി പരിചയചിമില്ലാത്തയാൾ
greeting(s),ആശംസകൾ
grievance,"സങ്കടം, കഷ്ടത"
grievous,"ശ്വസനകരമായ, ദാരുണമായ"
gross,മൊത്തം
gross amount,മൊത്തം ആസ്തികൾ
gross misconduct,"ഗുരുതരമായ ഉപേക്ഷ, കടുത്ത ഉപേക്ഷ"
gross negligence,"ഗുരുതരമായ ഉപേക്ഷ, കടുത്ത ഉപേക്ഷ"
gross profit,മൊത്തം ലാഭം
gross revenue,മൊത്തം വരുമാനം
gross total,ആകെ മൊത്തം
ground rent,തറവാടക
groundless,അടിസ്ഥാനരഹിതമായ
grounds,"ആധാരം, മൂല കാരണം"
group,ഗ്രൂപ്പ് ക്യാപറ്റന്‍
grouping and grading,"ഗ്രൂപ്പു തിരിക്കലും തരംതിരിക്കലും, ഗ്രൂപ്പിങ്ങും ഗ്രേഡിങ്ങും"
guarantee,"ഗാരണ്ടി, ഉറപ്പ്"
guarantor,ഉറപ്പുനല്‍കുന്നയാൾ
guard,"ഗാര്‍ഡ്, രക്ഷകന്‍, കാവൽ, കാക്കുക, സൂക്ഷിക്കുക"
guard file,ഗാര്‍ഡ്ഫയൽ
guardian,രക്ഷകര്‍ത്താവ്
guest house,"ഗസ്റ്റ് ഹൌസ്, അതിഥി മന്ദിരം"
guide,"ഗൈഡ്, പരിദര്‍ശകന്‍"
guidelines,മാര്‍ഗ ദര്‍ശനം
guilt,"അപരാധം, കുറ്റം"
habit,പതിവ്
habitual,സ്ഥിരംവീഴ്ചക്കാരന്‍
half pay,അര്‍ദ്ധശമ്പളം
half-holiday,അര്‍ദ്ധ അവധി ദിവസം
hall,"ഹാൾ, ശാല, മണ്ഡപം"
halt,"ഹാള്‍ട്ട്, തങ്ങൽ, വിശ്രാന്തി, താമസം"
hand,കൈയൊപ്പം
hand-over,ഏല്പ്പിക്കുക
handbill,"ലഘുലേഖ, പരിസ്യം"
handbook,"ചെറുപുസ്തകം, കൈപ്പുസ്തകം"
