English,Malayalam
Cycloidal gear,സൈക്ലോയ്ഡൽ ഗിയർ
Cyclone separater,സൈക്ലോൺ സെപ്പറേറ്റർ
Cylinder,സിലിണ്ടർ
Cylinder block,സിലിണ്ടർ ബ്ലോക്ക്
Cylinder bore,സിലിണ്ടർ ബോർ
Cylinder clearance,സിലിണ്ടർ ക്ലിയറൻസ്
Cylinder head,സിലിണ്ടർ തല
Cylinder liner,സിലിണ്ടർ ലൈനർ
Cylinder lubrication,സിലിണ്ടർ ലൂബ്രിക്കേഷൻ
Cylinder sleeve,സിലിണ്ടർ സ്ലീവ്
Cylindrical cam,സിലിണ്ടർ ക്യാമറ
Cylinderical grinder,സിലിണ്ടർ ഗ്രൈൻഡർ
Cylindrical grinding,സിലിണ്ടർ ഗ്രൈൻഡിംഗ്
Cylindrical roller bearing,സിലിണ്ടർ റോളർ ബെയറിംഗ്
Cylindrical thread rolling die,സിലിണ്ടർ ത്രെഡ് റോളിംഗ് ഡൈ
Cynading,സൈനഡിംഗ്
D-slide vale,ഡി-സ്ലൈഡ് വാൽ
Damp atmosphere,നനഞ്ഞ അന്തരീക്ഷം
Damped angular frequency,നനഞ്ഞ കോണിക ആവൃത്തി
Damped free vibration,നനഞ്ഞ ഫ്രീ വൈബ്രേഷൻ
Damped oscillation,നനഞ്ഞ ആന്ദോളനം
Damped sinusoid,നനഞ്ഞ sinusoid
Damped vibration,നനഞ്ഞ വൈബ്രേഷൻ
Damper,ഡാംപർ
Damper,ഡാംപർ
Damper,ഡാംപർ
Damping,ഡാംപിംഗ്
Damping co-efficient,ഡാംപിംഗ് കോ-എഫിഷ്യന്റ്
Damping factor,ഡാംപിംഗ് ഘടകം
Damping torque,ഡാംപിംഗ് ടോർക്ക്
Dashpot,ഡാഷ്പോട്ട്
Dead angle,ഡെഡ് ആംഗിൾ
Dead centre,ഡെഡ് സെന്റർ
Dead centre,ഡെഡ് സെന്റർ
Dead end,ഡെഡ് എൻഡ്
Dead end,ഡെഡ് എൻഡ്
Dead load,ഡെഡ് ലോഡ്
Dead man's handle,മരിച്ചയാളുടെ കൈപ്പിടി
Dead smooth file,മിനുസമാർന്ന ഫയൽ
Dead weight,ചത്ത ഭാരം
De-aeration,ഡീ-എയറേഷൻ
Decarburisation,ഡീകാർബറൈസേഷൻ
Decay co-efficient,ശോഷണം കോ-എഫിഷ്യന്റ്
Decibel,ഡെസിബെൽ
Decibel equivalent,ഡെസിബെൽ തുല്യം
Decompression wave,ഡീകംപ്രഷൻ തരംഗം
Dedendum circle,ഡെഡെൻഡം സർക്കിൾ
Deflection,വ്യതിചലനം
Deflection curve,ഡിഫ്ലെക്ഷൻ കർവ്
Deformation,രൂപഭേദം
Deformation potential,രൂപഭേദം വരുത്താനുള്ള സാധ്യത
Degreasing,ഡീഗ്രേസിംഗ്
Degree,ഡിഗ്രി
Degree,ഡിഗ്രി
Degree of bonding,ബോണ്ടിംഗ് ബിരുദം
Degree of brittleness,പൊട്ടുന്ന ബിരുദം
Degree of compactness,ഒതുക്കത്തിന്റെ ബിരുദം
Degree of compression,കംപ്രഷൻ ബിരുദം
Degree of continuity,തുടർച്ചയുടെ ബിരുദം
Degree of curve,വക്രതയുടെ ഡിഗ്രി
Degree of finish,ഫിനിഷിന്റെ ബിരുദം
Degree of freedom,സ്വാതന്ത്ര്യത്തിന്റെ ബിരുദം
Degree of hardness,കാഠിന്യത്തിന്റെ അളവ്
Degree of modulation,മോഡുലേഷൻ ബിരുദം
Degree of saturation,സാച്ചുറേഷൻ ഡിഗ്രി
Degree of superheat,സൂപ്പർഹീറ്റിന്റെ ഡിഗ്രി
Degree of supersaturation,സൂപ്പർസാച്ചുറേഷൻ ഡിഗ്രി
Dehumidification,ഡീഹ്യുമിഡിഫിക്കേഷൻ
Delaying,കാലതാമസം വരുത്തുന്നു
Delivery cone,ഡെലിവറി കോൺ
Delivery head,ഡെലിവറി ഹെഡ്
Demagnetisation,ഡീമാഗ്നെറ്റൈസേഷൻ
Depriciation,വിലക്കുറവ്
Depriciation,വിലക്കുറവ്
Derailing switch,പാളം തെറ്റുന്ന സ്വിച്ച്
Derived quantity,ഉത്ഭവിച്ച അളവ്
Derived unit,ഉരുത്തിരിഞ്ഞ യൂണിറ്റ്
Derric crane,ഡെറിക് ക്രെയിൻ
Derusting,Derusting
Descaler (boiler tube),ഡീസ്കലെർ (ബോയിലർ ട്യൂബ്)
Design load,ഡിസൈൻ ലോഡ്
Design standard,ഡിസൈൻ സ്റ്റാൻഡേർഡ്
Design stress,ഡിസൈൻ സമ്മർദ്ദം
Detailed drawing,വിശദമായ ഡ്രോയിംഗ്
Detector,ഡിറ്റക്ടർ
Detector,ഡിറ്റക്ടർ
Deterministic,നിർണായകമായ
Deterministic,നിർണായകമായ
Detonation,സ്ഫോടനം
Devoloped blank,വികസിപ്പിച്ച ശൂന്യത
Deviation ratio,വ്യതിയാന അനുപാതം
Device,ഉപകരണം
Dew point,മഞ്ഞു പോയിന്റ്
Diagonal buckling,ഡയഗണൽ ബക്ക്ലിംഗ്
Diagonal pitch,ഡയഗണൽ പിച്ച്
Diagram,ഡയഗ്രം
Diagram factor,ഡയഗ്രം ഘടകം
Dial,ഡയൽ ചെയ്യുക
Dial,ഡയൽ ചെയ്യുക
Dial gauge,ഡയൽ ഗേജ്
Dial indicator,ഡയൽ ഇൻഡിക്കേറ്റർ
Diameter,വ്യാസം
Diameter pitch,വ്യാസമുള്ള പിച്ച്
Diametric,ഡയമെട്രിക്
Diamond drill,ഡയമണ്ട് ഡ്രിൽ
Diamond drill bit,ഡയമണ്ട് ഡ്രിൽ ബിറ്റ്
Diampnd file,Diampnd ഫയൽ
Diamond wheel,ഡയമണ്ട് വീൽ
Diaphragm,ഡയഫ്രം
Diaphragm wall,ഡയഫ്രം മതിൽ
Diathermanous body,ഡൈതർമനസ് ശരീരം
Diatomic gas,ഡയറ്റോമിക് വാതകം
Die,മരിക്കുക
Die block,ഡൈ ബ്ലോക്ക്
Die casting,ഡൈ കാസ്റ്റിംഗ്
Die casting machine,ഡൈ കാസ്റ്റിംഗ് മെഷീൻ
Die chaser,ഡൈ ചേസർ
Die cutter,ഡൈ കട്ടർ
Die maker,ഡൈ മേക്കർ
Die sinking machine,ഡൈ സിങ്കിംഗ് മെഷീൻ
Dielectric,വൈദ്യുതചാലകം
Diesel cycle,ഡീസൽ സൈക്കിൾ
Diesel electric locomotive,ഡീസൽ ഇലക്ട്രിക് ലോക്കോമോട്ടീവ്
Diesel engine,ഡീസൽ എഞ്ചിൻ
Diesel knock,ഡീസൽ മുട്ടി
Diesel power unit,ഡീസൽ പവർ യൂണിറ്റ്
Diesel shunting locomotive,ഡീസൽ ഷണ്ടിംഗ് ലോക്കോമോട്ടീവ്
Differential accumulator,ഡിഫറൻഷ്യൽ അക്യുമുലേറ്റർ
Differential amplifier,ഡിഫറൻഷ്യൽ ആംപ്ലിഫയർ
Differential analyser,ഡിഫറൻഷ്യൽ അനലൈസർ
Differential booster,ഡിഫറൻഷ്യൽ ബൂസ്റ്റർ
Differential chain block,ഡിഫറൻഷ്യൽ ചെയിൻ ബ്ലോക്ക്
Differential gear train,ഡിഫറൻഷ്യൽ ഗിയർ ട്രെയിൻ
Differential mechanism,ഡിഫറൻഷ്യൽ മെക്കാനിസം
Differential pulley,ഡിഫറൻഷ്യൽ പുള്ളി
Differential refractometer analysis,ഡിഫറൻഷ്യൽ റിഫ്രാക്റ്റോമീറ്റർ വിശകലനം
Differential sensitivity,ഡിഫറൻഷ്യൽ സെൻസിറ്റിവിറ്റി
Differential stroke engine,ഡിഫറൻഷ്യൽ സ്ട്രോക്ക് എഞ്ചിൻ
Differential system,ഡിഫറൻഷ്യൽ സിസ്റ്റം
Diffraction,ഡിഫ്രാക്ഷൻ
Diffuser,ഡിഫ്യൂസർ
Diffusion,വ്യാപനം
Diffusion aerator,ഡിഫ്യൂഷൻ എയറേറ്റർ
Diffusion frequency,വ്യാപന ആവൃത്തി
Diffusion momentum,ഡിഫ്യൂഷൻ ആക്കം
Diffusion potential,വ്യാപന സാധ്യത
Diffusivity ratio,ഡിഫ്യൂസിവിറ്റി അനുപാതം
Digger,കുഴിച്ചെടുക്കുന്നവൻ
Dimension,അളവ്
Dimension,അളവ്
Dimension,അളവ്
Dimension,അളവ്
Dimmer,ഡിമ്മർ
Dinking die,ഡിങ്കിംഗ് ഡൈ
Dip brazing,ഡിപ്പ് ബ്രേസിംഗ്
Dip stick,മുക്കി വടി
Dipping,മുക്കി
Direct,നേരിട്ട്
Direct,നേരിട്ട്
Direct drive,നേരിട്ടുള്ള ഡ്രൈവ്
Direct extrusion,നേരിട്ടുള്ള എക്സ്ട്രൂഷൻ
Direct feedback,നേരിട്ടുള്ള പ്രതികരണം
Direct induction heating,നേരിട്ടുള്ള ഇൻഡക്ഷൻ ചൂടാക്കൽ
Direct injection,നേരിട്ടുള്ള കുത്തിവയ്പ്പ്
Director load,ഡയറക്ടർ ലോഡ്
Director load,ഡയറക്ടർ ലോഡ്
Director reading tachometer,സംവിധായകൻ ടാക്കോമീറ്റർ വായിക്കുന്നു
Direction,സംവിധാനം
Direction,സംവിധാനം
Direction,സംവിധാനം
Directionability,ദിശാബോധം
Directly coupled,നേരിട്ട് കപ്പിൾഡ്
Disc,ഡിസ്ക്
Disc cam,ഡിസ്ക് ക്യാമറ
Disc clutch,ഡിസ്ക് ക്ലച്ച്
Disc cutter,ഡിസ്ക് കട്ടർ
Disc driver,ഡിസ്ക് ഡ്രൈവർ
Discharge,ഡിസ്ചാർജ്
Discharge,ഡിസ്ചാർജ്
Discharge coefficient,ഡിസ്ചാർജ് ഗുണകം
Dismentle,വിച്ഛേദിക്കുക
Dispersion,വിസരണം
Dispersion,വിസരണം
Dispersion,വിസരണം
Displacement,സ്ഥാനമാറ്റാം
Displacement curve,സ്ഥാനചലന വക്രം
Displacement potential,സ്ഥാനചലന സാധ്യത
Disruptive stress,തടസ്സപ്പെടുത്തുന്ന സമ്മർദ്ദം
Dissipated function,ചിതറിപ്പോയ പ്രവർത്തനം
Dissipation,വിസർജ്ജനം
Dissipation,വിസർജ്ജനം
Dissymmetrical transducer,ഡിസ്സിമെട്രിക് ട്രാൻസ്ഡ്യൂസർ
Distance block,ദൂരം ബ്ലോക്ക്
Distillation,വാറ്റിയെടുക്കൽ
Distortion,വളച്ചൊടിക്കൽ
Distortion,വളച്ചൊടിക്കൽ
Distributed deformation,വിതരണം ചെയ്ത രൂപഭേദം
Distributed network,വിതരണ ശൃംഖല
Distributed parameter,വിതരണം ചെയ്ത പാരാമീറ്റർ
Distributor,വിതരണക്കാരൻ
Distributor advance,വിതരണക്കാരുടെ മുൻകൂർ
Distortion allowance,വക്രീകരണ അലവൻസ്
Divergence,വ്യതിചലനം
Diverging,വ്യതിചലിക്കുന്നു
Dividing head,വിഭജിക്കുന്ന തല
Dock,മുറിവാല്
Dock yard,ഡോക്ക് യാർഡ്
Dog bolt,ഡോഗ് ബോൾട്ട്
Dog bolt,ഡോഗ് ബോൾട്ട്
Dog clutch,നായ ക്ലച്ച്
Dog spike,നായ സ്പൈക്ക്
Dog spike,നായ സ്പൈക്ക്
Dolly bar,ഡോളി ബാർ
Donkey pump,കഴുത പമ്പ്
Dope (Fuel dope),ഡോപ്പ് (ഫ്യുവൽ ഡോപ്പ്)
Dosing chamber,ഡോസിംഗ് ചേമ്പർ
Dosing tank,ഡോസിംഗ് ടാങ്ക്
Dot punch,ഡോട്ട് പഞ്ച്
Double acting engine,ഡബിൾ ആക്ടിംഗ് എഞ്ചിൻ
Double admission,ഇരട്ട പ്രവേശനം
Double amplitude,ഇരട്ട ആംപ്ലിറ്റ്യൂഡ്
Double beat valve,ഇരട്ട ബീറ്റ് വാൽവ്
Double chamfer,ഇരട്ട ചേമ്പർ
Double cover butt joint,ഇരട്ട കവർ ബട്ട് ജോയിന്റ്
Double curvanture,ഇരട്ട വക്രത
Double disc cam,ഇരട്ട ഡിസ്ക് ക്യാമറ
Double face sledge hammer,ഇരട്ട മുഖം സ്ലെഡ്ജ് ചുറ്റിക
Double flow condenser,ഇരട്ട ഒഴുക്ക് കണ്ടൻസർ
Double helical gear,ഇരട്ട ഹെലിക്കൽ ഗിയർ
Double rivetted joint,ഇരട്ട റിവേറ്റഡ് ജോയിന്റ്
Double row bearing,ഇരട്ട വരി ബെയറിംഗ്
Double start thread,ഇരട്ട ആരംഭ ത്രെഡ്
Double symmetrical section,ഇരട്ട സമമിതി വിഭാഗം
Dovetail,ഡോവ്ടെയിൽ
Dovetailed joint,ഡോവെറ്റൈൽഡ് ജോയിന്റ്
Dowel,ഡോവൽ
Down draft,ഡൗൺ ഡ്രാഫ്റ്റ്
Down ward force,ഡൗൺ വാർഡ് ഫോഴ്സ്
Drafting machine,ഡ്രാഫ്റ്റിംഗ് മെഷീൻ
Drag,വലിച്ചിടുക
Drag bar,വലിച്ചിടുക
