English,Odiya
Shade,ଛାଇ
Shading,ଛାୟା
Shadow,ଛାୟା |
share file,ଫାଇଲ୍ ଅଂଶୀଦାର କରନ୍ତୁ |
shared access,ଅଂଶୀଦାର ପ୍ରବେଶ
Sharing,ଅଂଶୀଦାର
Shell,ଶେଲ୍ |
shift character,ଶିଫ୍ଟ ବର୍ଣ୍ଣ
short circuit,ସର୍ଟ ସର୍କିଟ |
short instruction,ସଂକ୍ଷିପ୍ତ ନିର୍ଦ୍ଦେଶ
Sibling,ଭାଇଭଉଣୀ |
side effect,ପାର୍ଶ୍ୱ ପ୍ରଭାବ
sign bit,ସାଇନ୍ ବିଟ୍ |
Signal,ସଙ୍କେତ
signal processing,ସଙ୍କେତ ପ୍ରକ୍ରିୟାକରଣ |
Signalling,ସଙ୍କେତ
signal-to-noise ratio,ସଙ୍କେତ-ଶବ୍ଦ ଅନୁପାତ |
Signature,ଦସ୍ତଖତ
signature testing,ଦସ୍ତଖତ ପରୀକ୍ଷା
significant digit,ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ସଂଖ୍ୟା
silicon chip,ସିଲିକନ୍ ଚିପ୍ |
Simple Mail Transfer Protocol (SMTP),ସରଳ ମେଲ୍ ସ୍ଥାନାନ୍ତର ପ୍ରୋଟୋକଲ୍ (SMTP)
Simplex,ସିମ୍ପ୍ଲେକ୍ସ |
simplex node,ସିମ୍ପ୍ଲେକ୍ସ ନୋଡ୍ |
Simulation,ଅନୁକରଣ
Simulator,ସିମୁଲେଟର
Simultaneous,ଏକକାଳୀନ
simultaneous processing,ଏକକାଳୀନ ପ୍ରକ୍ରିୟାକରଣ |
Singleton,ସିଙ୍ଗଲେଟନ୍ |
site licence,ସାଇଟ୍ ଲାଇସେନ୍ସ |
Size,ଆକାର
Sizing,ଆକାର
Sketching,ସ୍କେଚିଂ
Skip,ଛାଡିଦିଅ |
Skipping,ଛାଡିବା
Slash,ସ୍ଲାସ୍ |
slave computer,ଦାସ କମ୍ପ୍ୟୁଟର |
sliding window protocol,ସ୍ଲାଇଡିଂ ୱିଣ୍ଡୋ ପ୍ରୋଟୋକଲ୍ |
Slip,ସ୍ଲିପ୍
Slot,ସ୍ଲଟ୍
small computer system interface (SCSI),ଛୋଟ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ ଇଣ୍ଟରଫେସ (SCSI)
smart card,ସ୍ମାର୍ଟ କାର୍ଡ |
snail mail,ସ୍ନାଲ୍ ମେଲ୍ |
Snapshot,ସ୍ନାପସଟ୍ |
soft computing,ନରମ ଗଣନା
soft copy,ସଫ୍ଟ କପି
soft font,ନରମ ଫଣ୍ଟ |
Software,ସଫ୍ଟୱେର୍
software engineering,ସଫ୍ଟୱେର୍ ଇଞ୍ଜିନିୟରିଂ
software license,ସଫ୍ଟୱେର୍ ଲାଇସେନ୍ସ |
software piracy,ସଫ୍ଟୱେର୍ ଡକାୟତି |
Spectrum,ସ୍ପେକ୍ଟ୍ରମ୍
Spiral,ସ୍ପିରାଲ୍ |
spread sheet,ସ୍ପ୍ରେଡ୍ ସିଟ୍ |
Standard,ମାନକ
standard generalized markup language (SGML),ମାନକ ସାଧାରଣ ମାର୍କଅପ୍ ଭାଷା (SGML)
Standardization,ମାନକକରଣ
standby time,ଷ୍ଟାଣ୍ଡବାଇ ସମୟ |
star LAN,ତାରକା LAN |
star topology,ତାରା ଟପୋଲୋଜି |
start bit,ବିଟ୍ ଆରମ୍ଭ କରନ୍ତୁ |
Starvation,ଅନାହାର
static memory',ଷ୍ଟାଟିକ୍ ମେମୋରୀ &#39;
status channel,ସ୍ଥିତି ଚ୍ୟାନେଲ୍ |
step size,ଷ୍ଟେପ୍ ସାଇଜ୍ |
stop and wait protocol,ବନ୍ଦ ଏବଂ ପ୍ରୋଟୋକଲ୍ ଅପେକ୍ଷା କର |
stop code,ବନ୍ଦ କୋଡ୍
stop key,ଷ୍ଟପ୍ କୀ
Storability,ସ୍ଥାୟୀତ୍ୱ |
stored program,ଗଚ୍ଛିତ ପ୍ରୋଗ୍ରାମ୍ |
string data,ଷ୍ଟ୍ରିଙ୍ଗ୍ ଡାଟା |
structured coding,ସଂରଚନା କୋଡିଂ |
structured query language (SQL),ସଂରଚନା ଜିଜ୍ଞାସା ଭାଷା (SQL)
style sheet,ଷ୍ଟାଇଲ୍ ସିଟ୍ |
Sub-directory,ସବ୍-ଡିରେକ୍ଟୋରୀ |
Subnet,ସବ୍ନେଟ୍ |
Subtree,ସବଟ୍ରି |
Summarization,ସଂକ୍ଷିପ୍ତକରଣ
super computer,ସୁପର କମ୍ପ୍ୟୁଟର |
super computing,ସୁପର କମ୍ପ୍ୟୁଟିଂ
super key,ସୁପର କି
super user,ସୁପର ୟୁଜର୍ |
supervised learning,ତଦାରଖ ଶିକ୍ଷଣ |
support chip,ସମର୍ଥନ ଚିପ୍ |
Surf,ସର୍ଫ୍ |
Surfing,ସର୍ଫିଂ
Swap,ସ୍ ap ାପ୍
swap in,ଅଦଳବଦଳ କରନ୍ତୁ |
swap out,ଅଦଳବଦଳ କରନ୍ତୁ |
Swapping,ଅଦଳବଦଳ
switched network,ସୁଇଚ୍ ନେଟୱାର୍କ |
Switching,ସୁଇଚ୍
switching theory,ସୁଇଚ୍ ସିଦ୍ଧାନ୍ତ |
symbolic programming,ସାଙ୍କେତିକ ପ୍ରୋଗ୍ରାମିଂ |
Synchronization,ସିଙ୍କ୍ରୋନାଇଜେସନ୍
Synchronizer,ସିଙ୍କ୍ରୋନାଇଜର
Synchronous,ସମକାଳୀନ |
synchronous digital hierarchy (SDH),ସିଙ୍କ୍ରୋନସ୍ ଡିଜିଟାଲ୍ ହାଇରାର୍କି (SDH)
syntax analysis,ବାକ୍ୟବିନ୍ୟାସ ବିଶ୍ଳେଷଣ |
system analysis,ସିଷ୍ଟମ୍ ବିଶ୍ଳେଷଣ |
system engineering,ସିଷ୍ଟମ୍ ଇଞ୍ଜିନିୟରିଂ
system hacker,ସିଷ୍ଟମ୍ ହ୍ୟାକର୍ |
system integrator,ସିଷ୍ଟମ୍ ଇଣ୍ଟିଗ୍ରେଟର
system log,ସିଷ୍ଟମ୍ ଲଗ୍ |
system mask,ସିଷ୍ଟମ୍ ମାସ୍କ |
system network architecture (SNA),ସିଷ୍ଟମ୍ ନେଟୱାର୍କ ସ୍ଥାପତ୍ୟ (SNA)
system programmer,ସିଷ୍ଟମ୍ ପ୍ରୋଗ୍ରାମର୍ |
system restart,ସିଷ୍ଟମ୍ ପୁନ rest ଆରମ୍ଭ କରନ୍ତୁ |
system shutdown,ସିଷ୍ଟମ୍ ବନ୍ଦ |
system testing,ସିଷ୍ଟମ୍ ପରୀକ୍ଷା
system utility,ସିଷ୍ଟମ୍ ଉପଯୋଗୀତା |
systematic code,ବ୍ୟବସ୍ଥିତ କୋଡ୍ |
tab command,ଟ୍ୟାବ୍ କମାଣ୍ଡ୍ |
Table,ସାରଣୀ
table look up,ଟେବୁଲ୍ ଦେଖ |
table space,ଟେବୁଲ୍ ସ୍ପେସ୍ |
Tablet,ଟାବଲେଟ୍ |
tabular array,ଟାବୁଲାର୍ ଆରେ |
tabulating function,ଟ୍ୟାବୁଲିଂ ଫଙ୍କସନ୍
tagged architecture,ଟ୍ୟାଗ୍ ହୋଇଥିବା ସ୍ଥାପତ୍ୟ |
tagged image file format (TIFF),ଟ୍ୟାଗ୍ ହୋଇଥିବା ପ୍ରତିଛବି ଫାଇଲ୍ ଫର୍ମାଟ୍ (TIFF)
tandam system,ଟାଣ୍ଡମ୍ ସିଷ୍ଟମ୍ |
tape density,ଟେପ୍ ସାନ୍ଧ୍ରତା |
tape mask,ଟେପ୍ ମାସ୍କ |
tar file,ଟାର୍ ଫାଇଲ୍ |
Task,କାର୍ଯ୍ୟ
task bar,ଟାସ୍କ ବାର୍ |
task scheduler,କାର୍ଯ୍ୟ ନିର୍ଧାରକ |
TCP/IP (transmission control protocol/internet protocol),TCP / IP (ଟ୍ରାନ୍ସମିସନ୍ କଣ୍ଟ୍ରୋଲ୍ ପ୍ରୋଟୋକଲ୍ / ଇଣ୍ଟରନେଟ୍ ପ୍ରୋଟୋକଲ୍)
teardown operation,ଲୁହବୁହା ଅପରେସନ୍ |
Telecom,ଟେଲିକମ୍ |
Telecommunication,ଟେଲି ଯୋଗାଯୋଗ |
Teleconference,ଟେଲି କନଫରେନ୍ସ |
Teleconferencing,ଟେଲି କନଫରେନ୍ସିଂ |
Telegraphy,ଟେଲିଗ୍ରାଫି |
Telemetry,ଟେଲିମେଟ୍ରି |
Telephone,ଟେଲିଫୋନ୍
Telephony,ଟେଲିଫୋନି
Teleprinter,ଟେଲିପ୍ରିଣ୍ଟର୍
Teleprocessing,ଟେଲି ପ୍ରୋସେସିଂ |
Television,ଟେଲିଭିଜନ
Telex,ଟେଲକ୍ସ |
Telnet,ଟେଲନେଟ୍ |
Temperature,ତାପମାତ୍ରା
Template,ଟେମ୍ପଲେଟ୍ |
ten's complement,ଦଶର ସଂପନ୍ନ |
tera byte,ଟେରା ବାଇଟ୍ |
tera flops,ଟେରା ଫ୍ଲପ୍ |
terminal cursor,ଟର୍ମିନାଲ୍ କର୍ସର୍ |
terminal node,ଟର୍ମିନାଲ୍ ନୋଡ୍
terminal window,ଟର୍ମିନାଲ୍ ୱିଣ୍ଡୋ |
Termination,ସମାପ୍ତି
Ternary,ଟେର୍ନାରୀ |
ternary operation,ଟର୍ନାରୀ ଅପରେସନ୍
Test,ପରୀକ୍ଷା
test coverage,ପରୀକ୍ଷା କଭରେଜ୍ |
test run,ପରୀକ୍ଷା ରନ୍
Test-data,ପରୀକ୍ଷା-ତଥ୍ୟ |
Text,ପାଠ
text box,ଟେକ୍ସଟ୍ ବକ୍ସ
text cursor,ପାଠ୍ୟ କର୍ସର୍ |
text editor,ପାଠ୍ୟ ସମ୍ପାଦକ |
text file,ଟେକ୍ସଟ୍ ଫାଇଲ୍ |
text mode,ପାଠ୍ୟ ମୋଡ୍
text processing,ପାଠ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
text to speech (TTS),ଭାଷଣକୁ ପାଠ (TTS)
texture mapping,ଟେକ୍ସଚର୍ ମ୍ୟାପିଙ୍ଗ୍ |
T-flip-flop,ଟି-ଫ୍ଲିପ୍-ଫ୍ଲପ୍ |
thermal printer,ଥର୍ମାଲ୍ ପ୍ରିଣ୍ଟର୍ |
thin film memory,ପତଳା ଚଳଚ୍ଚିତ୍ର ସ୍ମୃତି
thin film transistor,ପତଳା ଚଳଚ୍ଚିତ୍ର ଟ୍ରାନଜିଷ୍ଟର |
Thrashing,ଥ୍ରାସ କରିବା |
Thread,ଥ୍ରେଡ୍
Threading,ଥ୍ରେଡିଂ
threetier network,ଥ୍ରୀଟିଅର୍ ନେଟୱାର୍କ |
Throughput,ଥ୍ରୋପପୁଟ
time complexity,ସମୟ ଜଟିଳତା |
time division multiplexing (TDM),ସମୟ ବିଭାଜନ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (TDM)
time frame,ସମୟ ସୀମା
time frame,ସମୟ ସୀମା
time machine,ସମୟ ମେସିନ୍ |
time out,ସମୟ ଶେଷ
time quantization,ସମୟ ପରିମାଣ
time series,ସମୟ କ୍ରମ |
time sharing,ସମୟ ବାଣ୍ଟିବା |
time sharing system,ସମୟ ବଣ୍ଟନ ପ୍ରଣାଳୀ |
time stamp,ଟାଇମ୍ ଷ୍ଟାମ୍ପ୍ |
timing diagram,ସମୟ ଚିତ୍ର
Tint,ଟିଣ୍ଟ୍ |
Toggle,ଟୋଗଲ୍ କରନ୍ତୁ |
toggling speed,ଟୋଗଲ୍ ଗତି
Token,ଟୋକେନ୍ |
token bus,ଟୋକେନ୍ ବସ୍ |
token bus,ଟୋକେନ୍ ବସ୍ |
token bus network,ଟୋକେନ୍ ବସ୍ ନେଟୱାର୍କ |
token ring,ଟୋକନ୍ ରିଙ୍ଗ୍ |
token talk,ଟୋକନ୍ କଥାବାର୍ତ୍ତା |
Tool,ସାଧନ
top down,ଉପର ତଳ
top down design,ଟପ୍ ଡାଉନ୍ ଡିଜାଇନ୍ |
top down parsing,ଉପର ତଳ ପାର୍ସିଙ୍ଗ୍ |
Topology,ଟପୋଲୋଜି |
touch pad,ଟଚ୍ ପ୍ୟାଡ୍ |
touch screen,ଟଚ୍ ସ୍କ୍ରିନ୍
Trace,ଟ୍ରେସ
Tracing,ଅନୁସନ୍ଧାନ
Track,ଟ୍ରାକ୍ କରନ୍ତୁ |
track disk,ଡିସ୍କ ଟ୍ରାକ୍ କରନ୍ତୁ |
track tape,ଟ୍ରାକ୍ ଟେପ୍ |
Tracking,ଟ୍ରାକିଂ
Trailer,ଟ୍ରେଲର
Trajectory,ବ ject ଶିଷ୍ଟ୍ୟ
Transaction,କାରବାର
transaction file,କାରବାର ଫାଇଲ
transaction log,କାରବାର ଲଗ୍
Transcribe,ଟ୍ରାନ୍ସକ୍ରିପସନ୍ କରନ୍ତୁ |
Transducer,ଟ୍ରାନ୍ସଡ୍ୟୁସର
transfer rate,ସ୍ଥାନାନ୍ତର ହାର
transfer time,ସ୍ଥାନାନ୍ତର ସମୟ
Transformation,ପରିବର୍ତ୍ତନ
transient error,କ୍ଷଣସ୍ଥାୟୀ ତ୍ରୁଟି |
transit time,ଗମନାଗମନ ସମୟ |
Transition,ସ୍ଥାନାନ୍ତରଣ
Transitive,ଗତିଶୀଳ
Transitivity,ଗମନାଗମନ
Translation,ଅନୁବାଦ
Transmission,ପ୍ରସାରଣ
transmission control protocol (TCP),ଟ୍ରାନ୍ସମିସନ୍ କଣ୍ଟ୍ରୋଲ୍ ପ୍ରୋଟୋକଲ୍ (TCP)
transmission line,ଟ୍ରାନ୍ସମିସନ୍ ଲାଇନ୍ |
Transmitter,ଟ୍ରାନ୍ସମିଟର
Transparency,ସ୍ୱଚ୍ଛତା
Transponder,ଟ୍ରାନ୍ସପଣ୍ଡର |
Transportation,ପରିବହନ
Transposition,ସ୍ଥାନାନ୍ତରଣ
Transputer,ଟ୍ରାନ୍ସପ୍ୟୁଟର
Transreceiver,ଟ୍ରାନ୍ସସିଭର୍ |
Trapping,ଟ୍ରାପିଙ୍ଗ୍ |
Traverse,ଟ୍ରାଭର୍
tree (traversal),ଗଛ (ଟ୍ରାଭର୍ସାଲ୍)
tree network,ବୃକ୍ଷ ନେଟୱାର୍କ |
tributary circuit,ଉପନଦୀ ସର୍କିଟ |
trival graph,ତ୍ରୁଟି ଗ୍ରାଫ୍
trouble shoot,ଅସୁବିଧା ସୁଟ୍
Truncate,କାଟିବା |
truth table,ସତ୍ୟ ସାରଣୀ
Tuner,ଟ୍ୟୁନର୍ |
Tunnelling,ଟନେଲିଂ
Tunning,ଚାଲୁଛି |
Tuple,ଟୁପଲ୍ |
turbo pascal,ଟର୍ବୋ ପାସ୍କାଲ୍ |
turing machine,ଟୁରିଂ ମେସିନ୍ |
turn aroud time,ଜୋରରେ ସମୟ ବୁଲାନ୍ତୁ |
turn around document,ଡକ୍ୟୁମେଣ୍ଟ୍ ବୁଲାନ୍ତୁ |
turnaround sequence,ଟର୍ନାରାଉଣ୍ଡ କ୍ରମ |
twin cable,ଯାଆଁଳା କେବୁଲ୍ |
twisted pair,ମୋଡ଼ାଯାଇଥିବା ଯୋଡି |
two part assembler,ଦୁଇଟି ଅଂଶ ଏକତ୍ରକାରୀ |
two's complement,ଦୁଇଟିର ସଂପନ୍ନ |
type,ଟାଇପ୍ କରନ୍ତୁ |
type face,ଚେହେରା ଟାଇପ୍ କରନ୍ତୁ |
type head,ମୁଣ୍ଡ ଟାଇପ୍ କରନ୍ତୁ |
type wheel,ଚକ ଟାଇପ୍ କରନ୍ତୁ |
Typing,ଟାଇପିଂ
un interruptable power source (UPS),un interruptable power source (UPS)
unary operation,unary ଅପରେସନ୍ |
unary operation,unary ଅପରେସନ୍ |
unary operator,unary ଅପରେଟର୍ |
Uncertainity,ଅନିଶ୍ଚିତତା |
unconditional statement,ସର୍ତ୍ତମୂଳକ ବିବୃତ୍ତି |
Uncountable,ଅଗଣିତ
Uncover,ଖୋଲନ୍ତୁ |
Undecidable,ଅଜ୍ଞାତ
Undefined,ଅଜ୍ଞାତ |
undefined record,ଅଜ୍ଞାତ ରେକର୍ଡ |
Undelete,ବିଲୋପ କରନ୍ତୁ |
Underscore,ଅଣ୍ଡରସ୍କୋର |
Undirected,ନିର୍ଦ୍ଦେଶିତ
undirected graph,ନିର୍ଦ୍ଦେଶିତ ଗ୍ରାଫ୍ |
undirectional service time,ଅନିର୍ଦ୍ଦିଷ୍ଟ ସେବା ସମୟ |
Undo,ପୂର୍ବବତ୍ କରନ୍ତୁ |
unformatted disk,ଅସଂଯୁକ୍ତ ଡିସ୍କ |
Unicasting,ୟୁନିକାଷ୍ଟିଂ |
Unicode,ୟୁନିକୋଡ୍
unidirected tree,ଅବିଭକ୍ତ ଗଛ |
uniform resource locator (URL),ସମାନ ଉତ୍ସ ଲୋକେଟର (URL)
Uniprocessing,ଅଣ ପ୍ରକ୍ରିୟାକରଣ |
Unique,ଅନନ୍ୟ |
unishielded twisted pair (UTP),ଅବିଭକ୍ତ ମୋଡ଼ାଯାଇଥିବା ଯୋଡି (UTP)
Unit,ୟୁନିଟ୍
unit address,ଏକକ ଠିକଣା
unit interval,ଏକକ ବ୍ୟବଧାନ
unit testing,ଏକକ ପରୀକ୍ଷା
unitary code,ୟୁନିଟାରୀ କୋଡ୍
Uniterm,ୟୁନିଟର୍ମ |
universal asynchronous receiver/transmitter (UART),ସର୍ବଭାରତୀୟ ଅସନ୍ତୁଳିତ ରିସିଭର୍ / ଟ୍ରାନ୍ସମିଟର (UART)
universal flip flop,ୟୁନିଭର୍ସାଲ୍ ଫ୍ଲିପ୍ ଫ୍ଲପ୍ |
universal set,ସର୍ବଭାରତୀୟ ସେଟ୍ |
universtal character set,ୟୁନିଭର୍ଷ୍ଟଲ୍ ବର୍ଣ୍ଣ ସେଟ୍ |
Unix,ୟୁନିକ୍ସ |
Unlock,ଅନଲକ୍ କରନ୍ତୁ |
unprotected field,ଅସୁରକ୍ଷିତ କ୍ଷେତ୍ର |
unprotected file,ଅସୁରକ୍ଷିତ ଫାଇଲ୍ |
Unreachable,ଅପହଞ୍ଚ |
Unshade,ଅନ୍ଶେଡ୍ |
Unshielded,ଅଣସଂରକ୍ଷିତ |
unsuccessful call,ଅସଫଳ କଲ୍
Untar,ଅଣ୍ଟାର |
update anomalies,ଅସ୍ପୃଶ୍ୟତା ଅଦ୍ୟତନ କରନ୍ତୁ |
updated file,ଅଦ୍ୟତନ ଫାଇଲ୍ |
Updating,ଅଦ୍ୟତନ
Upgrade,ନବୀକରଣ କରନ୍ତୁ |
Upgrade,ନବୀକରଣ କରନ୍ତୁ |
Uplink,ଅପଲିଙ୍କ୍ |
Uploading,ଅପଲୋଡ୍ କରୁଛି |
upper memory area,ଉପର ସ୍ମୃତି କ୍ଷେତ୍ର
Upstream,ଅପଷ୍ଟ୍ରିମ୍ |
Uptime,ଅପଟାଇମ୍ |
Upward,ଉପରକୁ
Usenet,ୟୁଜେନେଟ୍ |
User,ଉପଯୋଗକର୍ତ୍ତା |
user agent,ବ୍ୟବହାରକାରୀ ଏଜେଣ୍ଟ
user authentication,ଉପଯୋଗକର୍ତ୍ତା ପ୍ରାମାଣିକିକରଣ |
user datagram protocol (UDP),ବ୍ୟବହାରକାରୀ ଡାଟାଗ୍ରାମ୍ ପ୍ରୋଟୋକଲ୍ (UDP)
user friendly,ଉପଭୋକ୍ତା ଅନୁକୁଳ
user identification,ବ୍ୟବହାରକାରୀ ପରିଚୟ
user identity (UID),ବ୍ୟବହାରକାରୀ ପରିଚୟ (UID)
user interface,ବ୍ୟବହାରକାରୀ ଇଣ୍ଟରଫେସ୍
user name,ବ୍ୟବହାରକାରୀ ନାମ
user profile,ଉପଯୋଗକର୍ତ୍ତା ପ୍ରୋଫାଇଲ୍ |
Utility,ଉପଯୋଗିତା
utility software,ଉପଯୋଗୀ ସଫ୍ଟୱେର୍ |
Valid,ବ id ଧ |
Validation,ବ id ଧତା
validation protocols,ବ valid ଧତା ପ୍ରୋଟୋକଲ୍ |
validation testing,ବ valid ଧତା ପରୀକ୍ଷା
validity check,ବ valid ଧତା ଯାଞ୍ଚ |
value added network (VAN),ମୂଲ୍ୟ ଯୋଗ ନେଟୱାର୍କ (VAN)
value added reseller (VAR),ମୂଲ୍ୟ ଯୋଗ ବିକ୍ରେତା (VAR)
vanishing point,ଅଦୃଶ୍ୟ ବିନ୍ଦୁ |
Vapourware,ବାଷ୍ପ ସଫ୍ଟୱେର୍ |
Variable,ଭେରିଏବଲ୍
variable address,ଭେରିଏବଲ୍ ଠିକଣା
variable bit rate,ଭେରିଏବଲ୍ ବିଟ୍ ରେଟ୍
variable field length,ଭେରିଏବଲ୍ ଫିଲ୍ଡ ଲମ୍ବ |
variable length code,ଭେରିଏବଲ୍ ଲମ୍ବ କୋଡ୍
variable name,ଭେରିଏବଲ୍ ନାମ
Variale,ବିଭିନ୍ନ
Vector,ଭେକ୍ଟର
vector grapdhics,ଭେକ୍ଟର ଗ୍ରାଫଡିକ୍ସ |
vector precessing,ଭେକ୍ଟର ପୂର୍ବ
vectored interrupts,ଭେକ୍ଟର ବାଧା
venn diagram,ଭେନ ଚିତ୍ର
verification & validation (V&V),ଯାଞ୍ଚ ଏବଂ ବ valid ଧତା (V&amp;V)
version control,ସଂସ୍କରଣ ନିୟନ୍ତ୍ରଣ
version number,ସଂସ୍କରଣ ସଂଖ୍ୟା
Vertex,ଭର୍ଟେକ୍ସ |
vertical processor,ଭୂଲମ୍ବ ସଞ୍ଚାଳକ |
very large scale integration (VLSI ),ବହୁତ ବଡ ମାପର ଏକୀକରଣ (VLSI)
very long instruction word (VLIW),ବହୁତ ଲମ୍ବା ନିର୍ଦ୍ଦେଶ ଶବ୍ଦ (VLIW)
VHDL,VHDL
video camera,ଭିଡିଓ କ୍ୟାମେରା |
video conferencing,ଭିଡିଓ କନଫରେନ୍ସିଂ |
video display terminal,ଭିଡିଓ ପ୍ରଦର୍ଶନ ଟର୍ମିନାଲ୍ |
video display unit,ଭିଡିଓ ପ୍ରଦର୍ଶନ ୟୁନିଟ୍ |
video game,ଭିଡିଓ ଗେମ୍
video graphic adaptor (VGA),ଭିଡିଓ ଗ୍ରାଫିକ୍ ଆଡାପ୍ଟର (VGA)
video graphics adapter (VGA),ଭିଡିଓ ଗ୍ରାଫିକ୍ସ ଆଡାପ୍ଟର (VGA)
video server,ଭିଡିଓ ସର୍ଭର |
View,ଦର୍ଶନ କରନ୍ତୁ |
view port,ପୋର୍ଟ ଦର୍ଶନ କରନ୍ତୁ |
Viewport,ଭ୍ୟୁପୋର୍ଟ |
virtual circuit,ଭର୍ଚୁଆଲ୍ ସର୍କିଟ୍ |
virtual function,ଭର୍ଚୁଆଲ୍ ଫଙ୍କସନ୍
virtual memory,ଭର୍ଚୁଆଲ୍ ମେମୋରୀ |
virtual private network,ଭର୍ଚୁଆଲ୍ ବ୍ୟକ୍ତିଗତ ନେଟୱାର୍କ |
virtual reality,ଭର୍ଚୁଆଲ୍ ବାସ୍ତବତା |
virtual reality,ଭର୍ଚୁଆଲ୍ ବାସ୍ତବତା |
virtual reality markup language,ଭର୍ଚୁଆଲ୍ ରିଅଲିଟି ମାର୍କଅପ୍ ଭାଷା |
virtual reality markup language (VRML),ଭର୍ଚୁଆଲ୍ ରିଅଲିଟି ମାର୍କଅପ୍ ଭାଷା (VRML)
virtual storage access method,ଭର୍ଚୁଆଲ୍ ଷ୍ଟୋରେଜ୍ ଆକ୍ସେସ୍ ପଦ୍ଧତି |
virtual storage management,ଭର୍ଚୁଆଲ୍ ଷ୍ଟୋରେଜ୍ ପରିଚାଳନା
Virus,ଭାଇରସ୍
virus detection,ଜୀବାଣୁ ଚିହ୍ନଟ
virus programme,ଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |
Visibility,ଦୃଶ୍ୟମାନତା |
Vision,ଦର୍ଶନ
visual basic,ଭିଜୁଆଲ୍ ମ basic ଳିକ |
visual C++,ଭିଜୁଆଲ୍ C ++
visual display unit,ଭିଜୁଆଲ୍ ପ୍ରଦର୍ଶନ ୟୁନିଟ୍ |
Vitual,ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ |
vitual address,ଭିଜୁଆଲ୍ ଠିକଣା
vitual machine (VM),ଭିଟୁଆଲ୍ ମେସିନ୍ (VM)
Voice,ସ୍ୱର
voice mail,ଭଏସ୍ ମେଲ୍ |
voice mail server,ଭଏସ୍ ମେଲ୍ ସର୍ଭର |
voice recognition,ସ୍ୱର ଚିହ୍ନିବା
Voice-net,ଭଏସ୍-ନେଟ୍ |
volatile memory,ଅସ୍ଥିର ସ୍ମୃତି
Wafer,ୱାଫର୍ |
WAIS manager,WAIS ପରିଚାଳକ |
wait die,ମରିବାକୁ ଅପେକ୍ଷା କର |
wait wound,କ୍ଷତକୁ ଅପେକ୍ଷା କର |
waited code,ଅପେକ୍ଷା କରିଥିବା କୋଡ୍
waited mean,ଅପେକ୍ଷା କରିଥିବା ଅର୍ଥ
waiting time,ଅପେକ୍ଷା ସମୟ
wall grade,କାନ୍ଥ ଗ୍ରେଡ୍
warm restart,ଗରମ ପୁନ art ଆରମ୍ଭ କରନ୍ତୁ |
waste band width,ଆବର୍ଜନା ବ୍ୟାଣ୍ଡ ଓସାର |
waterfall model,ଜଳପ୍ରପାତ ମଡେଲ |
Wavelet,ତରଙ୍ଗ
wavelet image compression,ତରଙ୍ଗ ଚିତ୍ର ସଙ୍କୋଚନ |
wavelet transform,ତରଙ୍ଗ ପରିବର୍ତ୍ତନ
weak entity,ଦୁର୍ବଳ ସଂସ୍ଥା |
Web,ୱେବ୍
web address,ୱେବ୍ ଠିକଣା
web authoring,ୱେବ୍ ଲେଖକ
web browser,ୱେବ୍ ବ୍ରାଉଜର୍
web page,ୱେବ୍ ପୃଷ୍ଠା |
Web server,ୱେବ୍ ସର୍ଭର |
web site,ୱେବସାଇଟ୍ |
web-enabld application,ୱେବ୍-ସକ୍ଷମ ପ୍ରୟୋଗ |
Web-enabled,ୱେବ୍-ସକ୍ଷମ |
weighted graph,ଓଜନିଆ ଗ୍ରାଫ୍ |
well connected,ଭଲ ସଂଯୁକ୍ତ |
well formed formula,ଭଲ ଗଠିତ ସୂତ୍ର |
well ordered set,ଭଲ ଅର୍ଡର ସେଟ୍ |
Wetware,ୱେଟୱେର୍ |
wheatstone bench mark,ଗହମ ପଥର ବେଞ୍ଚ ଚିହ୍ନ |
Wheel,ଚକ
while loop,ଯେତେବେଳେ ଲୁପ୍
white box testing,ଧଳା ବାକ୍ସ ପରୀକ୍ଷା |
white light,ଧଳା ଆଲୋକ
white noise,ଧଳା ଶବ୍ଦ |
wide area network (WAN),ପ୍ରଶସ୍ତ କ୍ଷେତ୍ର ନେଟୱାର୍କ (WAN)
wide area network (WAN),ପ୍ରଶସ୍ତ କ୍ଷେତ୍ର ନେଟୱାର୍କ (WAN)
wide band,ପ୍ରଶସ୍ତ ବ୍ୟାଣ୍ଡ |
wild card,ୱାଇଲ୍ଡ କାର୍ଡ |
Wimp,ୱିମ୍
win,ଜିତନ୍ତୁ |
win zip,ଜିପ୍ ଜିତନ୍ତୁ |
Window,ୱିଣ୍ଡୋ |
Windowing,ୱିଣ୍ଡୋ
Windows,ୱିଣ୍ଡୋଜ୍
windows explorer,ୱିଣ୍ଡୋ ଏକ୍ସପ୍ଲୋରର୍ |
windows NT,ୱିଣ୍ଡୋ NT
wire frame model,ତାର ଫ୍ରେମ୍ ମଡେଲ୍ |
wire printer,ତାର ପ୍ରିଣ୍ଟର୍
wired logic,ତାରଯୁକ୍ତ ତର୍କ
