ab initio,"आरंभत, प्रारंभापासून"
epitome,"1. संक्षेप 2. संक्षेपग्रंथ, सारांश"
equality,"समता, समानता"
equilibrium,समतोल
equipment,"1. सामग्री, साधन-सामग्री 2. सिद्घता"
equity,"1. समदृष्‍टि 2. समन्याय, निःपक्षपात, समता"
equivalent,"1. सममूल्य 2. तुल्य, समान"
equivocal,"द्वर्थी, दुटप्पी"
eradicate,उन्मूलन करणे
errata,शुद्धि पत्र
error,"1. दोष 2. चूक, त्रुटी"
escalation,स्ववृद्धि
escort,"संरक्षक म्हणून सोबत करणे, संरक्षक"
essential,1. सारभूत 2. आवश्‍यक 3. अत्यावश्‍यक
establishment,1. आस्थापना 2. स्थापना 3. प्रस्थापना
estimate,"1. प्राक्कलन करणे 2. अंदाज करणे, अंदाजणे, अंदाज"
estimated cost,अंदांजित मूल्य
ethics,1. नीतिशास्त्र 2. नीतितत्व
etiquette,शिष्‍टाचार
evacuation,निर्वासन
evade,"टाळाटाळ करणे, चुकवणे"
evaluation,मूल्यमापन
even number,1. सम संख्या 2. सम-क्रमांक
eventual,"परिमाणरूप, अंतिम, अनुषंगीक"
eviction,1. निष्‍कासन 2. बेदखली
evidence,1. पुरावा 2. साक्ष
evolve,"1.निगमित करणे, विकसित करणे 2. उत्कांत होणे"
ex gratia,अनुग्रहपूर्वक
ex gratia payment,अनुग्रहपूर्वक वेतन
ex-officio,अधिकारान्वये
ex-parte,"एकपक्षी, एकतर्फी"
ex-post facto,कार्योतर
exact,"1. अधिकारपूर्वक करून घेणे 2. बळाने घेणे, तंतोतंत"
examination,1. परीक्षा 2. तपासणी
examinee,परीक्षार्थी
examiner,परीक्षक
example,उदाहरण
excavation,उत्खनन
excellent,1. श्रेष्‍ठ 2. उत्कृष्‍ट
exception,1. अपवाद
exceptional,1. अपवादात्मक 2. असामान्य
excess,"आधिक्य, अतिरेक"
exchange,"विनिमय करणे, देवाण-घेवाण करणे"
exchequer,राज्यकोष
excise (=excise duty),उत्पादन शुल्क
exclude,"अपवर्जित करणे, वगळणे"
exclusive,"अपवर्जक, अनन्य"
excuse,"क्षमा करणे, माफ करणे"
execute,"1. निष्पादन करणे, करून देणे 2. फाशी देणे 3. अमलबजावणी करणे 4. पार पाडणे"
executive,"शासनांग, कार्यकारी"
executive committee,कार्यकारी समिती
executive power,कार्यकारी बळ
executive staff,कार्यकारी कर्मचारीवृंद
executives,"कार्यकारी वर्ग, अधिकारी वर्ग"
exempt,"सूट देणे, माफी देणे, माफ करणे"
exemption,"सूट, माफी"
exercise,"1. वापर करणे 2. व्यायाम करणे, अभ्यास"
exhaust,"1. थकवणे, दमवणे 2. निःशेष करणे, संपूर्णतया खर्ची घालणे, रिक्‍त करणे"
exhaustive,"निःशेष, परिपूर्ण"
exhibit,"1. प्रदर्शित करणे, दाखवणे 2. प्रदर्शनात ठेवणे 3. निशाणी म्हणून दाखल करणे"
exigency,"निकड, गरज, तत्कालिन आवश्यकता"
exim policy,आयातनिर्यात स्थिति
exit,"1. निर्गमन 2. निर्गम मार्ग, बाहेर"
exit interview,निर्गमन साक्षात्कार
exit policy,निर्गमन निती
exit poll,"निर्गम मतानुमान, अंदाजित मतानुमान"
