ab initio,அடி முதலே
firing,துப்பாக்கிச் சூடு
firm,"1. நிறுவனம் 2. உறுதியான, நிலையான"
first aid,முதல் உதவி
first class,முதல் வகுப்பு
first division,"முதல் பிரிவு, முதல் கோட்டம், முதல் நிலை"
first information report,முதல் தகவல் அறிக்கை
fiscal,"நிதிசார்ந்த, நிதியாண்டு சார்ந்த"
fisheries,"மீன்பண்ணைகள், மீன்துறைகள்"
fit,"தகுதியான, பொருத்தமான"
fitness,"தகுதி, பொருத்தம்"
fix,"1. இக்கட்டு நிலை 2. பொருத்து, பழுதுபார், அமை 3. காண்"
fixation,அறுதியிடல்
fixed,"நிலையான, அசையாத"
flag,கொடி
flap,"வார்ப்பட்டை இதழ், சிறகு"
flat,"1. அடுக்ககக் குடியிருப்பு 2. தட்டையான, சமதளமான 3. முடிவான"
fleet,"கப்பற்படைத் தொகுதி, வாகனத் தொகுதி"
flexibility,நெகிழும் தன்மை
flight,"1. வானூர்திப் பயணம், பறத்தல் 2. விட்டோடுதல்"
flood relief,வெள்ள நிவாரணம்
floor,"1. தரை, தளம், களம் 2. தளமிடு, அடித்துவீழ்த்து"
flow,"ஓட்டம், நீரோட்டம்"
fluctuation,ஏற்ற இறக்கம்
foeticide,கருவில் சிசுக்கொலை
folder,"அடைவு, மடிப்புத்தாள்"
folio,"இருபுற, இணைப்பக்கம், எதிரெதிர்ப் பக்கம், இருமடி"
follow,"பின்பற்று, பின்செல், பின்தொடர்"
follower,"பின்பற்றுபவர், தொடர்ந்து செல்பவர்"
following,"1. கீழ்க்கண்ட 2. பின்செல்லுதல், கடைபிடித்தல்"
foment,"தூண்டு, கிளப்பு"
foot note,அடிக்குறிப்பு
forced labour,கட்டாய உழைப்பு
forecast,முன்னறிவிப்பு
foregone conclusion,அறியப்பட்ட முடிவு
foreign,"அயல், வெளிநாட்டுக்குரிய"
foreman,முதலாள் (தொழிற்பிரிவு)
forenoon,முற்பகல் (மு.ப.)
foresight,"முன்னறிவு, முன்னறிதிறன்"
foreword,முன்னுரை
forfeit,"இழ, விட்டுக்கொடு"
forged,மோசடி செய்யப்பட்ட
forgery,"பொய்யாவணம் புனைதல், போலி ஒப்பமிடல்"
form,1. உருவம் 2. படிவம்
formal,"முறைப்படியான, முறைசார்ந்த"
format,1. வடிவமும் அளவும் 2.(கணினியில்) துடைத்தழித்தல்
former,"முன்னைய, முன்னாள்"
formula,"நூற்பா, வாய்ப்பாடு, குறிப்புச்சொல்"
forthwith,"உடனே, காலம் தாழ்த்தாமல்"
forward,மேலனுப்பு
forwarding letter,"அனுப்புகைக் கடிதம், மேலனுப்புக் கடிதம்"
foundation,"1. கடைக்கால், கால்கோள் 2. அடிப்படை 3. அறக்கட்டளை"
fraction,"பின்னம், கூறு, சிறுபகுதி, சிறு துண்டு"
franchise,1. வாக்குரிமை 2. முகமை
fraud,"ஏமாற்றுதல், மோசடி"
free,"இலவசமான, சுதந்திரமான, கட்டற்ற"
freeze,"உறைய வை, முடக்கு"
freight,"சுமை, கப்பற் சரக்கு, சரக்குச் சுமைக் கட்டணம்"
frequency,"அடுக்கு நிகழ்வு, அலைவெண்"
fuel,எரிபொருள்
full-scale,முழு அளவிலான
function,"செய் கடமை, நிகழ்ச்சி, விழா"
fund,நிதி
fundamentalism,அடிப்படைவாதம்
furnish,"அளி, அமைத்துக்கொடு"
further action,"மேல் நடவடிக்கை, தொடர் நடவடிக்கை"
gainful employment,பயன்தரும் வேலைவாய்ப்பு
